	Image_Metadata_Plate	Image_Metadata_Well	cell_count
0	SQ00014820	A01	2478
1	SQ00014820	A02	2120
2	SQ00014820	A03	2466
3	SQ00014820	A04	2707
4	SQ00014820	A05	2625
5	SQ00014820	A06	2731
6	SQ00014820	A07	2426
7	SQ00014820	A08	2948
8	SQ00014820	A09	2708
9	SQ00014820	A10	2888
10	SQ00014820	A11	2606
11	SQ00014820	A12	2791
12	SQ00014820	A13	2492
13	SQ00014820	A14	2626
14	SQ00014820	A15	2410
15	SQ00014820	A16	2624
16	SQ00014820	A17	2551
17	SQ00014820	A18	2519
18	SQ00014820	A19	2268
19	SQ00014820	A20	2497
20	SQ00014820	A21	2630
21	SQ00014820	A22	2831
22	SQ00014820	A23	2221
23	SQ00014820	A24	2777
24	SQ00014820	B01	2536
25	SQ00014820	B02	2341
26	SQ00014820	B03	2840
27	SQ00014820	B04	2792
28	SQ00014820	B05	2845
29	SQ00014820	B06	2802
30	SQ00014820	B07	2458
31	SQ00014820	B08	3058
32	SQ00014820	B09	2530
33	SQ00014820	B10	3014
34	SQ00014820	B11	2787
35	SQ00014820	B12	2771
36	SQ00014820	B13	2827
37	SQ00014820	B14	2456
38	SQ00014820	B15	2751
39	SQ00014820	B16	2712
40	SQ00014820	B17	2627
41	SQ00014820	B18	2650
42	SQ00014820	B19	2880
43	SQ00014820	B20	2654
44	SQ00014820	B21	2972
45	SQ00014820	B22	2785
46	SQ00014820	B23	2696
47	SQ00014820	B24	2466
48	SQ00014820	C01	2167
49	SQ00014820	C02	3044
50	SQ00014820	C03	3217
51	SQ00014820	C04	3217
52	SQ00014820	C05	3202
53	SQ00014820	C06	3161
54	SQ00014820	C07	2906
55	SQ00014820	C08	3107
56	SQ00014820	C09	2719
57	SQ00014820	C10	2797
58	SQ00014820	C11	2735
59	SQ00014820	C12	3033
60	SQ00014820	C13	467
61	SQ00014820	C14	569
62	SQ00014820	C15	1009
63	SQ00014820	C16	2354
64	SQ00014820	C17	2624
65	SQ00014820	C18	2817
66	SQ00014820	C19	100
67	SQ00014820	C20	127
68	SQ00014820	C21	126
69	SQ00014820	C22	90
70	SQ00014820	C23	116
71	SQ00014820	C24	115
72	SQ00014820	D01	2513
73	SQ00014820	D02	3147
74	SQ00014820	D03	2765
75	SQ00014820	D04	2922
76	SQ00014820	D05	3266
77	SQ00014820	D06	2888
78	SQ00014820	D07	2939
