Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00014820,A01,2478
SQ00014820,A02,2120
SQ00014820,A03,2466
SQ00014820,A04,2707
SQ00014820,A05,2625
SQ00014820,A06,2731
SQ00014820,A07,2426
SQ00014820,A08,2948
SQ00014820,A09,2708
SQ00014820,A10,2888
SQ00014820,A11,2606
SQ00014820,A12,2791
SQ00014820,A13,2492
SQ00014820,A14,2626
SQ00014820,A15,2410
SQ00014820,A16,2624
SQ00014820,A17,2551
SQ00014820,A18,2519
SQ00014820,A19,2268
SQ00014820,A20,2497
SQ00014820,A21,2630
SQ00014820,A22,2831
SQ00014820,A23,2221
SQ00014820,A24,2777
SQ00014820,B01,2536
SQ00014820,B02,2341
SQ00014820,B03,2840
SQ00014820,B04,2792
SQ00014820,B05,2845
SQ00014820,B06,2802
SQ00014820,B07,2458
SQ00014820,B08,3058
SQ00014820,B09,2530
SQ00014820,B10,3014
SQ00014820,B11,2787
SQ00014820,B12,2771
SQ00014820,B13,2827
SQ00014820,B14,2456
SQ00014820,B15,2751
SQ00014820,B16,2712
SQ00014820,B17,2627
SQ00014820,B18,2650
SQ00014820,B19,2880
SQ00014820,B20,2654
SQ00014820,B21,2972
SQ00014820,B22,2785
SQ00014820,B23,2696
SQ00014820,B24,2466
SQ00014820,C01,2167
SQ00014820,C02,3044
SQ00014820,C03,3217
SQ00014820,C04,3217
SQ00014820,C05,3202
SQ00014820,C06,3161
SQ00014820,C07,2906
SQ00014820,C08,3107
SQ00014820,C09,2719
SQ00014820,C10,2797
SQ00014820,C11,2735
SQ00014820,C12,3033
SQ00014820,C13,467
SQ00014820,C14,569
SQ00014820,C15,1009
SQ00014820,C16,2354
SQ00014820,C17,2624
SQ00014820,C18,2817
SQ00014820,C19,100
SQ00014820,C20,127
SQ00014820,C21,126
SQ00014820,C22,90
SQ00014820,C23,116
SQ00014820,C24,115
SQ00014820,D01,2513
SQ00014820,D02,3147
SQ00014820,D03,2765
SQ00014820,D04,2922
SQ00014820,D05,3266
SQ00014820,D06,2888
SQ00014820,D07,2939
SQ00014820,D08,3261
SQ00014820,D09,3074
SQ00014820,D10,3311
SQ00014820,D11,3067
SQ00014820,D12,3135
SQ00014820,D13,2728
SQ00014820,D14,3199
SQ00014820,D15,2948
SQ00014820,D16,2963
SQ00014820,D17,2919
SQ00014820,D18,2925
SQ00014820,D19,2973
SQ00014820,D20,3027
SQ00014820,D21,3099
SQ00014820,D22,2875
SQ00014820,D23,2923
SQ00014820,D24,2979
SQ00014820,E01,2442
SQ00014820,E02,2508
SQ00014820,E03,2793
SQ00014820,E04,3273
SQ00014820,E05,3551
SQ00014820,E06,3151
SQ00014820,E07,1153
SQ00014820,E08,1253
SQ00014820,E09,1051
SQ00014820,E10,1154
SQ00014820,E11,1179
SQ00014820,E12,1136
SQ00014820,E13,2941
SQ00014820,E14,2976
SQ00014820,E15,3213
SQ00014820,E16,3022
SQ00014820,E17,2981
SQ00014820,E18,2860
SQ00014820,E19,2323
SQ00014820,E20,2681
SQ00014820,E21,2741
SQ00014820,E22,2440
SQ00014820,E23,2289
SQ00014820,E24,2141
SQ00014820,F01,2750
SQ00014820,F02,2949
SQ00014820,F03,2940
SQ00014820,F04,3143
SQ00014820,F05,3259
SQ00014820,F06,3312
SQ00014820,F07,2805
SQ00014820,F08,2895
SQ00014820,F09,3210
SQ00014820,F10,3192
SQ00014820,F11,2847
SQ00014820,F12,2965
SQ00014820,F13,2971
SQ00014820,F14,2863
SQ00014820,F15,3324
SQ00014820,F16,3133
SQ00014820,F17,3297
SQ00014820,F18,2878
SQ00014820,F19,603
SQ00014820,F20,661
SQ00014820,F21,625
SQ00014820,F22,705
SQ00014820,F23,1134
SQ00014820,F24,2291
SQ00014820,G01,1962
SQ00014820,G02,2178
SQ00014820,G03,2918
SQ00014820,G04,2882
SQ00014820,G05,3165
SQ00014820,G06,3192
SQ00014820,G07,3106
SQ00014820,G08,3201
SQ00014820,G09,2930
SQ00014820,G10,3016
SQ00014820,G11,2649
SQ00014820,G12,2709
SQ00014820,G13,87
SQ00014820,G14,79
SQ00014820,G15,83
SQ00014820,G16,88
SQ00014820,G17,114
SQ00014820,G18,71
SQ00014820,G19,2563
SQ00014820,G20,3035
SQ00014820,G21,2699
SQ00014820,G22,2778
SQ00014820,G23,2711
SQ00014820,G24,2710
SQ00014820,H01,2456
SQ00014820,H02,2656
SQ00014820,H03,2830
SQ00014820,H04,2942
SQ00014820,H05,3463
SQ00014820,H06,2989
SQ00014820,H07,1846
SQ00014820,H08,2937
SQ00014820,H09,2888
SQ00014820,H10,3155
SQ00014820,H11,2714
SQ00014820,H12,3077
SQ00014820,H13,2877
SQ00014820,H14,3150
SQ00014820,H15,2915
SQ00014820,H16,2878
SQ00014820,H17,2998
SQ00014820,H18,3341
SQ00014820,H19,2963
SQ00014820,H20,3179
SQ00014820,H21,2924
SQ00014820,H22,2591
SQ00014820,H23,2685
SQ00014820,H24,2535
SQ00014820,I01,2559
SQ00014820,I02,2712
SQ00014820,I03,3037
SQ00014820,I04,2894
SQ00014820,I05,3357
SQ00014820,I06,3071
SQ00014820,I07,2858
