	Image_Metadata_Plate	Image_Metadata_Well	cell_count
0	SQ00015168	A01	1512
1	SQ00015168	A02	1847
2	SQ00015168	A03	1855
3	SQ00015168	A04	1920
4	SQ00015168	A05	1923
5	SQ00015168	A06	2006
6	SQ00015168	A07	2282
7	SQ00015168	A08	2946
8	SQ00015168	A09	2400
9	SQ00015168	A10	2426
10	SQ00015168	A11	2376
11	SQ00015168	A12	2591
12	SQ00015168	A13	2053
13	SQ00015168	A14	1990
14	SQ00015168	A15	2484
15	SQ00015168	A16	2375
16	SQ00015168	A17	1941
17	SQ00015168	A18	2265
18	SQ00015168	A19	639
19	SQ00015168	A20	620
20	SQ00015168	A21	550
21	SQ00015168	A22	655
22	SQ00015168	A23	732
23	SQ00015168	A24	1023
24	SQ00015168	B01	1764
25	SQ00015168	B02	1880
26	SQ00015168	B03	2045
27	SQ00015168	B04	2238
28	SQ00015168	B05	2384
29	SQ00015168	B06	2513
30	SQ00015168	B07	2341
31	SQ00015168	B08	2654
32	SQ00015168	B09	2231
33	SQ00015168	B10	2706
34	SQ00015168	B11	2437
35	SQ00015168	B12	2586
36	SQ00015168	B13	446
37	SQ00015168	B14	933
38	SQ00015168	B15	1276
39	SQ00015168	B16	2308
40	SQ00015168	B17	2460
41	SQ00015168	B18	2544
42	SQ00015168	B19	74
43	SQ00015168	B20	952
44	SQ00015168	B21	532
45	SQ00015168	B22	1149
46	SQ00015168	B23	1135
47	SQ00015168	B24	1642
48	SQ00015168	C01	1829
49	SQ00015168	C02	2176
50	SQ00015168	C03	2547
51	SQ00015168	C04	2890
52	SQ00015168	C05	3015
53	SQ00015168	C06	3246
54	SQ00015168	C07	2736
55	SQ00015168	C08	2839
56	SQ00015168	C09	2752
57	SQ00015168	C10	2555
58	SQ00015168	C11	2631
59	SQ00015168	C12	2762
60	SQ00015168	C13	2922
61	SQ00015168	C14	2670
62	SQ00015168	C15	2863
63	SQ00015168	C16	2673
64	SQ00015168	C17	2347
65	SQ00015168	C18	2557
66	SQ00015168	C19	63
67	SQ00015168	C20	62
68	SQ00015168	C21	38
69	SQ00015168	C22	42
70	SQ00015168	C23	48
71	SQ00015168	C24	61
72	SQ00015168	D01	1744
73	SQ00015168	D02	2318
74	SQ00015168	D03	315
75	SQ00015168	D04	2829
76	SQ00015168	D05	2664
77	SQ00015168	D06	3017
78	SQ00015168	D07	2616
