	Image_Metadata_Plate	Image_Metadata_Well	cell_count
0	SQ00015123	A01	2182
1	SQ00015123	A02	2445
2	SQ00015123	A03	2374
3	SQ00015123	A04	2067
4	SQ00015123	A05	2037
5	SQ00015123	A06	2105
6	SQ00015123	A07	1830
7	SQ00015123	A08	2165
8	SQ00015123	A09	2056
9	SQ00015123	A10	2211
10	SQ00015123	A11	2365
11	SQ00015123	A12	2297
12	SQ00015123	A13	747
13	SQ00015123	A14	1192
14	SQ00015123	A15	1691
15	SQ00015123	A16	2492
16	SQ00015123	A17	2131
17	SQ00015123	A18	2252
18	SQ00015123	A19	1904
19	SQ00015123	A20	2417
20	SQ00015123	A21	2249
21	SQ00015123	A22	2180
22	SQ00015123	A23	2629
23	SQ00015123	A24	2488
24	SQ00015123	B01	2048
25	SQ00015123	B02	2376
26	SQ00015123	B03	2311
27	SQ00015123	B04	2518
28	SQ00015123	B05	2603
29	SQ00015123	B06	2570
30	SQ00015123	B07	2476
31	SQ00015123	B08	2322
32	SQ00015123	B09	2168
33	SQ00015123	B10	2336
34	SQ00015123	B11	2275
35	SQ00015123	B12	2375
36	SQ00015123	B13	2240
37	SQ00015123	B14	2289
38	SQ00015123	B15	2469
39	SQ00015123	B16	2271
40	SQ00015123	B17	2390
41	SQ00015123	B18	2554
42	SQ00015123	B19	1861
43	SQ00015123	B20	2373
44	SQ00015123	B21	2659
45	SQ00015123	B22	2789
46	SQ00015123	B23	2706
47	SQ00015123	B24	2626
48	SQ00015123	C01	1765
49	SQ00015123	C02	2042
50	SQ00015123	C03	2477
51	SQ00015123	C04	2411
52	SQ00015123	C05	2702
53	SQ00015123	C06	2603
54	SQ00015123	C07	1944
55	SQ00015123	C08	2703
56	SQ00015123	C09	2687
57	SQ00015123	C10	2690
58	SQ00015123	C11	2580
59	SQ00015123	C12	2883
60	SQ00015123	C13	1933
61	SQ00015123	C14	2915
62	SQ00015123	C15	2912
63	SQ00015123	C16	2629
64	SQ00015123	C17	3019
65	SQ00015123	C18	3017
66	SQ00015123	C19	54
67	SQ00015123	C20	73
68	SQ00015123	C21	83
69	SQ00015123	C22	64
70	SQ00015123	C23	85
71	SQ00015123	C24	51
72	SQ00015123	D01	1870
73	SQ00015123	D02	2367
74	SQ00015123	D03	2624
75	SQ00015123	D04	3075
76	SQ00015123	D05	3124
77	SQ00015123	D06	2895
78	SQ00015123	D07	2739
79	SQ00015123	D08	2886
80	SQ00015123	D09	2716
81	SQ00015123	D10	2581
82	SQ00015123	D11	3010
83	SQ00015123	D12	2728
84	SQ00015123	D13	3337
85	SQ00015123	D14	3426
86	SQ00015123	D15	3207
87	SQ00015123	D16	3108
88	SQ00015123	D17	3109
89	SQ00015123	D18	3289
90	SQ00015123	D19	2924
91	SQ00015123	D20	3352
92	SQ00015123	D21	3100
93	SQ00015123	D22	3036
94	SQ00015123	D23	2940
95	SQ00015123	D24	2437
96	SQ00015123	E01	1893
97	SQ00015123	E02	2415
98	SQ00015123	E03	2495
99	SQ00015123	E04	3172
100	SQ00015123	E05	2919
101	SQ00015123	E06	3018
102	SQ00015123	E07	2902
103	SQ00015123	E08	3070
104	SQ00015123	E09	3284
105	SQ00015123	E10	3256
106	SQ00015123	E11	3180
107	SQ00015123	E12	3201
108	SQ00015123	E13	2980
109	SQ00015123	E14	2922
110	SQ00015123	E15	3036
111	SQ00015123	E16	3048
112	SQ00015123	E17	3400
113	SQ00015123	E18	2967
114	SQ00015123	E19	2338
115	SQ00015123	E20	2667
116	SQ00015123	E21	2976
117	SQ00015123	E22	2570
118	SQ00015123	E23	2663
119	SQ00015123	E24	2426
120	SQ00015123	F01	1954
121	SQ00015123	F02	2764
122	SQ00015123	F03	3016
123	SQ00015123	F04	2778
124	SQ00015123	F05	3378
125	SQ00015123	F06	3104
126	SQ00015123	F07	3249
127	SQ00015123	F08	2919
128	SQ00015123	F09	3513
129	SQ00015123	F10	3131
130	SQ00015123	F11	3658
131	SQ00015123	F12	3119
132	SQ00015123	F13	2579
133	SQ00015123	F14	3350
134	SQ00015123	F15	3170
135	SQ00015123	F16	2883
136	SQ00015123	F17	3603
137	SQ00015123	F18	3168
138	SQ00015123	F19	1053
139	SQ00015123	F20	1724
140	SQ00015123	F21	2519
141	SQ00015123	F22	2965
142	SQ00015123	F23	3313
143	SQ00015123	F24	2907
144	SQ00015123	G01	1593
145	SQ00015123	G02	2125
146	SQ00015123	G03	2850
147	SQ00015123	G04	2691
148	SQ00015123	G05	3166
149	SQ00015123	G06	3134
150	SQ00015123	G07	2904
151	SQ00015123	G08	3199
152	SQ00015123	G09	3096
153	SQ00015123	G10	3504
154	SQ00015123	G11	2936
155	SQ00015123	G12	3238
156	SQ00015123	G13	118
157	SQ00015123	G14	88
158	SQ00015123	G15	88
159	SQ00015123	G16	90
160	SQ00015123	G17	101
161	SQ00015123	G18	97
162	SQ00015123	G19	1815
163	SQ00015123	G20	2609
164	SQ00015123	G21	2344
165	SQ00015123	G22	3379
166	SQ00015123	G23	3059
167	SQ00015123	G24	3151
168	SQ00015123	H01	545
169	SQ00015123	H02	1376
170	SQ00015123	H03	1813
171	SQ00015123	H04	2549
172	SQ00015123	H05	3025
173	SQ00015123	H06	2774
174	SQ00015123	H07	2961
175	SQ00015123	H08	3658
176	SQ00015123	H09	3456
177	SQ00015123	H10	3506
178	SQ00015123	H11	3305
179	SQ00015123	H12	3015
180	SQ00015123	H13	1374
181	SQ00015123	H14	2861
182	SQ00015123	H15	2999
183	SQ00015123	H16	3225
184	SQ00015123	H17	3202
185	SQ00015123	H18	3251
186	SQ00015123	H19	3317
187	SQ00015123	H20	3118
188	SQ00015123	H21	3377
189	SQ00015123	H22	3422
190	SQ00015123	H23	2647
191	SQ00015123	H24	3109
192	SQ00015123	I01	1383
193	SQ00015123	I02	1890
194	SQ00015123	I03	2377
195	SQ00015123	I04	2951
196	SQ00015123	I05	2735
197	SQ00015123	I06	3237
198	SQ00015123	I07	333
199	SQ00015123	I08	1500
200	SQ00015123	I09	2651
201	SQ00015123	I10	2506
202	SQ00015123	I11	2683
203	SQ00015123	I12	3269
204	SQ00015123	I13	3100
205	SQ00015123	I14	3240
206	SQ00015123	I15	2804
207	SQ00015123	I16	2811
208	SQ00015123	I17	2936
209	SQ00015123	I18	2660
210	SQ00015123	I19	2931
211	SQ00015123	I20	2457
212	SQ00015123	I21	3024
213	SQ00015123	I22	3118
214	SQ00015123	I23	2923
215	SQ00015123	I24	2715
216	SQ00015123	J01	1554
217	SQ00015123	J02	2168
218	SQ00015123	J03	2783
219	SQ00015123	J04	2725
220	SQ00015123	J05	2740
221	SQ00015123	J06	2888
222	SQ00015123	J07	208
223	SQ00015123	J08	304
224	SQ00015123	J09	617
225	SQ00015123	J10	565
226	SQ00015123	J11	1107
227	SQ00015123	J12	2335
228	SQ00015123	J13	3200
229	SQ00015123	J14	3125
230	SQ00015123	J15	2865
231	SQ00015123	J16	3016
232	SQ00015123	J17	3319
233	SQ00015123	J18	3020
234	SQ00015123	J19	2695
235	SQ00015123	J20	3190
236	SQ00015123	J21	3536
237	SQ00015123	J22	3854
238	SQ00015123	J23	3294
239	SQ00015123	J24	2874
240	SQ00015123	K01	1962
241	SQ00015123	K02	2052
242	SQ00015123	K03	2356
243	SQ00015123	K04	2838
244	SQ00015123	K05	2652
245	SQ00015123	K06	3322
246	SQ00015123	K07	43
247	SQ00015123	K08	36
248	SQ00015123	K09	42
249	SQ00015123	K10	31
250	SQ00015123	K11	36
251	SQ00015123	K12	41
252	SQ00015123	K13	1786
253	SQ00015123	K14	3324
254	SQ00015123	K15	3244
255	SQ00015123	K16	3167
256	SQ00015123	K17	3260
257	SQ00015123	K18	2627
258	SQ00015123	K19	177
259	SQ00015123	K20	2977
260	SQ00015123	K21	2973
261	SQ00015123	K22	3194
262	SQ00015123	K23	3005
263	SQ00015123	K24	2929
264	SQ00015123	L01	2126
265	SQ00015123	L02	2615
266	SQ00015123	L03	2968
267	SQ00015123	L04	2778
268	SQ00015123	L05	3071
269	SQ00015123	L06	3336
270	SQ00015123	L07	3021
271	SQ00015123	L08	3143
272	SQ00015123	L09	3511
273	SQ00015123	L10	3324
274	SQ00015123	L11	3419
275	SQ00015123	L12	3118
276	SQ00015123	L13	3142
277	SQ00015123	L14	2625
278	SQ00015123	L15	3175
279	SQ00015123	L16	3213
280	SQ00015123	L17	3051
281	SQ00015123	L18	3041
282	SQ00015123	L19	97
283	SQ00015123	L20	277
284	SQ00015123	L21	1674
285	SQ00015123	L22	2944
286	SQ00015123	L23	3271
287	SQ00015123	L24	2375
288	SQ00015123	M01	1663
289	SQ00015123	M02	2214
290	SQ00015123	M03	2433
291	SQ00015123	M04	2293
292	SQ00015123	M05	2708
293	SQ00015123	M06	2555
294	SQ00015123	M07	3323
295	SQ00015123	M08	2947
296	SQ00015123	M09	2904
297	SQ00015123	M10	2735
298	SQ00015123	M11	2986
299	SQ00015123	M12	3283
300	SQ00015123	M13	1126
301	SQ00015123	M14	1889
302	SQ00015123	M15	2554
303	SQ00015123	M16	3089
304	SQ00015123	M17	2934
305	SQ00015123	M18	2670
306	SQ00015123	M19	2703
307	SQ00015123	M20	2880
308	SQ00015123	M21	2786
309	SQ00015123	M22	2929
310	SQ00015123	M23	2843
311	SQ00015123	M24	3052
312	SQ00015123	N01	1750
313	SQ00015123	N02	2420
314	SQ00015123	N03	2526
315	SQ00015123	N04	2325
316	SQ00015123	N05	3150
317	SQ00015123	N06	3110
318	SQ00015123	N07	2143
319	SQ00015123	N08	2775
320	SQ00015123	N09	2517
321	SQ00015123	N10	2677
322	SQ00015123	N11	3228
323	SQ00015123	N12	2866
324	SQ00015123	N13	2824
325	SQ00015123	N14	2802
326	SQ00015123	N15	2884
327	SQ00015123	N16	3280
328	SQ00015123	N17	2673
329	SQ00015123	N18	2592
330	SQ00015123	N19	1185
331	SQ00015123	N20	2268
332	SQ00015123	N21	2703
333	SQ00015123	N22	3066
334	SQ00015123	N23	2880
335	SQ00015123	N24	2604
336	SQ00015123	O01	42
337	SQ00015123	O02	44
338	SQ00015123	O03	44
339	SQ00015123	O04	50
340	SQ00015123	O05	41
341	SQ00015123	O06	44
342	SQ00015123	O07	2655
343	SQ00015123	O08	2459
344	SQ00015123	O09	2495
345	SQ00015123	O10	2815
346	SQ00015123	O11	2778
347	SQ00015123	O12	3081
348	SQ00015123	O13	871
349	SQ00015123	O14	985
350	SQ00015123	O15	1383
351	SQ00015123	O16	1959
352	SQ00015123	O17	2631
353	SQ00015123	O18	2706
354	SQ00015123	O19	2736
355	SQ00015123	O20	2723
356	SQ00015123	O21	2829
357	SQ00015123	O22	3117
358	SQ00015123	O23	2659
359	SQ00015123	O24	2803
360	SQ00015123	P01	445
361	SQ00015123	P02	538
362	SQ00015123	P03	597
363	SQ00015123	P04	702
364	SQ00015123	P05	856
365	SQ00015123	P06	863
366	SQ00015123	P07	2606
367	SQ00015123	P08	2708
368	SQ00015123	P09	2465
369	SQ00015123	P10	2606
370	SQ00015123	P11	2848
371	SQ00015123	P12	2703
372	SQ00015123	P13	2631
373	SQ00015123	P14	2937
374	SQ00015123	P15	2840
375	SQ00015123	P16	2873
376	SQ00015123	P17	3172
377	SQ00015123	P18	2664
378	SQ00015123	P19	3029
379	SQ00015123	P20	2625
380	SQ00015123	P21	2952
381	SQ00015123	P22	2731
382	SQ00015123	P23	3001
383	SQ00015123	P24	2588
