Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015045,A01,2138
SQ00015045,A02,1854
SQ00015045,A03,2029
SQ00015045,A04,2388
SQ00015045,A05,2131
SQ00015045,A06,2548
SQ00015045,A07,2455
SQ00015045,A08,2417
SQ00015045,A09,2659
SQ00015045,A10,2180
SQ00015045,A11,2493
SQ00015045,A12,2632
SQ00015045,A13,2474
SQ00015045,A14,2506
SQ00015045,A15,2616
SQ00015045,A16,2331
SQ00015045,A17,2323
SQ00015045,A18,2721
SQ00015045,A19,2553
SQ00015045,A20,2612
SQ00015045,A21,2292
SQ00015045,A22,2306
SQ00015045,A23,2444
SQ00015045,A24,2297
SQ00015045,B01,2151
SQ00015045,B02,2360
SQ00015045,B03,2547
SQ00015045,B04,2827
SQ00015045,B05,2370
SQ00015045,B06,2548
SQ00015045,B07,1957
SQ00015045,B08,2408
SQ00015045,B09,2743
SQ00015045,B10,2740
SQ00015045,B11,2571
SQ00015045,B12,2663
SQ00015045,B13,2309
SQ00015045,B14,2458
SQ00015045,B15,2639
SQ00015045,B16,2786
SQ00015045,B17,2799
SQ00015045,B18,2850
SQ00015045,B19,2628
SQ00015045,B20,2810
SQ00015045,B21,2759
SQ00015045,B22,2730
SQ00015045,B23,2526
SQ00015045,B24,2836
SQ00015045,C01,2239
SQ00015045,C02,2302
SQ00015045,C03,2558
SQ00015045,C04,2815
SQ00015045,C05,2900
SQ00015045,C06,2725
SQ00015045,C07,3029
SQ00015045,C08,2683
SQ00015045,C09,2951
SQ00015045,C10,2779
SQ00015045,C11,2950
SQ00015045,C12,3028
SQ00015045,C13,2005
SQ00015045,C14,2518
SQ00015045,C15,2947
SQ00015045,C16,2800
SQ00015045,C17,2930
SQ00015045,C18,2743
SQ00015045,C19,99
SQ00015045,C20,113
SQ00015045,C21,106
SQ00015045,C22,126
SQ00015045,C23,136
SQ00015045,C24,138
SQ00015045,D01,2182
SQ00015045,D02,2594
SQ00015045,D03,2207
SQ00015045,D04,3035
SQ00015045,D05,2873
SQ00015045,D06,2819
SQ00015045,D07,2771
SQ00015045,D08,3121
SQ00015045,D09,2718
SQ00015045,D10,3090
SQ00015045,D11,2557
SQ00015045,D12,3072
SQ00015045,D13,1709
SQ00015045,D14,2207
SQ00015045,D15,2145
SQ00015045,D16,2303
SQ00015045,D17,2766
SQ00015045,D18,2737
SQ00015045,D19,2109
SQ00015045,D20,2524
SQ00015045,D21,2399
SQ00015045,D22,2645
