Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015212,A01,1902
SQ00015212,A02,1687
SQ00015212,A03,1949
SQ00015212,A04,1694
SQ00015212,A05,1957
SQ00015212,A06,1957
SQ00015212,A07,499
SQ00015212,A08,497
SQ00015212,A09,522
SQ00015212,A10,747
SQ00015212,A11,1391
SQ00015212,A12,1948
SQ00015212,A13,1296
SQ00015212,A14,1611
SQ00015212,A15,1757
SQ00015212,A16,1832
SQ00015212,A17,2138
SQ00015212,A18,1657
SQ00015212,A19,1791
SQ00015212,A20,1911
SQ00015212,A21,1856
SQ00015212,A22,2010
SQ00015212,A23,1769
SQ00015212,A24,1602
SQ00015212,B01,1904
SQ00015212,B02,1851
SQ00015212,B03,2000
SQ00015212,B04,1998
SQ00015212,B05,1858
SQ00015212,B06,2039
SQ00015212,B07,157
SQ00015212,B08,219
SQ00015212,B09,191
SQ00015212,B10,232
SQ00015212,B11,322
SQ00015212,B12,340
SQ00015212,B13,2013
SQ00015212,B14,2026
SQ00015212,B15,2193
SQ00015212,B16,1993
SQ00015212,B17,1926
SQ00015212,B18,2044
SQ00015212,B19,2328
SQ00015212,B20,2106
SQ00015212,B21,1776
SQ00015212,B22,2270
SQ00015212,B23,2396
SQ00015212,B24,1939
SQ00015212,C01,2167
SQ00015212,C02,2162
SQ00015212,C03,2075
SQ00015212,C04,2066
SQ00015212,C05,1751
SQ00015212,C06,2034
SQ00015212,C07,1652
SQ00015212,C08,1982
SQ00015212,C09,1920
SQ00015212,C10,2126
SQ00015212,C11,2240
SQ00015212,C12,1977
SQ00015212,C13,2048
SQ00015212,C14,2479
SQ00015212,C15,2370
SQ00015212,C16,1874
SQ00015212,C17,1969
SQ00015212,C18,2408
SQ00015212,C19,93
SQ00015212,C20,86
SQ00015212,C21,76
SQ00015212,C22,76
SQ00015212,C23,66
SQ00015212,C24,91
SQ00015212,D01,2654
SQ00015212,D02,2260
SQ00015212,D03,1985
SQ00015212,D04,2336
SQ00015212,D05,2398
SQ00015212,D06,2302
SQ00015212,D07,1915
SQ00015212,D08,2081
SQ00015212,D09,2531
SQ00015212,D10,2397
SQ00015212,D11,2144
SQ00015212,D12,2307
SQ00015212,D13,266
SQ00015212,D14,639
SQ00015212,D15,1409
SQ00015212,D16,1974
SQ00015212,D17,2155
SQ00015212,D18,2181
SQ00015212,D19,1843
SQ00015212,D20,1627
SQ00015212,D21,1865
SQ00015212,D22,2199
SQ00015212,D23,1982
SQ00015212,D24,2094
SQ00015212,E01,1493
SQ00015212,E02,2200
SQ00015212,E03,2354
SQ00015212,E04,2355
SQ00015212,E05,2571
SQ00015212,E06,2622
SQ00015212,E07,2176
SQ00015212,E08,2241
SQ00015212,E09,2274
SQ00015212,E10,2359
SQ00015212,E11,2144
SQ00015212,E12,2299
SQ00015212,E13,2006
SQ00015212,E14,2218
SQ00015212,E15,2470
SQ00015212,E16,2073
SQ00015212,E17,2487
SQ00015212,E18,2418
SQ00015212,E19,2227
SQ00015212,E20,2621
SQ00015212,E21,2437
SQ00015212,E22,2346
SQ00015212,E23,2378
SQ00015212,E24,2073
SQ00015212,F01,1805
SQ00015212,F02,2041
SQ00015212,F03,1898
SQ00015212,F04,1939
SQ00015212,F05,1992
SQ00015212,F06,1874
SQ00015212,F07,2112
SQ00015212,F08,2493
SQ00015212,F09,2390
SQ00015212,F10,2526
SQ00015212,F11,2356
SQ00015212,F12,232
SQ00015212,F13,2335
SQ00015212,F14,2297
