Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015199,A01,2244
SQ00015199,A02,2433
SQ00015199,A03,2285
SQ00015199,A04,2312
SQ00015199,A05,2470
SQ00015199,A06,2249
SQ00015199,A07,2128
SQ00015199,A08,2179
SQ00015199,A09,2285
SQ00015199,A10,2664
SQ00015199,A11,2267
SQ00015199,A12,2003
SQ00015199,A13,2026
SQ00015199,A14,2603
SQ00015199,A15,2308
SQ00015199,A16,2337
SQ00015199,A17,2336
SQ00015199,A18,2300
SQ00015199,A19,1316
SQ00015199,A20,2820
SQ00015199,A21,2636
SQ00015199,A22,2411
SQ00015199,A23,2582
SQ00015199,A24,1954
SQ00015199,B01,2228
SQ00015199,B02,2673
SQ00015199,B03,2536
SQ00015199,B04,2381
SQ00015199,B05,2688
SQ00015199,B06,2519
SQ00015199,B07,2571
SQ00015199,B08,2468
SQ00015199,B09,2454
SQ00015199,B10,2469
SQ00015199,B11,2432
SQ00015199,B12,2549
SQ00015199,B13,2040
SQ00015199,B14,2453
SQ00015199,B15,2209
SQ00015199,B16,2167
SQ00015199,B17,2676
SQ00015199,B18,2508
SQ00015199,B19,2422
SQ00015199,B20,2264
SQ00015199,B21,2473
SQ00015199,B22,2331
SQ00015199,B23,2311
SQ00015199,B24,2073
SQ00015199,C01,1385
SQ00015199,C02,2701
SQ00015199,C03,2555
SQ00015199,C04,2763
SQ00015199,C05,2668
SQ00015199,C06,2361
SQ00015199,C07,839
SQ00015199,C08,1647
SQ00015199,C09,1656
SQ00015199,C10,2166
SQ00015199,C11,2229
SQ00015199,C12,2304
SQ00015199,C13,368
SQ00015199,C14,637
SQ00015199,C15,1625
SQ00015199,C16,2297
SQ00015199,C17,1984
SQ00015199,C18,2527
SQ00015199,C19,98
SQ00015199,C20,93
SQ00015199,C21,87
SQ00015199,C22,70
SQ00015199,C23,118
SQ00015199,C24,83
SQ00015199,D01,1732
SQ00015199,D02,2537
SQ00015199,D03,2404
SQ00015199,D04,2588
SQ00015199,D05,2504
SQ00015199,D06,2933
SQ00015199,D07,1777
SQ00015199,D08,2248
SQ00015199,D09,2323
SQ00015199,D10,2840
SQ00015199,D11,2468
SQ00015199,D12,2652
SQ00015199,D13,2325
SQ00015199,D14,2129
SQ00015199,D15,2569
SQ00015199,D16,2367
SQ00015199,D17,2349
SQ00015199,D18,2212
SQ00015199,D19,1235
SQ00015199,D20,2123
SQ00015199,D21,2324
SQ00015199,D22,1956
SQ00015199,D23,2394
SQ00015199,D24,2117
SQ00015199,E01,2097
SQ00015199,E02,2205
SQ00015199,E03,2429
SQ00015199,E04,2314
SQ00015199,E05,2338
SQ00015199,E06,2840
SQ00015199,E07,265
SQ00015199,E08,222
SQ00015199,E09,410
SQ00015199,E10,423
SQ00015199,E11,483
SQ00015199,E12,636
SQ00015199,E13,133
SQ00015199,E14,122
SQ00015199,E15,181
SQ00015199,E16,206
SQ00015199,E17,606
SQ00015199,E18,1129
SQ00015199,E19,1141
SQ00015199,E20,1396
SQ00015199,E21,1566
SQ00015199,E22,1839
SQ00015199,E23,1777
SQ00015199,E24,1995
SQ00015199,F01,570
SQ00015199,F02,2356
SQ00015199,F03,2485
SQ00015199,F04,2390
SQ00015199,F05,2493
SQ00015199,F06,2470
SQ00015199,F07,2556
SQ00015199,F08,2461
SQ00015199,F09,2413
SQ00015199,F10,2479
SQ00015199,F11,1905
SQ00015199,F12,2326
SQ00015199,F13,1150
SQ00015199,F14,2187
SQ00015199,F15,2404
SQ00015199,F16,2204
SQ00015199,F17,2407
SQ00015199,F18,2716
SQ00015199,F19,556
SQ00015199,F20,2226
SQ00015199,F21,2489
SQ00015199,F22,2372
SQ00015199,F23,2306
SQ00015199,F24,2584
SQ00015199,G01,2406
SQ00015199,G02,2432
SQ00015199,G03,2251
SQ00015199,G04,2510
SQ00015199,G05,2399
SQ00015199,G06,2521
SQ00015199,G07,2017
