Metadata_Plate,Metadata_Well,cell_count
BR00092757,A01,1086
BR00092757,A02,1352
BR00092757,A03,1519
BR00092757,A04,1035
BR00092757,A05,1482
BR00092757,A06,1571
BR00092757,A07,528
BR00092757,A08,570
BR00092757,A09,663
BR00092757,A10,1252
BR00092757,A11,1436
BR00092757,A12,1901
BR00092757,A13,198
BR00092757,A14,212
BR00092757,A15,401
BR00092757,A16,383
BR00092757,A17,616
BR00092757,A18,1444
BR00092757,A19,1394
BR00092757,A20,1513
BR00092757,A21,1442
BR00092757,A22,278
BR00092757,A23,464
BR00092757,A24,786
BR00092757,B01,1244
BR00092757,B02,1441
BR00092757,B03,1468
BR00092757,B04,245
BR00092757,B05,302
BR00092757,B06,1435
BR00092757,B07,717
BR00092757,B08,1273
BR00092757,B09,1514
BR00092757,B10,507
BR00092757,B11,679
BR00092757,B12,708
BR00092757,B13,1455
BR00092757,B14,1567
BR00092757,B15,1484
BR00092757,B16,903
BR00092757,B17,1464
BR00092757,B18,1455
BR00092757,B19,1569
BR00092757,B20,1353
BR00092757,B21,1340
BR00092757,B22,1170
BR00092757,B23,1329
BR00092757,B24,1345
BR00092757,C01,485
BR00092757,C02,1475
BR00092757,C03,1726
BR00092757,C04,200
BR00092757,C05,146
BR00092757,C06,485
BR00092757,C07,367
BR00092757,C08,788
BR00092757,C09,1501
BR00092757,C10,1568
BR00092757,C11,1726
BR00092757,C12,1756
BR00092757,C13,1130
BR00092757,C14,1585
BR00092757,C15,1735
BR00092757,C16,1459
BR00092757,C17,1617
BR00092757,C18,1677
BR00092757,C19,62
BR00092757,C20,75
BR00092757,C21,74
BR00092757,C22,67
BR00092757,C23,65
BR00092757,C24,67
BR00092757,D01,277
BR00092757,D02,390
BR00092757,D03,1147
BR00092757,D04,177
BR00092757,D05,145
BR00092757,D06,317
BR00092757,D07,926
BR00092757,D08,1847
BR00092757,D09,1754
BR00092757,D10,26
BR00092757,D11,32
BR00092757,D12,963
BR00092757,D13,1149
BR00092757,D14,1714
BR00092757,D15,1645
BR00092757,D16,498
BR00092757,D17,474
BR00092757,D18,516
BR00092757,D19,444
BR00092757,D20,1150
BR00092757,D21,1462
BR00092757,D22,1227
BR00092757,D23,1220
BR00092757,D24,1289
BR00092757,E01,892
BR00092757,E02,1550
BR00092757,E03,1465
BR00092757,E04,824
BR00092757,E05,1836
BR00092757,E06,1587
BR00092757,E07,1062
BR00092757,E08,1716
BR00092757,E09,1838
BR00092757,E10,1771
BR00092757,E11,1811
BR00092757,E12,1815
BR00092757,E13,279
BR00092757,E14,1672
BR00092757,E15,1042
BR00092757,E16,843
BR00092757,E17,1049
BR00092757,E18,1319
BR00092757,E19,1620
BR00092757,E20,1494
BR00092757,E21,1663
BR00092757,E22,840
BR00092757,E23,1366
BR00092757,E24,1400
BR00092757,F01,1115
BR00092757,F02,1236
BR00092757,F03,1772
BR00092757,F04,148
BR00092757,F05,1087
BR00092757,F06,1610
BR00092757,F07,1791
BR00092757,F08,1839
BR00092757,F09,1668
BR00092757,F10,1024
BR00092757,F11,1484
BR00092757,F12,1820
BR00092757,F13,481
BR00092757,F14,1207
BR00092757,F15,1759
BR00092757,F16,24
BR00092757,F17,29
BR00092757,F18,176
BR00092757,F19,1195
BR00092757,F20,1810
BR00092757,F21,1336
BR00092757,F22,1094
BR00092757,F23,1536
BR00092757,F24,1205
BR00092757,G01,1067
BR00092757,G02,1453
BR00092757,G03,1951
BR00092757,G04,945
BR00092757,G05,1914
BR00092757,G06,1981
BR00092757,G07,1439
BR00092757,G08,1769
BR00092757,G09,1804
BR00092757,G10,1216
BR00092757,G11,1594
BR00092757,G12,1672
BR00092757,G13,1552
BR00092757,G14,1686
BR00092757,G15,1691
BR00092757,G16,1592
BR00092757,G17,1787
BR00092757,G18,1969
BR00092757,G19,1205
BR00092757,G20,1731
BR00092757,G21,1634
BR00092757,G22,1229
BR00092757,G23,1216
BR00092757,G24,1066
BR00092757,H01,1151
BR00092757,H02,1556
BR00092757,H03,1387
BR00092757,H04,1489
BR00092757,H05,1444
BR00092757,H06,1758
BR00092757,H07,1336
BR00092757,H08,1905
BR00092757,H09,1591
BR00092757,H10,1819
BR00092757,H11,1980
BR00092757,H12,1798
BR00092757,H13,1517
BR00092757,H14,1639
BR00092757,H15,1843
BR00092757,H16,1292
BR00092757,H17,1368
BR00092757,H18,1808
BR00092757,H19,196
BR00092757,H20,198
BR00092757,H21,246
BR00092757,H22,340
BR00092757,H23,957
BR00092757,H24,953
BR00092757,I01,192
BR00092757,I02,211
BR00092757,I03,313
BR00092757,I04,15
BR00092757,I05,1595
BR00092757,I06,1823
BR00092757,I07,28
BR00092757,I08,27
BR00092757,I09,439
BR00092757,I10,1833
BR00092757,I11,1547
BR00092757,I12,1598
BR00092757,I13,1000
BR00092757,I14,1561
BR00092757,I15,1727
BR00092757,I16,241
BR00092757,I17,221
BR00092757,I18,303
BR00092757,I19,1899
BR00092757,I20,1654
BR00092757,I21,1584
BR00092757,I22,1380
BR00092757,I23,1118
BR00092757,I24,1270
BR00092757,J01,211
BR00092757,J02,1379
BR00092757,J03,1556
BR00092757,J04,323
BR00092757,J05,379
BR00092757,J06,1491
BR00092757,J07,1359
BR00092757,J08,1653
BR00092757,J09,1365
BR00092757,J10,168
BR00092757,J11,143
BR00092757,J12,315
BR00092757,J13,557
BR00092757,J14,1354
BR00092757,J15,1475
BR00092757,J16,1917
BR00092757,J17,1739
BR00092757,J18,2016
BR00092757,J19,300
BR00092757,J20,259
BR00092757,J21,685
BR00092757,J22,1367
BR00092757,J23,1267
BR00092757,J24,1424
BR00092757,K01,363
BR00092757,K02,1331
BR00092757,K03,1663
BR00092757,K04,1416
BR00092757,K05,1865
BR00092757,K06,1834
BR00092757,K07,75
BR00092757,K08,77
BR00092757,K09,86
BR00092757,K10,73
BR00092757,K11,87
BR00092757,K12,65
BR00092757,K13,1625
BR00092757,K14,1758
BR00092757,K15,1608
BR00092757,K16,484
BR00092757,K17,743
BR00092757,K18,940
BR00092757,K19,444
BR00092757,K20,783
BR00092757,K21,1751
BR00092757,K22,420
BR00092757,K23,1196
BR00092757,K24,1022
BR00092757,L01,276
BR00092757,L02,1089
BR00092757,L03,1137
BR00092757,L04,435
BR00092757,L05,1175
BR00092757,L06,1789
BR00092757,L07,883
BR00092757,L08,1824
BR00092757,L09,1732
BR00092757,L10,564
BR00092757,L11,498
BR00092757,L12,449
BR00092757,L13,272
BR00092757,L14,225
BR00092757,L15,290
BR00092757,L16,331
BR00092757,L17,1436
BR00092757,L18,1685
BR00092757,L19,1423
BR00092757,L20,1572
BR00092757,L21,1730
BR00092757,L22,228
BR00092757,L23,877
BR00092757,L24,998
BR00092757,M01,352
BR00092757,M02,1391
BR00092757,M03,1400
BR00092757,M04,1494
BR00092757,M05,1572
BR00092757,M06,1731
BR00092757,M07,219
BR00092757,M08,244
BR00092757,M09,262
BR00092757,M10,1437
BR00092757,M11,1518
BR00092757,M12,1400
BR00092757,M13,212
BR00092757,M14,195
BR00092757,M15,241
BR00092757,M16,1697
BR00092757,M17,1677
BR00092757,M18,1589
BR00092757,M19,112
BR00092757,M20,1069
BR00092757,M21,1309
BR00092757,M22,29
BR00092757,M23,39
BR00092757,M24,146
BR00092757,N01,199
BR00092757,N02,301
BR00092757,N03,783
BR00092757,N04,49
BR00092757,N05,261
BR00092757,N06,433
BR00092757,N07,44
BR00092757,N08,265
BR00092757,N09,365
BR00092757,N10,1361
BR00092757,N11,1280
BR00092757,N12,1413
BR00092757,N13,255
BR00092757,N14,1059
BR00092757,N15,1263
BR00092757,N16,501
BR00092757,N17,500
BR00092757,N18,867
BR00092757,N19,565
BR00092757,N20,538
BR00092757,N21,838
BR00092757,N22,430
BR00092757,N23,976
BR00092757,N24,884
BR00092757,O01,961
BR00092757,O02,1119
BR00092757,O03,1119
BR00092757,O04,1376
BR00092757,O05,1475
BR00092757,O06,1147
BR00092757,O07,446
BR00092757,O08,1173
BR00092757,O09,1013
BR00092757,O10,165
BR00092757,O11,183
BR00092757,O12,300
BR00092757,O13,1059
BR00092757,O14,851
BR00092757,O15,1106
BR00092757,O16,151
BR00092757,O17,526
BR00092757,O18,975
BR00092757,O19,10
BR00092757,O20,24
BR00092757,O21,199
BR00092757,O22,56
BR00092757,O23,42
BR00092757,O24,362
BR00092757,P01,48
BR00092757,P02,51
BR00092757,P03,75
BR00092757,P04,181
BR00092757,P05,137
BR00092757,P06,252
BR00092757,P07,215
BR00092757,P08,507
BR00092757,P09,825
BR00092757,P10,72
BR00092757,P11,93
BR00092757,P12,137
BR00092757,P13,5
BR00092757,P14,272
BR00092757,P15,706
BR00092757,P16,1080
BR00092757,P17,1128
BR00092757,P18,865
BR00092757,P19,415
BR00092757,P20,931
BR00092757,P21,874
BR00092757,P22,493
BR00092757,P23,620
BR00092757,P24,951
