Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015196,A01,2179
SQ00015196,A02,1851
SQ00015196,A03,2321
SQ00015196,A04,2233
SQ00015196,A05,2044
SQ00015196,A06,1815
SQ00015196,A07,2031
SQ00015196,A08,1921
SQ00015196,A09,2317
SQ00015196,A10,2467
SQ00015196,A11,2220
SQ00015196,A12,2279
SQ00015196,A13,233
SQ00015196,A14,217
SQ00015196,A15,205
SQ00015196,A16,803
SQ00015196,A17,1642
SQ00015196,A18,2441
SQ00015196,A19,270
SQ00015196,A20,262
SQ00015196,A21,295
SQ00015196,A22,262
SQ00015196,A23,365
SQ00015196,A24,1202
SQ00015196,B01,1925
SQ00015196,B02,2493
SQ00015196,B03,2092
SQ00015196,B04,2181
SQ00015196,B05,2327
SQ00015196,B06,2444
SQ00015196,B07,808
SQ00015196,B08,1253
SQ00015196,B09,2028
SQ00015196,B10,2290
SQ00015196,B11,2525
SQ00015196,B12,2499
SQ00015196,B13,2124
SQ00015196,B14,2377
SQ00015196,B15,2431
SQ00015196,B16,2681
SQ00015196,B17,2641
SQ00015196,B18,2375
SQ00015196,B19,2275
SQ00015196,B20,2190
SQ00015196,B21,2141
SQ00015196,B22,2372
SQ00015196,B23,2488
SQ00015196,B24,2052
SQ00015196,C01,1540
SQ00015196,C02,2205
SQ00015196,C03,1966
SQ00015196,C04,2316
SQ00015196,C05,2252
SQ00015196,C06,2208
SQ00015196,C07,2638
SQ00015196,C08,2773
SQ00015196,C09,2522
SQ00015196,C10,2616
SQ00015196,C11,2239
SQ00015196,C12,2310
SQ00015196,C13,1922
SQ00015196,C14,2327
SQ00015196,C15,2532
SQ00015196,C16,2145
SQ00015196,C17,2281
SQ00015196,C18,2367
SQ00015196,C19,93
SQ00015196,C20,98
SQ00015196,C21,109
SQ00015196,C22,119
SQ00015196,C23,87
SQ00015196,C24,86
SQ00015196,D01,2522
SQ00015196,D02,2376
SQ00015196,D03,2253
SQ00015196,D04,2337
SQ00015196,D05,2435
SQ00015196,D06,2071
SQ00015196,D07,2511
SQ00015196,D08,2503
SQ00015196,D09,2362
SQ00015196,D10,2494
SQ00015196,D11,2222
SQ00015196,D12,2498
SQ00015196,D13,2448
SQ00015196,D14,2539
SQ00015196,D15,2174
SQ00015196,D16,2479
SQ00015196,D17,2159
SQ00015196,D18,2010
SQ00015196,D19,2337
SQ00015196,D20,2182
SQ00015196,D21,2011
SQ00015196,D22,2092
SQ00015196,D23,2482
SQ00015196,D24,2306
SQ00015196,E01,2599
SQ00015196,E02,2835
SQ00015196,E03,2747
SQ00015196,E04,2711
SQ00015196,E05,2396
SQ00015196,E06,2345
SQ00015196,E07,2370
SQ00015196,E08,2419
SQ00015196,E09,2626
SQ00015196,E10,2337
SQ00015196,E11,2480
SQ00015196,E12,2293
SQ00015196,E13,2082
SQ00015196,E14,2259
SQ00015196,E15,2107
SQ00015196,E16,2684
SQ00015196,E17,2472
SQ00015196,E18,2649
SQ00015196,E19,2462
SQ00015196,E20,2412
SQ00015196,E21,2890
SQ00015196,E22,2528
SQ00015196,E23,2187
SQ00015196,E24,2542
SQ00015196,F01,1611
SQ00015196,F02,2501
SQ00015196,F03,2742
SQ00015196,F04,2605
SQ00015196,F05,2245
SQ00015196,F06,2271
SQ00015196,F07,2073
SQ00015196,F08,2359
SQ00015196,F09,2294
SQ00015196,F10,2487
SQ00015196,F11,2244
SQ00015196,F12,2319
SQ00015196,F13,2187
SQ00015196,F14,2449
SQ00015196,F15,2452
SQ00015196,F16,2481
SQ00015196,F17,2365
SQ00015196,F18,2563
SQ00015196,F19,1522
SQ00015196,F20,2183
SQ00015196,F21,2257
SQ00015196,F22,2494
SQ00015196,F23,2259
SQ00015196,F24,2429
SQ00015196,G01,2388
SQ00015196,G02,2149
SQ00015196,G03,2315
SQ00015196,G04,2200
SQ00015196,G05,2290
SQ00015196,G06,2228
SQ00015196,G07,1176
SQ00015196,G08,2060
SQ00015196,G09,2462
SQ00015196,G10,2413
SQ00015196,G11,2224
SQ00015196,G12,2230
SQ00015196,G13,73
SQ00015196,G14,80
SQ00015196,G15,73
SQ00015196,G16,62
SQ00015196,G17,66
SQ00015196,G18,76
SQ00015196,G19,2087
SQ00015196,G20,2552
SQ00015196,G21,2289
SQ00015196,G22,2174
SQ00015196,G23,2643
SQ00015196,G24,2341
SQ00015196,H01,2094
SQ00015196,H02,2447
SQ00015196,H03,2550
SQ00015196,H04,2357
SQ00015196,H05,2435
SQ00015196,H06,2233
SQ00015196,H07,2528
SQ00015196,H08,2305
SQ00015196,H09,1903
SQ00015196,H10,1879
SQ00015196,H11,2650
SQ00015196,H12,2307
SQ00015196,H13,1494
SQ00015196,H14,2421
SQ00015196,H15,1915
SQ00015196,H16,2051
SQ00015196,H17,2271
SQ00015196,H18,2334
SQ00015196,H19,2096
SQ00015196,H20,2389
SQ00015196,H21,2470
SQ00015196,H22,2700
SQ00015196,H23,2398
SQ00015196,H24,2180
SQ00015196,I01,1927
SQ00015196,I02,2219
SQ00015196,I03,2083
SQ00015196,I04,2259
SQ00015196,I05,2703
SQ00015196,I06,2401
SQ00015196,I07,1123
SQ00015196,I08,1768
SQ00015196,I09,2202
SQ00015196,I10,2157
SQ00015196,I11,2198
SQ00015196,I12,2267
SQ00015196,I13,2147
SQ00015196,I14,1985
SQ00015196,I15,2319
SQ00015196,I16,2163
SQ00015196,I17,2377
SQ00015196,I18,2130
SQ00015196,I19,2251
SQ00015196,I20,2243
SQ00015196,I21,2310
SQ00015196,I22,2278
SQ00015196,I23,2213
SQ00015196,I24,2310
SQ00015196,J01,2167
SQ00015196,J02,2420
SQ00015196,J03,2434
SQ00015196,J04,2328
SQ00015196,J05,2462
SQ00015196,J06,2279
SQ00015196,J07,2105
SQ00015196,J08,2190
SQ00015196,J09,2351
SQ00015196,J10,2261
SQ00015196,J11,2179
SQ00015196,J12,2439
SQ00015196,J13,2293
SQ00015196,J14,2585
SQ00015196,J15,2186
SQ00015196,J16,2485
SQ00015196,J17,2261
SQ00015196,J18,2248
SQ00015196,J19,981
SQ00015196,J20,2290
SQ00015196,J21,2527
SQ00015196,J22,1553
SQ00015196,J23,2191
SQ00015196,J24,2197
SQ00015196,K01,798
