Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015044,A01,1844
SQ00015044,A02,2077
SQ00015044,A03,2077
SQ00015044,A04,2307
SQ00015044,A05,2401
SQ00015044,A06,2268
SQ00015044,A07,2540
SQ00015044,A08,2601
SQ00015044,A09,2619
SQ00015044,A10,2559
SQ00015044,A11,2355
SQ00015044,A12,2907
SQ00015044,A13,2555
SQ00015044,A14,2782
SQ00015044,A15,2520
SQ00015044,A16,2677
SQ00015044,A17,2481
SQ00015044,A18,2207
SQ00015044,A19,2728
SQ00015044,A20,2460
SQ00015044,A21,2061
SQ00015044,A22,2687
SQ00015044,A23,2546
SQ00015044,A24,2372
SQ00015044,B01,2167
SQ00015044,B02,2436
SQ00015044,B03,2513
SQ00015044,B04,2501
SQ00015044,B05,2815
SQ00015044,B06,2787
SQ00015044,B07,2248
SQ00015044,B08,2549
SQ00015044,B09,2635
SQ00015044,B10,2366
SQ00015044,B11,2748
SQ00015044,B12,3045
SQ00015044,B13,2718
SQ00015044,B14,2757
SQ00015044,B15,2570
SQ00015044,B16,2857
SQ00015044,B17,2640
SQ00015044,B18,2828
SQ00015044,B19,2697
SQ00015044,B20,2914
SQ00015044,B21,2720
SQ00015044,B22,2331
SQ00015044,B23,3018
SQ00015044,B24,2391
SQ00015044,C01,2147
SQ00015044,C02,2550
SQ00015044,C03,2640
SQ00015044,C04,2995
SQ00015044,C05,2738
SQ00015044,C06,2954
SQ00015044,C07,3029
SQ00015044,C08,3317
SQ00015044,C09,2791
SQ00015044,C10,2950
SQ00015044,C11,3260
SQ00015044,C12,2685
SQ00015044,C13,1804
SQ00015044,C14,2454
SQ00015044,C15,2669
SQ00015044,C16,2996
SQ00015044,C17,2768
SQ00015044,C18,2840
SQ00015044,C19,121
SQ00015044,C20,126
SQ00015044,C21,101
SQ00015044,C22,98
SQ00015044,C23,132
SQ00015044,C24,138
SQ00015044,D01,2112
SQ00015044,D02,2410
SQ00015044,D03,2405
SQ00015044,D04,2704
SQ00015044,D05,2750
SQ00015044,D06,2808
SQ00015044,D07,2894
SQ00015044,D08,2888
SQ00015044,D09,3149
SQ00015044,D10,3043
SQ00015044,D11,2644
SQ00015044,D12,2963
SQ00015044,D13,1800
SQ00015044,D14,2072
SQ00015044,D15,2088
SQ00015044,D16,2419
SQ00015044,D17,2562
SQ00015044,D18,2598
SQ00015044,D19,2198
SQ00015044,D20,2406
SQ00015044,D21,2335
SQ00015044,D22,2833
SQ00015044,D23,3039
SQ00015044,D24,2463
SQ00015044,E01,42
SQ00015044,E02,313
SQ00015044,E03,425
SQ00015044,E04,452
SQ00015044,E05,458
SQ00015044,E06,476
SQ00015044,E07,1107
SQ00015044,E08,1298
SQ00015044,E09,1315
SQ00015044,E10,1921
SQ00015044,E11,2917
SQ00015044,E12,2872
SQ00015044,E13,2606
SQ00015044,E14,2596
SQ00015044,E15,2826
SQ00015044,E16,2870
SQ00015044,E17,2833
SQ00015044,E18,2863
SQ00015044,E19,2369
SQ00015044,E20,3059
SQ00015044,E21,2852
SQ00015044,E22,2729
SQ00015044,E23,2568
SQ00015044,E24,2382
SQ00015044,F01,2294
SQ00015044,F02,2566
SQ00015044,F03,2834
SQ00015044,F04,2951
SQ00015044,F05,3236
SQ00015044,F06,2925
SQ00015044,F07,2991
SQ00015044,F08,2726
SQ00015044,F09,3107
SQ00015044,F10,2813
SQ00015044,F11,2712
SQ00015044,F12,2677
SQ00015044,F13,2999
SQ00015044,F14,3024
SQ00015044,F15,2960
SQ00015044,F16,2881
SQ00015044,F17,2776
SQ00015044,F18,2325
SQ00015044,F19,2308
SQ00015044,F20,2656
SQ00015044,F21,2692
SQ00015044,F22,2690
SQ00015044,F23,2705
SQ00015044,F24,2584
SQ00015044,G01,2031
SQ00015044,G02,2316
SQ00015044,G03,2847
SQ00015044,G04,2874
SQ00015044,G05,2936
SQ00015044,G06,2974
SQ00015044,G07,2366
SQ00015044,G08,2983
SQ00015044,G09,2506
SQ00015044,G10,2800
SQ00015044,G11,2809
SQ00015044,G12,2639
SQ00015044,G13,75
SQ00015044,G14,98
SQ00015044,G15,92
SQ00015044,G16,79
SQ00015044,G17,91
SQ00015044,G18,63
SQ00015044,G19,226
SQ00015044,G20,374
SQ00015044,G21,454
SQ00015044,G22,587
SQ00015044,G23,1557
SQ00015044,G24,2269
SQ00015044,H01,737
SQ00015044,H02,809
SQ00015044,H03,979
SQ00015044,H04,1514
SQ00015044,H05,2372
SQ00015044,H06,2643
SQ00015044,H07,2774
SQ00015044,H08,2795
SQ00015044,H09,3069
SQ00015044,H10,2766
SQ00015044,H11,3032
SQ00015044,H12,3042
SQ00015044,H13,1917
SQ00015044,H14,2258
SQ00015044,H15,2553
SQ00015044,H16,2498
SQ00015044,H17,2983
SQ00015044,H18,2566
SQ00015044,H19,2653
SQ00015044,H20,2741
SQ00015044,H21,2538
SQ00015044,H22,2763
SQ00015044,H23,2715
SQ00015044,H24,2410
SQ00015044,I01,982
SQ00015044,I02,1698
SQ00015044,I03,2525
SQ00015044,I04,2911
SQ00015044,I05,3000
SQ00015044,I06,2747
SQ00015044,I07,789
SQ00015044,I08,2649
SQ00015044,I09,2785
SQ00015044,I10,2755
SQ00015044,I11,2964
SQ00015044,I12,2992
SQ00015044,I13,2740
SQ00015044,I14,3227
SQ00015044,I15,3009
SQ00015044,I16,2986
