Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015215,A01,1244
SQ00015215,A02,1601
SQ00015215,A03,1279
SQ00015215,A04,1185
SQ00015215,A05,1596
SQ00015215,A06,1523
SQ00015215,A07,1717
SQ00015215,A08,1433
SQ00015215,A09,1338
SQ00015215,A10,1160
SQ00015215,A11,1281
SQ00015215,A12,1679
SQ00015215,A13,1179
SQ00015215,A14,1732
SQ00015215,A15,1547
SQ00015215,A16,1172
SQ00015215,A17,1440
SQ00015215,A18,1334
SQ00015215,A19,442
SQ00015215,A20,985
SQ00015215,A21,956
SQ00015215,A22,1262
SQ00015215,A23,1495
SQ00015215,A24,963
SQ00015215,B01,1355
SQ00015215,B02,1514
SQ00015215,B03,1471
SQ00015215,B04,1572
SQ00015215,B05,1599
SQ00015215,B06,1518
SQ00015215,B07,1336
SQ00015215,B08,1361
SQ00015215,B09,1675
SQ00015215,B10,1596
SQ00015215,B11,1533
SQ00015215,B12,1676
SQ00015215,B13,1308
SQ00015215,B14,1455
SQ00015215,B15,1563
SQ00015215,B16,1528
SQ00015215,B17,1523
SQ00015215,B18,1314
SQ00015215,B19,1508
SQ00015215,B20,1343
SQ00015215,B21,1485
SQ00015215,B22,1342
SQ00015215,B23,1328
SQ00015215,B24,1236
SQ00015215,C01,1088
SQ00015215,C02,1547
SQ00015215,C03,1501
SQ00015215,C04,1693
SQ00015215,C05,1799
SQ00015215,C06,2186
SQ00015215,C07,1533
SQ00015215,C08,1666
SQ00015215,C09,1732
SQ00015215,C10,1667
SQ00015215,C11,1719
SQ00015215,C12,1907
SQ00015215,C13,1442
SQ00015215,C14,1721
SQ00015215,C15,1559
SQ00015215,C16,1711
SQ00015215,C17,1675
SQ00015215,C18,1569
SQ00015215,C19,57
SQ00015215,C20,62
SQ00015215,C21,60
SQ00015215,C22,62
SQ00015215,C23,48
SQ00015215,C24,60
SQ00015215,D01,1445
SQ00015215,D02,1756
SQ00015215,D03,1977
SQ00015215,D04,1968
SQ00015215,D05,1954
