Metadata_Plate,Metadata_Well,cell_count
BR00092726,A01,768
BR00092726,A02,841
BR00092726,A03,1147
BR00092726,A04,766
BR00092726,A05,833
BR00092726,A06,918
BR00092726,A07,644
BR00092726,A08,859
BR00092726,A09,689
BR00092726,A10,744
BR00092726,A11,754
BR00092726,A12,851
BR00092726,A13,78
BR00092726,A14,85
BR00092726,A15,242
BR00092726,A16,445
BR00092726,A17,466
BR00092726,A18,766
BR00092726,A19,836
BR00092726,A20,979
BR00092726,A21,890
BR00092726,A22,67
BR00092726,A23,61
BR00092726,A24,110
BR00092726,B01,885
BR00092726,B02,911
BR00092726,B03,786
BR00092726,B04,188
BR00092726,B05,522
BR00092726,B06,789
BR00092726,B07,247
BR00092726,B08,674
BR00092726,B09,852
BR00092726,B10,436
BR00092726,B11,648
BR00092726,B12,611
BR00092726,B13,844
BR00092726,B14,910
BR00092726,B15,699
BR00092726,B16,923
BR00092726,B17,913
BR00092726,B18,841
BR00092726,B19,937
BR00092726,B20,861
BR00092726,B21,894
BR00092726,B22,886
BR00092726,B23,815
BR00092726,B24,844
BR00092726,C01,574
BR00092726,C02,930
BR00092726,C03,1011
BR00092726,C04,83
BR00092726,C05,296
BR00092726,C06,687
BR00092726,C07,632
BR00092726,C08,769
BR00092726,C09,1176
BR00092726,C10,1144
BR00092726,C11,1066
BR00092726,C12,1017
BR00092726,C13,1035
BR00092726,C14,963
BR00092726,C15,999
BR00092726,C16,1182
BR00092726,C17,1022
BR00092726,C18,877
BR00092726,C19,297
BR00092726,C20,266
BR00092726,C21,269
BR00092726,C22,221
BR00092726,C23,304
BR00092726,C24,257
BR00092726,D01,523
BR00092726,D02,773
BR00092726,D03,1048
BR00092726,D04,350
BR00092726,D05,222
BR00092726,D06,168
BR00092726,D07,968
BR00092726,D08,1166
BR00092726,D09,959
BR00092726,D10,4
BR00092726,D11,17
BR00092726,D12,709
BR00092726,D13,1146
BR00092726,D14,1099
BR00092726,D15,1164
BR00092726,D16,699
BR00092726,D17,620
BR00092726,D18,732
BR00092726,D19,264
BR00092726,D20,963
BR00092726,D21,1103
BR00092726,D22,968
BR00092726,D23,871
BR00092726,D24,962
BR00092726,E01,967
BR00092726,E02,985
BR00092726,E03,1146
BR00092726,E04,1193
BR00092726,E05,1217
BR00092726,E06,1138
BR00092726,E07,1075
BR00092726,E08,1402
BR00092726,E09,1303
BR00092726,E10,1191
BR00092726,E11,1306
BR00092726,E12,1357
BR00092726,E13,731
BR00092726,E14,1243
BR00092726,E15,1185
BR00092726,E16,1101
BR00092726,E17,922
BR00092726,E18,980
BR00092726,E19,1123
BR00092726,E20,1466
BR00092726,E21,1179
BR00092726,E22,707
BR00092726,E23,908
BR00092726,E24,909
BR00092726,F01,932
BR00092726,F02,854
BR00092726,F03,1235
BR00092726,F04,369
BR00092726,F05,1324
BR00092726,F06,1294
BR00092726,F07,1213
BR00092726,F08,1260
BR00092726,F09,1150
BR00092726,F10,583
BR00092726,F11,960
BR00092726,F12,955
BR00092726,F13,771
BR00092726,F14,915
BR00092726,F15,1149
BR00092726,F16,95
BR00092726,F17,133
BR00092726,F18,627
BR00092726,F19,1117
BR00092726,F20,1218
BR00092726,F21,1146
BR00092726,F22,911
BR00092726,F23,843
BR00092726,F24,873
BR00092726,G01,888
BR00092726,G02,1070
BR00092726,G03,1149
BR00092726,G04,711
BR00092726,G05,1194
BR00092726,G06,1022
BR00092726,G07,1140
BR00092726,G08,994
BR00092726,G09,1193
BR00092726,G10,1151
BR00092726,G11,1203
BR00092726,G12,1098
BR00092726,G13,1000
BR00092726,G14,990
BR00092726,G15,1244
BR00092726,G16,1455
BR00092726,G17,1281
BR00092726,G18,1082
BR00092726,G19,862
BR00092726,G20,861
BR00092726,G21,867
BR00092726,G22,956
BR00092726,G23,954
BR00092726,G24,876
BR00092726,H01,856
BR00092726,H02,660
BR00092726,H03,878
BR00092726,H04,1302
BR00092726,H05,1186
BR00092726,H06,1035
BR00092726,H07,1032
BR00092726,H08,1085
BR00092726,H09,1080
BR00092726,H10,1106
BR00092726,H11,904
BR00092726,H12,1053
BR00092726,H13,1149
BR00092726,H14,1039
BR00092726,H15,1026
BR00092726,H16,1219
BR00092726,H17,1180
BR00092726,H18,1001
BR00092726,H19,245
BR00092726,H20,383
BR00092726,H21,433
BR00092726,H22,471
BR00092726,H23,717
BR00092726,H24,681
BR00092726,I01,97
BR00092726,I02,128
BR00092726,I03,198
BR00092726,I04,15
BR00092726,I05,966
BR00092726,I06,967
BR00092726,I07,6
BR00092726,I08,26
BR00092726,I09,190
BR00092726,I10,1106
BR00092726,I11,961
BR00092726,I12,927
BR00092726,I13,950
BR00092726,I14,1188
BR00092726,I15,1294
BR00092726,I16,88
BR00092726,I17,89
BR00092726,I18,69
BR00092726,I19,1053
BR00092726,I20,1353
BR00092726,I21,818
BR00092726,I22,1114
BR00092726,I23,784
BR00092726,I24,975
BR00092726,J01,367
BR00092726,J02,830
BR00092726,J03,914
BR00092726,J04,64
BR00092726,J05,112
BR00092726,J06,773
BR00092726,J07,1035
BR00092726,J08,1154
BR00092726,J09,1075
BR00092726,J10,26
BR00092726,J11,236
BR00092726,J12,657
BR00092726,J13,904
BR00092726,J14,1353
BR00092726,J15,1005
BR00092726,J16,1024
BR00092726,J17,951
BR00092726,J18,719
BR00092726,J19,100
BR00092726,J20,85
BR00092726,J21,400
BR00092726,J22,755
BR00092726,J23,729
BR00092726,J24,779
BR00092726,K01,336
BR00092726,K02,740
BR00092726,K03,1058
BR00092726,K04,1121
BR00092726,K05,1040
BR00092726,K06,956
BR00092726,K07,311
BR00092726,K08,286
BR00092726,K09,285
BR00092726,K10,277
BR00092726,K11,251
BR00092726,K12,265
BR00092726,K13,622
BR00092726,K14,637
BR00092726,K15,1192
BR00092726,K16,609
BR00092726,K17,1006
BR00092726,K18,931
BR00092726,K19,583
BR00092726,K20,749
BR00092726,K21,972
BR00092726,K22,456
BR00092726,K23,879
BR00092726,K24,638
BR00092726,L01,97
BR00092726,L02,684
BR00092726,L03,843
BR00092726,L04,828
BR00092726,L05,1291
BR00092726,L06,1095
BR00092726,L07,731
BR00092726,L08,1090
BR00092726,L09,1126
BR00092726,L10,932
BR00092726,L11,787
BR00092726,L12,823
BR00092726,L13,622
BR00092726,L14,610
BR00092726,L15,673
BR00092726,L16,641
BR00092726,L17,1077
BR00092726,L18,999
BR00092726,L19,1015
BR00092726,L20,1102
BR00092726,L21,1024
BR00092726,L22,247
BR00092726,L23,732
BR00092726,L24,713
BR00092726,M01,514
BR00092726,M02,740
BR00092726,M03,933
BR00092726,M04,767
BR00092726,M05,851
BR00092726,M06,904
BR00092726,M07,80
BR00092726,M08,85
BR00092726,M09,113
BR00092726,M10,915
BR00092726,M11,1103
BR00092726,M12,1015
BR00092726,M13,332
BR00092726,M14,493
BR00092726,M15,715
BR00092726,M16,931
BR00092726,M17,991
BR00092726,M18,1037
BR00092726,M19,49
