Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00014812,A01,2050
SQ00014812,A02,2276
SQ00014812,A03,2634
SQ00014812,A04,2807
SQ00014812,A05,2928
SQ00014812,A06,2685
SQ00014812,A07,2955
SQ00014812,A08,2600
SQ00014812,A09,2750
SQ00014812,A10,2912
SQ00014812,A11,2528
SQ00014812,A12,2742
SQ00014812,A13,467
SQ00014812,A14,2115
SQ00014812,A15,2564
SQ00014812,A16,2574
SQ00014812,A17,2671
SQ00014812,A18,2656
SQ00014812,A19,798
SQ00014812,A20,1482
SQ00014812,A21,1907
SQ00014812,A22,2303
SQ00014812,A23,2294
SQ00014812,A24,2432
SQ00014812,B01,2725
SQ00014812,B02,2459
SQ00014812,B03,2415
SQ00014812,B04,2624
SQ00014812,B05,2783
SQ00014812,B06,2684
SQ00014812,B07,2697
SQ00014812,B08,2694
SQ00014812,B09,2812
SQ00014812,B10,3123
SQ00014812,B11,2895
SQ00014812,B12,3043
SQ00014812,B13,1650
SQ00014812,B14,2173
SQ00014812,B15,2690
SQ00014812,B16,2883
SQ00014812,B17,2848
SQ00014812,B18,2784
SQ00014812,B19,1832
SQ00014812,B20,1763
SQ00014812,B21,2045
SQ00014812,B22,2411
SQ00014812,B23,2315
SQ00014812,B24,2495
SQ00014812,C01,2299
SQ00014812,C02,2556
SQ00014812,C03,2696
SQ00014812,C04,2927
SQ00014812,C05,2931
SQ00014812,C06,2877
SQ00014812,C07,563
SQ00014812,C08,505
SQ00014812,C09,455
SQ00014812,C10,377
SQ00014812,C11,433
SQ00014812,C12,439
SQ00014812,C13,228
SQ00014812,C14,406
SQ00014812,C15,430
SQ00014812,C16,447
SQ00014812,C17,431
SQ00014812,C18,456
SQ00014812,C19,116
SQ00014812,C20,114
SQ00014812,C21,115
SQ00014812,C22,98
SQ00014812,C23,123
SQ00014812,C24,124
SQ00014812,D01,2284
SQ00014812,D02,2483
SQ00014812,D03,2480
SQ00014812,D04,3182
SQ00014812,D05,2667
SQ00014812,D06,3090
SQ00014812,D07,3006
SQ00014812,D08,2910
SQ00014812,D09,2481
SQ00014812,D10,2858
SQ00014812,D11,3049
SQ00014812,D12,2812
SQ00014812,D13,706
SQ00014812,D14,1636
SQ00014812,D15,1538
SQ00014812,D16,1168
SQ00014812,D17,1023
SQ00014812,D18,949
SQ00014812,D19,2801
SQ00014812,D20,2800
SQ00014812,D21,2835
SQ00014812,D22,2613
SQ00014812,D23,2200
SQ00014812,D24,2612
SQ00014812,E01,265
SQ00014812,E02,395
SQ00014812,E03,641
SQ00014812,E04,657
SQ00014812,E05,769
SQ00014812,E06,1630
SQ00014812,E07,2810
SQ00014812,E08,2759
SQ00014812,E09,2956
SQ00014812,E10,2967
SQ00014812,E11,2752
SQ00014812,E12,2587
SQ00014812,E13,2913
SQ00014812,E14,2971
SQ00014812,E15,3060
SQ00014812,E16,2564
SQ00014812,E17,2406
SQ00014812,E18,2880
SQ00014812,E19,3049
SQ00014812,E20,2802
SQ00014812,E21,2885
SQ00014812,E22,2809
SQ00014812,E23,2776
SQ00014812,E24,2705
SQ00014812,F01,2252
SQ00014812,F02,2570
SQ00014812,F03,2541
SQ00014812,F04,2696
SQ00014812,F05,2796
SQ00014812,F06,2898
SQ00014812,F07,2647
SQ00014812,F08,3023
SQ00014812,F09,2689
SQ00014812,F10,2673
SQ00014812,F11,2782
SQ00014812,F12,2911
SQ00014812,F13,2117
SQ00014812,F14,2659
SQ00014812,F15,2632
SQ00014812,F16,2895
SQ00014812,F17,2633
SQ00014812,F18,2797
SQ00014812,F19,1471
SQ00014812,F20,2794
SQ00014812,F21,2785
SQ00014812,F22,2959
SQ00014812,F23,3050
SQ00014812,F24,2890
SQ00014812,G01,907
SQ00014812,G02,1513
SQ00014812,G03,1487
SQ00014812,G04,1891
SQ00014812,G05,2530
SQ00014812,G06,2819
SQ00014812,G07,2915
SQ00014812,G08,2936
SQ00014812,G09,2700
SQ00014812,G10,3146
SQ00014812,G11,2959
SQ00014812,G12,2704
SQ00014812,G13,78
SQ00014812,G14,89
SQ00014812,G15,81
SQ00014812,G16,71
SQ00014812,G17,80
SQ00014812,G18,89
SQ00014812,G19,2506
SQ00014812,G20,2448
SQ00014812,G21,2527
SQ00014812,G22,2778
SQ00014812,G23,2819
SQ00014812,G24,2721
SQ00014812,H01,686
SQ00014812,H02,746
SQ00014812,H03,946
SQ00014812,H04,986
SQ00014812,H05,1067
SQ00014812,H06,1031
SQ00014812,H07,444
SQ00014812,H08,1976
SQ00014812,H09,2370
SQ00014812,H10,2474
SQ00014812,H11,2770
SQ00014812,H12,2643
SQ00014812,H13,2614
SQ00014812,H14,2639
SQ00014812,H15,2605
SQ00014812,H16,2644
SQ00014812,H17,2726
SQ00014812,H18,2616
SQ00014812,H19,2692
SQ00014812,H20,2878
SQ00014812,H21,2727
SQ00014812,H22,2920
SQ00014812,H23,2632
SQ00014812,H24,3019
SQ00014812,I01,251
SQ00014812,I02,302
SQ00014812,I03,358
SQ00014812,I04,1209
SQ00014812,I05,2881
SQ00014812,I06,2953
SQ00014812,I07,2004
SQ00014812,I08,2022
SQ00014812,I09,2549
SQ00014812,I10,2982
SQ00014812,I11,2719
SQ00014812,I12,2746
SQ00014812,I13,2643
SQ00014812,I14,2745
SQ00014812,I15,2602
SQ00014812,I16,2771
SQ00014812,I17,2601
SQ00014812,I18,2761
SQ00014812,I19,2016
SQ00014812,I20,2795
SQ00014812,I21,2791
SQ00014812,I22,3001
SQ00014812,I23,2838
SQ00014812,I24,2967
SQ00014812,J01,2077
SQ00014812,J02,2389
SQ00014812,J03,2611
SQ00014812,J04,2776
SQ00014812,J05,2531
SQ00014812,J06,2825
SQ00014812,J07,505
SQ00014812,J08,1381
SQ00014812,J09,2396
SQ00014812,J10,2635
SQ00014812,J11,3033
SQ00014812,J12,3026
SQ00014812,J13,3064
SQ00014812,J14,2607
SQ00014812,J15,2641
SQ00014812,J16,2488
SQ00014812,J17,2734
SQ00014812,J18,2783
SQ00014812,J19,3129
SQ00014812,J20,2917
SQ00014812,J21,2980
SQ00014812,J22,2857
SQ00014812,J23,2775
SQ00014812,J24,2885
SQ00014812,K01,2159
SQ00014812,K02,2274
SQ00014812,K03,2490
SQ00014812,K04,2583
SQ00014812,K05,2809
SQ00014812,K06,2807
SQ00014812,K07,68
SQ00014812,K08,62
SQ00014812,K09,78
SQ00014812,K10,71
SQ00014812,K11,68
SQ00014812,K12,57
SQ00014812,K13,2556
SQ00014812,K14,2882
SQ00014812,K15,2884
SQ00014812,K16,2654
SQ00014812,K17,2670
SQ00014812,K18,2842
SQ00014812,K19,392
SQ00014812,K20,393
SQ00014812,K21,457
SQ00014812,K22,1142
SQ00014812,K23,1811
SQ00014812,K24,2179
SQ00014812,L01,1962
SQ00014812,L02,2196
SQ00014812,L03,2594
SQ00014812,L04,2450
SQ00014812,L05,2839
SQ00014812,L06,2521
SQ00014812,L07,2553
SQ00014812,L08,2583
SQ00014812,L09,2668
SQ00014812,L10,2752
SQ00014812,L11,2747
SQ00014812,L12,2768
SQ00014812,L13,2870
SQ00014812,L14,2657
SQ00014812,L15,2958
SQ00014812,L16,2996
SQ00014812,L17,2767
SQ00014812,L18,2623
SQ00014812,L19,119
SQ00014812,L20,533
SQ00014812,L21,1284
SQ00014812,L22,2713
SQ00014812,L23,2561
SQ00014812,L24,2559
SQ00014812,M01,1363
SQ00014812,M02,2132
SQ00014812,M03,2289
SQ00014812,M04,2433
SQ00014812,M05,2813
SQ00014812,M06,2569
SQ00014812,M07,1199
SQ00014812,M08,2654
SQ00014812,M09,2702
SQ00014812,M10,2785
SQ00014812,M11,2638
SQ00014812,M12,2497
SQ00014812,M13,323
SQ00014812,M14,234
SQ00014812,M15,471
SQ00014812,M16,1537
SQ00014812,M17,1925
SQ00014812,M18,2527
SQ00014812,M19,2543
SQ00014812,M20,2655
SQ00014812,M21,2767
SQ00014812,M22,2423
SQ00014812,M23,2476
SQ00014812,M24,2613
SQ00014812,N01,647
SQ00014812,N02,1544
SQ00014812,N03,1928
SQ00014812,N04,2119
SQ00014812,N05,2107
SQ00014812,N06,2082
SQ00014812,N07,1936
SQ00014812,N08,2267
SQ00014812,N09,2374
SQ00014812,N10,2717
SQ00014812,N11,2712
SQ00014812,N12,2504
SQ00014812,N13,1870
SQ00014812,N14,2505
