	Image_Metadata_Plate	Image_Metadata_Well	cell_count
0	SQ00015142	A01	2161
1	SQ00015142	A02	2472
2	SQ00015142	A03	2397
3	SQ00015142	A04	2076
4	SQ00015142	A05	2225
5	SQ00015142	A06	2402
6	SQ00015142	A07	2396
7	SQ00015142	A08	2711
8	SQ00015142	A09	2611
9	SQ00015142	A10	2800
10	SQ00015142	A11	2296
11	SQ00015142	A12	2576
12	SQ00015142	A13	2660
13	SQ00015142	A14	2445
14	SQ00015142	A15	2362
15	SQ00015142	A16	2764
16	SQ00015142	A17	2652
17	SQ00015142	A18	2586
18	SQ00015142	A19	2127
19	SQ00015142	A20	2693
20	SQ00015142	A21	2456
21	SQ00015142	A22	2537
22	SQ00015142	A23	2329
23	SQ00015142	A24	2647
24	SQ00015142	B01	2677
25	SQ00015142	B02	2867
26	SQ00015142	B03	2660
27	SQ00015142	B04	2313
28	SQ00015142	B05	2786
29	SQ00015142	B06	2888
30	SQ00015142	B07	2095
31	SQ00015142	B08	2596
32	SQ00015142	B09	2604
33	SQ00015142	B10	2143
34	SQ00015142	B11	2717
35	SQ00015142	B12	2712
36	SQ00015142	B13	2787
37	SQ00015142	B14	2775
38	SQ00015142	B15	2879
39	SQ00015142	B16	2581
40	SQ00015142	B17	2533
41	SQ00015142	B18	2697
42	SQ00015142	B19	1972
43	SQ00015142	B20	2676
44	SQ00015142	B21	2791
45	SQ00015142	B22	2683
46	SQ00015142	B23	2378
47	SQ00015142	B24	2378
48	SQ00015142	C01	2380
49	SQ00015142	C02	2903
50	SQ00015142	C03	2722
51	SQ00015142	C04	3016
52	SQ00015142	C05	3052
53	SQ00015142	C06	3171
54	SQ00015142	C07	2421
55	SQ00015142	C08	3039
56	SQ00015142	C09	3021
57	SQ00015142	C10	3005
58	SQ00015142	C11	2506
59	SQ00015142	C12	3340
60	SQ00015142	C13	2998
61	SQ00015142	C14	3064
62	SQ00015142	C15	2924
63	SQ00015142	C16	3010
64	SQ00015142	C17	3451
65	SQ00015142	C18	2860
66	SQ00015142	C19	159
67	SQ00015142	C20	130
68	SQ00015142	C21	142
69	SQ00015142	C22	152
70	SQ00015142	C23	134
