Metadata_Plate,Metadata_Well,cell_count
BR00092772,A01,788
BR00092772,A02,729
BR00092772,A03,950
BR00092772,A04,485
BR00092772,A05,742
BR00092772,A06,915
BR00092772,A07,362
BR00092772,A08,313
BR00092772,A09,549
BR00092772,A10,750
BR00092772,A11,831
BR00092772,A12,859
BR00092772,A13,61
BR00092772,A14,87
BR00092772,A15,157
BR00092772,A16,166
BR00092772,A17,205
BR00092772,A18,590
BR00092772,A19,800
BR00092772,A20,805
BR00092772,A21,702
BR00092772,A22,20
BR00092772,A23,17
BR00092772,A24,30
BR00092772,B01,903
BR00092772,B02,603
BR00092772,B03,762
BR00092772,B04,86
BR00092772,B05,212
BR00092772,B06,721
BR00092772,B07,141
BR00092772,B08,459
BR00092772,B09,645
BR00092772,B10,226
BR00092772,B11,342
BR00092772,B12,345
BR00092772,B13,727
BR00092772,B14,499
BR00092772,B15,801
BR00092772,B16,624
BR00092772,B17,876
BR00092772,B18,781
BR00092772,B19,1008
BR00092772,B20,862
BR00092772,B21,908
BR00092772,B22,707
BR00092772,B23,798
BR00092772,B24,834
BR00092772,C01,299
BR00092772,C02,868
BR00092772,C03,983
BR00092772,C04,22
BR00092772,C05,43
BR00092772,C06,269
BR00092772,C07,278
BR00092772,C08,507
BR00092772,C09,1036
BR00092772,C10,1011
BR00092772,C11,932
BR00092772,C12,830
BR00092772,C13,698
BR00092772,C14,879
BR00092772,C15,1038
BR00092772,C16,782
BR00092772,C17,773
BR00092772,C18,883
BR00092772,C19,10
BR00092772,C20,4
BR00092772,C21,3
BR00092772,C22,9
BR00092772,C23,11
BR00092772,C24,4
BR00092772,D01,47
BR00092772,D02,229
BR00092772,D03,600
BR00092772,D04,69
BR00092772,D05,144
BR00092772,D06,196
BR00092772,D07,641
BR00092772,D08,1092
BR00092772,D09,1146
BR00092772,D10,4
BR00092772,D11,7
BR00092772,D12,407
BR00092772,D13,901
BR00092772,D14,1119
BR00092772,D15,991
BR00092772,D16,306
BR00092772,D17,218
BR00092772,D18,270
BR00092772,D19,45
BR00092772,D20,574
BR00092772,D21,831
BR00092772,D22,417
BR00092772,D23,789
BR00092772,D24,716
BR00092772,E01,696
BR00092772,E02,998
BR00092772,E03,1088
BR00092772,E04,845
BR00092772,E05,1057
BR00092772,E06,1091
BR00092772,E07,927
BR00092772,E08,1626
BR00092772,E09,1376
BR00092772,E10,1003
BR00092772,E11,1275
BR00092772,E12,1282
BR00092772,E13,345
BR00092772,E14,1011
BR00092772,E15,815
BR00092772,E16,562
BR00092772,E17,524
BR00092772,E18,615
BR00092772,E19,1128
BR00092772,E20,1245
BR00092772,E21,1217
BR00092772,E22,400
BR00092772,E23,837
BR00092772,E24,931
BR00092772,F01,829
BR00092772,F02,992
BR00092772,F03,900
BR00092772,F04,33
BR00092772,F05,807
BR00092772,F06,1164
BR00092772,F07,1084
BR00092772,F08,975
BR00092772,F09,1338
BR00092772,F10,444
BR00092772,F11,720
BR00092772,F12,1250
BR00092772,F13,430
BR00092772,F14,927
BR00092772,F15,1080
BR00092772,F16,31
BR00092772,F17,65
BR00092772,F18,300
BR00092772,F19,695
BR00092772,F20,1254
BR00092772,F21,1031
BR00092772,F22,626
BR00092772,F23,974
BR00092772,F24,1002
BR00092772,G01,528
BR00092772,G02,744
BR00092772,G03,1358
BR00092772,G04,245
BR00092772,G05,1017
BR00092772,G06,1019
BR00092772,G07,1078
BR00092772,G08,1017
BR00092772,G09,1239
BR00092772,G10,848
BR00092772,G11,900
BR00092772,G12,1364
BR00092772,G13,1232
BR00092772,G14,997
BR00092772,G15,1172
BR00092772,G16,1141
BR00092772,G17,1132
BR00092772,G18,1063
BR00092772,G19,628
BR00092772,G20,899
BR00092772,G21,682
BR00092772,G22,462
BR00092772,G23,747
BR00092772,G24,640
BR00092772,H01,862
BR00092772,H02,873
BR00092772,H03,770
BR00092772,H04,1206
BR00092772,H05,1089
BR00092772,H06,1188
BR00092772,H07,1086
BR00092772,H08,1249
BR00092772,H09,804
BR00092772,H10,885
BR00092772,H11,1142
BR00092772,H12,1175
BR00092772,H13,1099
BR00092772,H14,925
BR00092772,H15,1173
BR00092772,H16,1279
BR00092772,H17,1318
BR00092772,H18,1003
BR00092772,H19,61
BR00092772,H20,133
BR00092772,H21,173
BR00092772,H22,189
BR00092772,H23,886
BR00092772,H24,904
BR00092772,I01,113
BR00092772,I02,87
BR00092772,I03,172
BR00092772,I04,6
BR00092772,I05,863
BR00092772,I06,1251
BR00092772,I07,10
BR00092772,I08,9
BR00092772,I09,165
BR00092772,I10,1137
BR00092772,I11,1109
BR00092772,I12,1021
BR00092772,I13,547
BR00092772,I14,960
BR00092772,I15,943
BR00092772,I16,28
BR00092772,I17,27
BR00092772,I18,42
BR00092772,I19,1107
BR00092772,I20,1070
BR00092772,I21,1142
BR00092772,I22,821
BR00092772,I23,1055
BR00092772,I24,872
BR00092772,J01,137
BR00092772,J02,809
BR00092772,J03,1110
BR00092772,J04,17
BR00092772,J05,54
BR00092772,J06,644
BR00092772,J07,849
BR00092772,J08,1088
BR00092772,J09,1169
BR00092772,J10,2
BR00092772,J11,72
BR00092772,J12,264
BR00092772,J13,341
BR00092772,J14,987
BR00092772,J15,923
BR00092772,J16,1048
BR00092772,J17,927
BR00092772,J18,1187
BR00092772,J19,43
BR00092772,J20,28
BR00092772,J21,162
BR00092772,J22,667
BR00092772,J23,844
BR00092772,J24,762
BR00092772,K01,127
BR00092772,K02,652
BR00092772,K03,957
BR00092772,K04,1057
BR00092772,K05,981
