	Image_Metadata_Plate	Image_Metadata_Well	cell_count
0	SQ00015145	A01	2446
1	SQ00015145	A02	2493
2	SQ00015145	A03	2470
3	SQ00015145	A04	2551
4	SQ00015145	A05	2708
5	SQ00015145	A06	3254
6	SQ00015145	A07	3068
7	SQ00015145	A08	2956
8	SQ00015145	A09	2839
9	SQ00015145	A10	3320
10	SQ00015145	A11	2895
11	SQ00015145	A12	2520
12	SQ00015145	A13	2877
13	SQ00015145	A14	3131
14	SQ00015145	A15	2508
15	SQ00015145	A16	2789
16	SQ00015145	A17	2531
17	SQ00015145	A18	2706
18	SQ00015145	A19	2302
19	SQ00015145	A20	2229
20	SQ00015145	A21	2219
21	SQ00015145	A22	2672
22	SQ00015145	A23	2250
23	SQ00015145	A24	2558
24	SQ00015145	B01	2452
25	SQ00015145	B02	2560
26	SQ00015145	B03	2793
27	SQ00015145	B04	2484
28	SQ00015145	B05	2884
29	SQ00015145	B06	2999
30	SQ00015145	B07	2147
31	SQ00015145	B08	2731
32	SQ00015145	B09	3226
33	SQ00015145	B10	2853
34	SQ00015145	B11	2631
35	SQ00015145	B12	2654
36	SQ00015145	B13	2499
37	SQ00015145	B14	2889
38	SQ00015145	B15	2702
39	SQ00015145	B16	3014
40	SQ00015145	B17	3089
41	SQ00015145	B18	2679
42	SQ00015145	B19	1691
43	SQ00015145	B20	2630
44	SQ00015145	B21	2694
45	SQ00015145	B22	2686
46	SQ00015145	B23	3194
47	SQ00015145	B24	2942
48	SQ00015145	C01	2373
49	SQ00015145	C02	2376
50	SQ00015145	C03	2652
51	SQ00015145	C04	3139
52	SQ00015145	C05	3142
53	SQ00015145	C06	3074
54	SQ00015145	C07	2755
55	SQ00015145	C08	2889
56	SQ00015145	C09	3117
57	SQ00015145	C10	3048
58	SQ00015145	C11	3242
59	SQ00015145	C12	2639
60	SQ00015145	C13	3160
61	SQ00015145	C14	2767
62	SQ00015145	C15	2876
63	SQ00015145	C16	2835
64	SQ00015145	C17	2885
65	SQ00015145	C18	2899
66	SQ00015145	C19	144
67	SQ00015145	C20	181
68	SQ00015145	C21	172
69	SQ00015145	C22	141
70	SQ00015145	C23	182
71	SQ00015145	C24	183
72	SQ00015145	D01	2213
73	SQ00015145	D02	2315
74	SQ00015145	D03	2784
75	SQ00015145	D04	2769
76	SQ00015145	D05	2668
77	SQ00015145	D06	2991
78	SQ00015145	D07	1116
79	SQ00015145	D08	3108
80	SQ00015145	D09	2725
81	SQ00015145	D10	2718
82	SQ00015145	D11	2737
83	SQ00015145	D12	2760
84	SQ00015145	D13	2525
85	SQ00015145	D14	2532
86	SQ00015145	D15	3075
87	SQ00015145	D16	2715
88	SQ00015145	D17	2817
89	SQ00015145	D18	2723
90	SQ00015145	D19	2383
91	SQ00015145	D20	3214
92	SQ00015145	D21	2829
93	SQ00015145	D22	2946
94	SQ00015145	D23	2876
95	SQ00015145	D24	2864
96	SQ00015145	E01	1371
97	SQ00015145	E02	2610
98	SQ00015145	E03	3001
99	SQ00015145	E04	2942
100	SQ00015145	E05	3159
101	SQ00015145	E06	2847
102	SQ00015145	E07	2290
103	SQ00015145	E08	3083
104	SQ00015145	E09	3002
105	SQ00015145	E10	2809
106	SQ00015145	E11	3016
107	SQ00015145	E12	2915
108	SQ00015145	E13	2760
109	SQ00015145	E14	3101
110	SQ00015145	E15	3020
111	SQ00015145	E16	2530
112	SQ00015145	E17	2912
113	SQ00015145	E18	2956
114	SQ00015145	E19	2915
115	SQ00015145	E20	3039
116	SQ00015145	E21	2906
117	SQ00015145	E22	3204
118	SQ00015145	E23	2848
119	SQ00015145	E24	2667
120	SQ00015145	F01	2316
121	SQ00015145	F02	2276
122	SQ00015145	F03	2842
123	SQ00015145	F04	3291
124	SQ00015145	F05	3135
125	SQ00015145	F06	2983
126	SQ00015145	F07	3026
127	SQ00015145	F08	3185
128	SQ00015145	F09	2895
129	SQ00015145	F10	3041
130	SQ00015145	F11	2865
131	SQ00015145	F12	3311
132	SQ00015145	F13	2426
133	SQ00015145	F14	3044
134	SQ00015145	F15	2949
135	SQ00015145	F16	2920
136	SQ00015145	F17	2920
137	SQ00015145	F18	2679
138	SQ00015145	F19	1060
139	SQ00015145	F20	1345
140	SQ00015145	F21	2082
141	SQ00015145	F22	2388
142	SQ00015145	F23	2535
143	SQ00015145	F24	2646
144	SQ00015145	G01	983
145	SQ00015145	G02	2020
146	SQ00015145	G03	2838
147	SQ00015145	G04	2971
148	SQ00015145	G05	2887
149	SQ00015145	G06	3245
150	SQ00015145	G07	2835
151	SQ00015145	G08	3044
152	SQ00015145	G09	3117
153	SQ00015145	G10	2782
154	SQ00015145	G11	3118
155	SQ00015145	G12	2845
156	SQ00015145	G13	142
157	SQ00015145	G14	154
158	SQ00015145	G15	144
159	SQ00015145	G16	116
160	SQ00015145	G17	147
161	SQ00015145	G18	100
162	SQ00015145	G19	2305
163	SQ00015145	G20	3321
164	SQ00015145	G21	2951
165	SQ00015145	G22	3212
166	SQ00015145	G23	2803
167	SQ00015145	G24	2929
168	SQ00015145	H01	1235
169	SQ00015145	H02	2588
170	SQ00015145	H03	2994
171	SQ00015145	H04	3267
172	SQ00015145	H05	3068
173	SQ00015145	H06	3022
174	SQ00015145	H07	2552
175	SQ00015145	H08	2792
176	SQ00015145	H09	3116
177	SQ00015145	H10	2752
178	SQ00015145	H11	3059
179	SQ00015145	H12	3197
180	SQ00015145	H13	2717
181	SQ00015145	H14	2968
182	SQ00015145	H15	2666
183	SQ00015145	H16	3145
184	SQ00015145	H17	2998
185	SQ00015145	H18	2681
186	SQ00015145	H19	1365
187	SQ00015145	H20	2791
188	SQ00015145	H21	2698
189	SQ00015145	H22	3137
190	SQ00015145	H23	3060
191	SQ00015145	H24	2427
192	SQ00015145	I01	460
193	SQ00015145	I02	852
194	SQ00015145	I03	1148
195	SQ00015145	I04	2315
196	SQ00015145	I05	2636
197	SQ00015145	I06	2926
198	SQ00015145	I07	1482
199	SQ00015145	I08	1494
200	SQ00015145	I09	1656
201	SQ00015145	I10	1848
202	SQ00015145	I11	2079
203	SQ00015145	I12	2475
204	SQ00015145	I13	2955
205	SQ00015145	I14	2989
206	SQ00015145	I15	3028
207	SQ00015145	I16	2945
208	SQ00015145	I17	2839
209	SQ00015145	I18	3030
210	SQ00015145	I19	2459
211	SQ00015145	I20	3048
212	SQ00015145	I21	3035
213	SQ00015145	I22	3178
214	SQ00015145	I23	3064
215	SQ00015145	I24	2656
216	SQ00015145	J01	2140
217	SQ00015145	J02	2846
218	SQ00015145	J03	3065
219	SQ00015145	J04	3172
220	SQ00015145	J05	3057
221	SQ00015145	J06	3149
222	SQ00015145	J07	3113
223	SQ00015145	J08	3011
224	SQ00015145	J09	3015
225	SQ00015145	J10	2951
226	SQ00015145	J11	2759
227	SQ00015145	J12	3357
228	SQ00015145	J13	3058
229	SQ00015145	J14	2707
230	SQ00015145	J15	2756
231	SQ00015145	J16	2649
232	SQ00015145	J17	2803
233	SQ00015145	J18	2597
234	SQ00015145	J19	2408
235	SQ00015145	J20	2836
236	SQ00015145	J21	2723
237	SQ00015145	J22	3074
238	SQ00015145	J23	2905
239	SQ00015145	J24	2555
240	SQ00015145	K01	1244
241	SQ00015145	K02	2040
242	SQ00015145	K03	2508
243	SQ00015145	K04	2973
244	SQ00015145	K05	2976
245	SQ00015145	K06	2729
246	SQ00015145	K07	97
247	SQ00015145	K08	110
248	SQ00015145	K09	73
249	SQ00015145	K10	144
250	SQ00015145	K11	104
251	SQ00015145	K12	126
252	SQ00015145	K13	2933
253	SQ00015145	K14	2702
254	SQ00015145	K15	3164
255	SQ00015145	K16	2722
256	SQ00015145	K17	2816
257	SQ00015145	K18	2751
258	SQ00015145	K19	2242
259	SQ00015145	K20	2748
260	SQ00015145	K21	3273
261	SQ00015145	K22	2897
262	SQ00015145	K23	2956
263	SQ00015145	K24	2470
264	SQ00015145	L01	2344
265	SQ00015145	L02	2367
266	SQ00015145	L03	3373
267	SQ00015145	L04	3279
268	SQ00015145	L05	3505
269	SQ00015145	L06	3225
270	SQ00015145	L07	3224
271	SQ00015145	L08	3163
272	SQ00015145	L09	3072
273	SQ00015145	L10	3144
274	SQ00015145	L11	2767
275	SQ00015145	L12	2812
276	SQ00015145	L13	2496
277	SQ00015145	L14	2737
278	SQ00015145	L15	2979
279	SQ00015145	L16	2778
280	SQ00015145	L17	2701
281	SQ00015145	L18	2574
282	SQ00015145	L19	2789
