broad_id	pert_id	deprecated_broad_id	deprecated_pert_id
BRD-K01825666-330-01-9	BRD-K01825666	BRD-A27290375-065-01-3	BRD-A27290375
BRD-K01825666-330-01-9	BRD-K01825666	BRD-M93222215-330-02-1	BRD-M93222215
BRD-K32127727-001-04-2	BRD-K32127727	BRD-A77091532-001-01-9	BRD-A77091532
BRD-K45995181-001-06-9	BRD-K45995181	BRD-U68276368-000-01-4	BRD-U68276368
BRD-K45995181-001-04-6	BRD-K45995181	BRD-A28431708-001-01-5	BRD-A28431708
BRD-K45995181-001-05-3	BRD-K45995181	BRD-K63171558-001-01-2	BRD-K63171558
BRD-K03406345-001-27-8	BRD-K03406345	BRD-K55026842-001-01-4	BRD-K55026842
BRD-K47289408-001-02-3	BRD-K47289408	BRD-A57210235-001-01-9	BRD-A57210235
BRD-K74501079-335-01-9	BRD-K74501079	BRD-A37438244-335-01-2	BRD-A37438244
BRD-K74501079-001-18-1	BRD-K74501079	BRD-K73794685-001-01-5	BRD-K73794685
BRD-K60663764-236-04-7	BRD-K60663764	BRD-A95218818-236-05-4	BRD-A95218818
BRD-K60663764-236-05-4	BRD-K60663764	BRD-A95218818-001-01-1	BRD-A95218818
BRD-K60663764-236-03-9	BRD-K60663764	BRD-A46717658-236-03-3	BRD-A46717658
BRD-K62607865-236-02-4	BRD-K62607865	BRD-K36547807-001-03-2	BRD-K36547807
BRD-K62607865-236-01-6	BRD-K62607865	BRD-K41270709-001-01-7	BRD-K41270709
BRD-A41698174-003-13-8	BRD-A41698174	BRD-A10481343-003-03-3	BRD-A10481343
BRD-K49962337-001-02-9	BRD-K49962337	BRD-K99455969-001-02-8	BRD-K99455969
BRD-K49962337-001-01-1	BRD-K49962337	BRD-K98733875-001-01-4	BRD-K98733875
BRD-K69694239-001-02-2	BRD-K69694239	BRD-K22848513-001-01-9	BRD-K22848513
BRD-K82818427-001-04-8	BRD-K82818427	BRD-K25361343-001-01-6	BRD-K25361343
BRD-K97810537-001-13-6	BRD-K97810537	BRD-A11319535-001-03-6	BRD-A11319535
BRD-K97810537-001-14-4	BRD-K97810537	BRD-K97429934-001-01-9	BRD-K97429934
BRD-K97810537-001-14-4	BRD-K97810537	BRD-K76747609-001-02-1	BRD-K76747609
BRD-K73425385-001-01-9	BRD-K73425385	BRD-K47908102-001-01-9	BRD-K47908102
BRD-K13473780-001-02-1	BRD-K13473780	BRD-M11305712-001-07-7	BRD-M11305712
BRD-K87158025-001-01-6	BRD-K87158025	BRD-K97688263-001-03-7	BRD-K97688263
BRD-K04176066-001-09-1	BRD-K04176066	BRD-K18550767-001-03-6	BRD-K18550767
BRD-K74225533-001-12-0	BRD-K74225533	BRD-K34538779-001-01-1	BRD-K34538779
BRD-K12014493-001-02-2	BRD-K12014493	BRD-M80997309-001-09-2	BRD-M80997309
BRD-K00025439-001-01-9	BRD-K00025439	BRD-M00025439-001-01-9	BRD-M00025439
BRD-K58148589-001-03-6	BRD-K58148589	BRD-A66861218-001-04-3	BRD-A66861218
BRD-K58148589-001-02-8	BRD-K58148589	BRD-K95691366-001-01-3	BRD-K95691366
BRD-K34032314-001-04-1	BRD-K34032314	BRD-A80594172-001-04-6	BRD-A80594172
BRD-K34032314-001-03-3	BRD-K34032314	BRD-K57769959-001-01-6	BRD-K57769959
BRD-K45401373-001-21-7	BRD-K45401373	BRD-K15168723-001-01-7	BRD-K15168723
BRD-K45401373-001-22-5	BRD-K45401373	BRD-K38744518-001-01-7	BRD-K38744518
BRD-A80321291-001-02-4	BRD-A80321291	BRD-A66479836-001-03-8	BRD-A66479836
BRD-K89210380-001-14-5	BRD-K89210380	BRD-A36603537-001-13-1	BRD-A36603537
BRD-K89210380-001-13-7	BRD-K89210380	BRD-K95496960-001-01-7	BRD-K95496960
BRD-K80528473-001-04-8	BRD-K80528473	BRD-M10663475-001-02-8	BRD-M10663475
BRD-K80528473-001-05-5	BRD-K80528473	BRD-M10663475-001-03-6	BRD-M10663475
BRD-A89175223-051-15-5	BRD-A89175223	BRD-M21493215-051-04-3	BRD-M21493215
BRD-K73504359-019-01-5	BRD-K73504359	BRD-A64231665-019-01-7	BRD-A64231665
BRD-K20290250-001-02-1	BRD-K20290250	BRD-K50394339-001-04-5	BRD-K50394339
BRD-K20290250-001-01-3	BRD-K20290250	BRD-K50394339-001-03-7	BRD-K50394339
BRD-K13049116-001-05-7	BRD-K13049116	BRD-K47200824-001-01-8	BRD-K47200824
BRD-K50122911-001-02-0	BRD-K50122911	BRD-K70071822-001-01-5	BRD-K70071822
BRD-K88510285-001-25-1	BRD-K88510285	BRD-K50691590-001-05-5	BRD-K50691590
BRD-K88510285-001-22-8	BRD-K88510285	BRD-K50691590-001-02-2	BRD-K50691590
BRD-K77841042-001-15-8	BRD-K77841042	BRD-A84228258-001-05-1	BRD-A84228258
BRD-K77841042-001-14-1	BRD-K77841042	BRD-A84228258-001-04-4	BRD-A84228258
BRD-K68264559-045-03-2	BRD-K68264559	BRD-M06829359-001-01-4	BRD-M06829359
BRD-K68264559-045-04-0	BRD-K68264559	BRD-M06829359-001-02-2	BRD-M06829359
BRD-K74913225-001-14-0	BRD-K74913225	BRD-A82599487-001-01-9	BRD-A82599487
BRD-K14496212-066-04-8	BRD-K14496212	BRD-A80151636-066-04-8	BRD-A80151636
BRD-K01825692-001-01-9	BRD-K01825692	BRD-A94624445-001-01-2	BRD-A94624445
BRD-A34299591-001-29-9	BRD-A34299591	BRD-A60571864-001-04-1	BRD-A60571864
BRD-A34299591-001-31-5	BRD-A34299591	BRD-K17742695-001-01-1	BRD-K17742695
BRD-K68567222-001-01-2	BRD-K68567222	BRD-A22713669-001-02-7	BRD-A22713669
BRD-K86882815-001-05-7	BRD-K86882815	BRD-K34586087-001-01-7	BRD-K34586087
BRD-K76819217-001-02-2	BRD-K76819217	BRD-A95114378-001-01-4	BRD-A95114378
BRD-K76819217-001-01-4	BRD-K76819217	BRD-A07738941-001-01-5	BRD-A07738941
BRD-K77175907-001-10-6	BRD-K77175907	BRD-K34907920-001-01-6	BRD-K34907920
BRD-K27316855-001-19-0	BRD-K27316855	BRD-K28731095-001-01-7	BRD-K28731095
BRD-K35952844-238-02-0	BRD-K35952844	BRD-M41172429-238-02-8	BRD-M41172429
BRD-K35952844-238-01-2	BRD-K35952844	BRD-K74392481-001-01-3	BRD-K74392481
BRD-K61192372-001-08-9	BRD-K61192372	BRD-A91877226-001-01-4	BRD-A91877226
BRD-K61192372-001-07-1	BRD-K61192372	BRD-K15574380-001-01-0	BRD-K15574380
BRD-K54529596-001-28-9	BRD-K54529596	BRD-K96855766-001-01-9	BRD-K96855766
BRD-K56735750-001-09-2	BRD-K56735750	BRD-K06386100-001-01-9	BRD-K06386100
BRD-K78712176-001-15-8	BRD-K78712176	BRD-A69512159-001-06-5	BRD-A69512159
BRD-K90947825-001-03-5	BRD-K90947825	BRD-K11626735-318-08-7	BRD-K11626735
BRD-K90947825-001-05-0	BRD-K90947825	BRD-M80278122-318-03-3	BRD-M80278122
BRD-K90947825-001-02-7	BRD-K90947825	BRD-K64763651-001-01-1	BRD-K64763651
BRD-K90947825-001-04-3	BRD-K90947825	BRD-M80278122-318-02-5	BRD-M80278122
BRD-K25095405-001-01-5	BRD-K25095405	BRD-A25157829-001-01-3	BRD-A25157829
BRD-K16338837-001-02-6	BRD-K16338837	BRD-K19859123-001-01-3	BRD-K19859123
BRD-K09619322-001-03-8	BRD-K09619322	BRD-K25737009-001-04-6	BRD-K25737009
BRD-K27130738-236-15-8	BRD-K27130738	BRD-A23933379-236-04-9	BRD-A23933379
BRD-K17903788-236-03-5	BRD-K17903788	BRD-A02439449-236-04-8	BRD-A02439449
BRD-K72167406-001-04-7	BRD-K72167406	BRD-A39056513-001-04-6	BRD-A39056513
BRD-K72167406-001-03-9	BRD-K72167406	BRD-K05878591-001-01-2	BRD-K05878591
BRD-K48470486-236-12-4	BRD-K48470486	BRD-A97040294-236-04-6	BRD-A97040294
BRD-K22641081-304-01-8	BRD-K22641081	BRD-K72150952-304-01-5	BRD-K72150952
BRD-K22641081-001-01-0	BRD-K22641081	BRD-A42969929-001-01-9	BRD-A42969929
BRD-K34058848-304-03-1	BRD-K34058848	BRD-A65872513-304-01-7	BRD-A65872513
BRD-K02292852-001-04-7	BRD-K02292852	BRD-A73079885-001-01-1	BRD-A73079885
BRD-K37848908-001-06-4	BRD-K37848908	BRD-A38738672-001-01-3	BRD-A38738672
BRD-K72339976-065-03-9	BRD-K72339976	BRD-K37910175-065-03-0	BRD-K37910175
BRD-K72339976-065-04-7	BRD-K72339976	BRD-K20284063-065-01-8	BRD-K20284063
BRD-K72339976-065-02-1	BRD-K72339976	BRD-K02689172-065-01-8	BRD-K02689172
BRD-K78364995-236-19-1	BRD-K78364995	BRD-K99586414-236-04-9	BRD-K99586414
BRD-K92872987-001-02-9	BRD-K92872987	BRD-A39975020-001-01-9	BRD-A39975020
BRD-A34205213-001-04-7	BRD-A34205213	BRD-A87387433-001-03-5	BRD-A87387433
BRD-K24871708-001-01-4	BRD-K24871708	BRD-A85137183-001-03-8	BRD-A85137183
BRD-K03907181-236-07-6	BRD-K03907181	BRD-A86462796-236-04-8	BRD-A86462796
BRD-K52117081-396-01-8	BRD-K52117081	BRD-A73933229-396-01-8	BRD-A73933229
BRD-K82960980-003-01-9	BRD-K82960980	BRD-K75097379-003-01-8	BRD-K75097379
BRD-K82960980-003-03-5	BRD-K82960980	BRD-K15436267-003-01-6	BRD-K15436267
BRD-K82960980-003-02-7	BRD-K82960980	BRD-K21017401-003-02-1	BRD-K21017401
BRD-K96734425-324-01-5	BRD-K96734425	BRD-K38010979-324-03-7	BRD-K38010979
BRD-K02733959-236-07-7	BRD-K02733959	BRD-A76746748-236-04-5	BRD-A76746748
BRD-A22303829-001-02-4	BRD-A22303829	BRD-A36322567-001-02-4	BRD-A36322567
BRD-K90733503-001-10-3	BRD-K90733503	BRD-A37536726-001-04-2	BRD-A37536726
BRD-K90733503-001-09-5	BRD-K90733503	BRD-K64997193-001-01-0	BRD-K64997193
BRD-K68904758-001-04-3	BRD-K68904758	BRD-A70157906-001-01-3	BRD-A70157906
BRD-K68904758-001-03-5	BRD-K68904758	BRD-K99571587-001-01-6	BRD-K99571587
BRD-K49880111-236-10-0	BRD-K49880111	BRD-K25085912-236-01-4	BRD-K25085912
BRD-K96194081-001-12-8	BRD-K96194081	BRD-K78936063-001-01-9	BRD-K78936063
BRD-K18135438-001-16-7	BRD-K18135438	BRD-K43723251-001-01-5	BRD-K43723251
BRD-K08111712-001-16-7	BRD-K08111712	BRD-K22969690-001-04-2	BRD-K22969690
BRD-K21452876-003-01-8	BRD-K21452876	BRD-K44275059-003-01-5	BRD-K44275059
BRD-K47114202-001-15-3	BRD-K47114202	BRD-K46579573-001-01-9	BRD-K46579573
BRD-A92960111-314-01-2	BRD-A92960111	BRD-U98640356-000-01-9	BRD-U98640356
BRD-K36207157-001-09-6	BRD-K36207157	BRD-K59058766-003-21-9	BRD-K59058766
BRD-K36207157-001-08-8	BRD-K36207157	BRD-K59058766-001-01-5	BRD-K59058766
BRD-K62779383-001-08-9	BRD-K62779383	BRD-A56749456-001-04-3	BRD-A56749456
BRD-K62779383-001-07-1	BRD-K62779383	BRD-K32793810-001-01-5	BRD-K32793810
BRD-K77300776-001-01-7	BRD-K77300776	BRD-M07056525-001-05-3	BRD-M07056525
BRD-K77300776-001-02-5	BRD-K77300776	BRD-M07056525-001-04-6	BRD-M07056525
BRD-K01029106-001-01-4	BRD-K01029106	BRD-M54429190-001-01-7	BRD-M54429190
BRD-K85518562-236-08-9	BRD-K85518562	BRD-K62370608-001-02-9	BRD-K62370608
BRD-K85518562-236-09-7	BRD-K85518562	BRD-K26556168-236-01-4	BRD-K26556168
BRD-K39079086-001-07-6	BRD-K39079086	BRD-A54537387-001-02-2	BRD-A54537387
BRD-K07220430-001-19-2	BRD-K07220430	BRD-K32256916-001-04-0	BRD-K32256916
BRD-K08699567-001-01-9	BRD-K08699567	BRD-K15901271-001-01-7	BRD-K15901271
BRD-K69172251-001-10-5	BRD-K69172251	BRD-K01228321-318-04-3	BRD-K01228321
BRD-K69172251-001-09-7	BRD-K69172251	BRD-K33494261-407-01-2	BRD-K33494261
BRD-K01827268-396-12-9	BRD-K01827268	BRD-A74441166-396-01-6	BRD-A74441166
BRD-K76792669-001-08-1	BRD-K76792669	BRD-M87682871-001-01-8	BRD-M87682871
BRD-K49668410-001-18-8	BRD-K49668410	BRD-K16762525-001-01-6	BRD-K16762525
BRD-K23586533-003-01-6	BRD-K23586533	BRD-A23034328-003-09-1	BRD-A23034328
BRD-K23586533-001-03-6	BRD-K23586533	BRD-A43673346-001-01-1	BRD-A43673346
BRD-K23586533-001-03-6	BRD-K23586533	BRD-A52252998-001-01-3	BRD-A52252998
BRD-K23586533-003-02-4	BRD-K23586533	BRD-A43673346-003-01-7	BRD-A43673346
BRD-K23586533-003-02-4	BRD-K23586533	BRD-A52252998-003-01-9	BRD-A52252998
BRD-K27771035-001-02-5	BRD-K27771035	BRD-K52542745-001-01-1	BRD-K52542745
BRD-K10799896-001-26-2	BRD-K10799896	BRD-A26095496-001-04-0	BRD-A26095496
BRD-K10799896-001-25-4	BRD-K10799896	BRD-K91981767-001-01-7	BRD-K91981767
BRD-K10799896-001-25-4	BRD-K10799896	BRD-K84443303-001-02-6	BRD-K84443303
BRD-K01244426-323-08-5	BRD-K01244426	BRD-K23933163-323-01-9	BRD-K23933163
BRD-K01825730-304-01-9	BRD-K01825730	BRD-A45839132-304-01-2	BRD-A45839132
BRD-K00259736-001-18-0	BRD-K00259736	BRD-A46684810-001-12-9	BRD-A46684810
BRD-K01666924-319-01-9	BRD-K01666924	BRD-K01666924-001-01-9	BRD-K01666924
BRD-K00025572-001-01-9	BRD-K00025572	BRD-A00025572-001-01-9	BRD-A00025572
BRD-K86161929-001-13-3	BRD-K86161929	BRD-A54487287-001-04-7	BRD-A54487287
BRD-K86161929-001-12-5	BRD-K86161929	BRD-K83872210-001-01-1	BRD-K83872210
BRD-K26833429-001-04-4	BRD-K26833429	BRD-K44887666-001-02-4	BRD-K44887666
BRD-K40308497-001-02-0	BRD-K40308497	BRD-A75349800-001-01-8	BRD-A75349800
BRD-K33336844-001-12-9	BRD-K33336844	BRD-K53562481-001-01-6	BRD-K53562481
BRD-K07572174-001-43-6	BRD-K07572174	BRD-K69690935-001-03-5	BRD-K69690935
BRD-K41933240-001-03-2	BRD-K41933240	BRD-K07241895-001-01-4	BRD-K07241895
BRD-A18627414-001-05-6	BRD-A18627414	BRD-A59561452-001-01-9	BRD-A59561452
BRD-A18627414-001-04-9	BRD-A18627414	BRD-M14495474-001-01-4	BRD-M14495474
BRD-A18627414-001-04-9	BRD-A18627414	BRD-A97502381-001-01-3	BRD-A97502381
BRD-A18627414-001-04-9	BRD-A18627414	BRD-M38660727-001-01-0	BRD-M38660727
BRD-K01825675-051-01-9	BRD-K01825675	BRD-M87382116-051-02-3	BRD-M87382116
BRD-K50785021-001-04-7	BRD-K50785021	BRD-M61995960-001-03-2	BRD-M61995960
BRD-K67536197-003-11-4	BRD-K67536197	BRD-K67536197-001-02-7	BRD-K67536197
BRD-K67536197-003-10-6	BRD-K67536197	BRD-K80834753-003-01-3	BRD-K80834753
BRD-A10420615-001-05-1	BRD-A10420615	BRD-K93666001-001-01-8	BRD-K93666001
BRD-K87226815-001-18-9	BRD-K87226815	BRD-K53226837-001-08-4	BRD-K53226837
BRD-K13533483-001-16-2	BRD-K13533483	BRD-K03152136-001-01-6	BRD-K03152136
BRD-K13533483-001-17-0	BRD-K13533483	BRD-A11864475-001-02-5	BRD-A11864475
BRD-A38675539-001-14-3	BRD-A38675539	BRD-A38639147-001-17-6	BRD-A38639147
BRD-K59866480-001-08-1	BRD-K59866480	BRD-K84397942-001-01-3	BRD-K84397942
BRD-K27799744-001-03-6	BRD-K27799744	BRD-K35479987-001-01-5	BRD-K35479987
BRD-K41141507-001-17-0	BRD-K41141507	BRD-A95207036-001-04-4	BRD-A95207036
BRD-K41141507-001-16-2	BRD-K41141507	BRD-K59573506-001-01-8	BRD-K59573506
BRD-K92611362-001-02-6	BRD-K92611362	BRD-M77687198-001-11-4	BRD-M77687198
BRD-K33106058-001-20-0	BRD-K33106058	BRD-K71847383-001-07-5	BRD-K71847383
BRD-K71847383-001-12-5	BRD-K71847383	BRD-K33106058-001-16-8	BRD-K33106058
BRD-K74186897-001-13-2	BRD-K74186897	BRD-A55579717-001-04-0	BRD-A55579717
BRD-K73383190-001-03-1	BRD-K73383190	BRD-K68548958-001-04-6	BRD-K68548958
BRD-K73383190-001-02-3	BRD-K73383190	BRD-K19202888-001-01-1	BRD-K19202888
BRD-K20879694-001-02-5	BRD-K20879694	BRD-A81494260-001-02-5	BRD-A81494260
BRD-K58160573-001-05-4	BRD-K58160573	BRD-K46604138-001-01-3	BRD-K46604138
BRD-K95773607-004-04-6	BRD-K95773607	BRD-K95773607-001-03-4	BRD-K95773607
BRD-A44971162-001-02-7	BRD-A44971162	BRD-A01259528-001-01-9	BRD-A01259528
BRD-K84986517-001-01-8	BRD-K84986517	BRD-M22677129-001-01-6	BRD-M22677129
BRD-K43389675-003-19-1	BRD-K43389675	BRD-K91966436-003-02-3	BRD-K91966436
BRD-K43389675-003-20-9	BRD-K43389675	BRD-K79347022-003-01-4	BRD-K79347022
BRD-K43389675-003-20-9	BRD-K43389675	BRD-A68009927-003-03-7	BRD-A68009927
BRD-K62304154-001-04-2	BRD-K62304154	BRD-K09078998-001-01-4	BRD-K09078998
BRD-K41256143-001-13-5	BRD-K41256143	BRD-A79445307-001-01-8	BRD-A79445307
BRD-K41256143-001-12-7	BRD-K41256143	BRD-K85833139-001-01-9	BRD-K85833139
BRD-K59325863-001-03-6	BRD-K59325863	BRD-K84591635-001-02-1	BRD-K84591635
BRD-K59325863-001-02-8	BRD-K59325863	BRD-K84591635-001-01-3	BRD-K84591635
BRD-K24556098-001-19-1	BRD-K24556098	BRD-A75402480-001-04-6	BRD-A75402480
BRD-K24556098-001-18-3	BRD-K24556098	BRD-K54733518-001-01-9	BRD-K54733518
BRD-K21528677-001-04-4	BRD-K21528677	BRD-A26858303-001-02-8	BRD-A26858303
BRD-K21528677-001-03-6	BRD-K21528677	BRD-K30131328-001-01-5	BRD-K30131328
BRD-K38775274-001-24-7	BRD-K38775274	BRD-A27572786-001-02-0	BRD-A27572786
BRD-K38775274-001-22-1	BRD-K38775274	BRD-A27572786-001-01-2	BRD-A27572786
BRD-K38775274-001-23-9	BRD-K38775274	BRD-K45192137-001-01-1	BRD-K45192137
BRD-K47635719-001-21-1	BRD-K47635719	BRD-A93424738-001-04-8	BRD-A93424738
BRD-K47635719-001-20-3	BRD-K47635719	BRD-K40063336-001-01-8	BRD-K40063336
BRD-K54187111-001-09-2	BRD-K54187111	BRD-A40195998-001-02-7	BRD-A40195998
BRD-K05673000-323-13-5	BRD-K05673000	BRD-K59843513-323-01-4	BRD-K59843513
BRD-K50853363-001-02-3	BRD-K50853363	BRD-K64504314-001-01-8	BRD-K64504314
BRD-K62213621-001-02-4	BRD-K62213621	BRD-A82452087-001-02-3	BRD-A82452087
BRD-K62213621-001-01-6	BRD-K62213621	BRD-K45089490-001-02-8	BRD-K45089490
BRD-K62213621-001-01-6	BRD-K62213621	BRD-K11421397-001-01-9	BRD-K11421397
BRD-K72728560-001-01-4	BRD-K72728560	BRD-U80626937-000-01-6	BRD-U80626937
BRD-K92848252-001-01-9	BRD-K92848252	BRD-M65846159-001-02-6	BRD-M65846159
BRD-K92848252-001-02-7	BRD-K92848252	BRD-M65846159-001-01-8	BRD-M65846159
BRD-K92848252-001-03-5	BRD-K92848252	BRD-M65846159-001-03-4	BRD-M65846159
BRD-K28690501-001-02-1	BRD-K28690501	BRD-K15864401-001-01-0	BRD-K15864401
BRD-K94436377-001-12-8	BRD-K94436377	BRD-K22902927-001-01-4	BRD-K22902927
BRD-K94436377-001-12-8	BRD-K94436377	BRD-A35279169-001-07-8	BRD-A35279169
BRD-K52756523-001-28-8	BRD-K52756523	BRD-K15706428-001-01-2	BRD-K15706428
BRD-K52756523-001-25-4	BRD-K52756523	BRD-A77786295-001-01-1	BRD-A77786295
BRD-K52756523-001-26-2	BRD-K52756523	BRD-A83603976-001-01-6	BRD-A83603976
BRD-K52756523-001-29-6	BRD-K52756523	BRD-A44120870-001-01-6	BRD-A44120870
BRD-K36775483-001-01-4	BRD-K36775483	BRD-K77961099-001-01-6	BRD-K77961099
BRD-M56212252-001-01-0	BRD-M56212252	BRD-K08970894-001-03-4	BRD-K08970894
BRD-K30577245-341-01-9	BRD-K30577245	BRD-A05821830-341-01-5	BRD-A05821830
BRD-K30577245-001-04-3	BRD-K30577245	BRD-A05821830-001-05-6	BRD-A05821830
BRD-K30577245-001-05-0	BRD-K30577245	BRD-K63265447-001-07-4	BRD-K63265447
BRD-K30577245-001-05-0	BRD-K30577245	BRD-A28612473-001-01-3	BRD-A28612473
BRD-K28029915-066-03-3	BRD-K28029915	BRD-K37792492-066-01-0	BRD-K37792492
BRD-K28029915-066-03-3	BRD-K28029915	BRD-A03259768-066-01-9	BRD-A03259768
BRD-K28029915-001-02-2	BRD-K28029915	BRD-K34008116-001-01-7	BRD-K34008116
BRD-K45319714-002-05-0	BRD-K45319714	BRD-K20901660-002-03-3	BRD-K20901660
BRD-K01825594-311-03-9	BRD-K01825594	BRD-A47978079-003-01-9	BRD-A47978079
BRD-K82928892-001-03-3	BRD-K82928892	BRD-K07234650-001-01-4	BRD-K07234650
