broad_id	pert_id	deprecated_broad_id	deprecated_pert_id
BRD-K76894955-001-02-1	BRD-K76894955	BRD-K94313941-001-01-9	BRD-K94313941
BRD-K17443395-065-03-0	BRD-K17443395	BRD-M55852627-065-01-7	BRD-M55852627
BRD-K17443395-065-02-2	BRD-K17443395	BRD-A95032015-065-01-2	BRD-A95032015
BRD-K17443395-065-01-4	BRD-K17443395	BRD-M42309903-065-03-5	BRD-M42309903
BRD-K50071428-001-03-3	BRD-K50071428	BRD-K00111504-001-01-9	BRD-K00111504
BRD-K24048528-001-02-5	BRD-K24048528	BRD-K16133773-001-01-9	BRD-K16133773
BRD-K53448858-001-09-6	BRD-K53448858	BRD-K04797704-001-01-9	BRD-K04797704
BRD-K26262077-238-01-5	BRD-K26262077	BRD-M41783010-238-03-5	BRD-M41783010
BRD-K44276885-001-08-2	BRD-K44276885	BRD-A16444946-001-09-7	BRD-A16444946
BRD-K44276885-001-07-4	BRD-K44276885	BRD-K01621533-001-01-1	BRD-K01621533
BRD-K42938903-332-01-1	BRD-K42938903	BRD-K92986184-050-01-7	BRD-K92986184
BRD-K59058747-001-20-9	BRD-K59058747	BRD-K67174965-001-02-7	BRD-K67174965
BRD-K26060080-065-05-6	BRD-K26060080	BRD-M27046829-065-02-5	BRD-M27046829
BRD-K01577834-001-16-9	BRD-K01577834	BRD-K63038995-001-01-4	BRD-K63038995
BRD-A18074780-003-02-0	BRD-A18074780	BRD-A79038507-003-02-3	BRD-A79038507
BRD-A18074780-003-04-6	BRD-A18074780	BRD-A79038507-003-03-1	BRD-A79038507
BRD-K49522529-001-02-9	BRD-K49522529	BRD-K92644009-001-02-6	BRD-K92644009
BRD-K49522529-001-03-7	BRD-K49522529	BRD-K84280765-001-01-5	BRD-K84280765
BRD-K30020243-051-04-1	BRD-K30020243	BRD-M18497616-051-03-6	BRD-M18497616
BRD-K30020243-051-03-3	BRD-K30020243	BRD-K30020243-001-01-2	BRD-K30020243
BRD-K83003151-057-02-4	BRD-K83003151	BRD-K83003151-001-03-0	BRD-K83003151
BRD-K83003151-057-01-6	BRD-K83003151	BRD-K83003151-001-02-2	BRD-K83003151
BRD-K02074536-001-02-7	BRD-K02074536	BRD-A63615100-001-03-9	BRD-A63615100
BRD-K02074536-001-03-5	BRD-K02074536	BRD-A63615100-001-02-1	BRD-A63615100
BRD-K02074536-001-03-5	BRD-K02074536	BRD-A82191553-001-01-4	BRD-A82191553
BRD-K91188791-001-18-3	BRD-K91188791	BRD-A12987505-001-01-9	BRD-A12987505
BRD-K52459643-001-17-7	BRD-K52459643	BRD-K73691377-001-01-6	BRD-K73691377
BRD-K83988098-001-02-0	BRD-K83988098	BRD-K23499943-003-01-6	BRD-K23499943
BRD-K56558538-003-14-3	BRD-K56558538	BRD-K11223672-003-05-2	BRD-K11223672
BRD-K43802723-340-01-9	BRD-K43802723	BRD-M56591481-002-01-8	BRD-M56591481
BRD-K88043978-002-09-7	BRD-K88043978	BRD-U46375448-000-01-5	BRD-U46375448
BRD-K88043978-315-03-6	BRD-K88043978	BRD-K50698959-315-01-8	BRD-K50698959
BRD-K88043978-002-10-5	BRD-K88043978	BRD-U73512331-000-01-9	BRD-U73512331
BRD-K97799481-230-01-7	BRD-K97799481	BRD-M53001068-230-06-8	BRD-M53001068
BRD-K87544030-001-02-8	BRD-K87544030	BRD-A86736466-001-05-9	BRD-A86736466
BRD-K80267133-001-17-7	BRD-K80267133	BRD-M65097687-001-19-1	BRD-M65097687
BRD-K80267133-001-18-5	BRD-K80267133	BRD-M65097687-001-18-3	BRD-M65097687
BRD-K80267133-001-19-3	BRD-K80267133	BRD-M65097687-001-20-9	BRD-M65097687
BRD-K91290917-300-01-8	BRD-K91290917	BRD-K73443792-300-04-9	BRD-K73443792
BRD-K55044200-001-16-1	BRD-K55044200	BRD-K08635111-001-04-8	BRD-K08635111
BRD-K55044200-236-04-9	BRD-K55044200	BRD-K39234907-236-01-9	BRD-K39234907
BRD-K55044200-001-15-3	BRD-K55044200	BRD-K58632460-001-01-7	BRD-K58632460
BRD-K27352494-001-04-4	BRD-K27352494	BRD-A75647097-001-03-3	BRD-A75647097
BRD-K27352494-001-05-1	BRD-K27352494	BRD-K94561406-001-01-1	BRD-K94561406
BRD-K27352494-001-06-9	BRD-K27352494	BRD-K82702594-001-02-5	BRD-K82702594
BRD-K27352494-001-06-9	BRD-K27352494	BRD-K69849489-001-01-1	BRD-K69849489
BRD-K68432770-341-07-2	BRD-K68432770	BRD-K94927753-341-01-3	BRD-K94927753
BRD-K68346641-001-02-2	BRD-K68346641	BRD-K98490050-001-02-6	BRD-K98490050
BRD-K03504028-001-08-4	BRD-K03504028	BRD-K11478426-001-01-4	BRD-K11478426
BRD-A74328360-409-01-0	BRD-A74328360	BRD-U39828521-000-01-2	BRD-U39828521
BRD-A48261811-001-08-1	BRD-A48261811	BRD-A10012892-001-01-9	BRD-A10012892
BRD-K39621635-001-09-7	BRD-K39621635	BRD-A45966947-001-02-8	BRD-A45966947
BRD-K39621635-001-08-9	BRD-K39621635	BRD-K17916327-001-02-5	BRD-K17916327
BRD-K39621635-001-06-3	BRD-K39621635	BRD-K12393844-001-01-8	BRD-K12393844
BRD-K13112821-001-18-2	BRD-K13112821	BRD-K27678847-001-06-1	BRD-K27678847
BRD-K13112821-001-17-4	BRD-K13112821	BRD-K01715490-001-01-2	BRD-K01715490
BRD-K54634444-001-05-9	BRD-K54634444	BRD-K17944737-001-02-1	BRD-K17944737
BRD-K54634444-001-04-2	BRD-K54634444	BRD-K65768634-001-01-1	BRD-K65768634
BRD-A85242401-001-12-3	BRD-A85242401	BRD-A08112603-001-04-5	BRD-A08112603
BRD-K35079116-001-03-3	BRD-K35079116	BRD-K88350560-001-01-9	BRD-K88350560
BRD-K08188887-001-02-4	BRD-K08188887	BRD-K56653660-001-01-3	BRD-K56653660
BRD-K69726342-238-03-2	BRD-K69726342	BRD-M94983326-238-03-6	BRD-M94983326
BRD-K69726342-238-02-4	BRD-K69726342	BRD-M94983326-238-02-8	BRD-M94983326
BRD-K01825666-330-02-9	BRD-K01825666	BRD-A93739713-065-04-3	BRD-A93739713
