	Image_Metadata_Plate	Image_Metadata_Well	cell_count
0	SQ00015042	A01	2231
1	SQ00015042	A02	2382
2	SQ00015042	A03	2408
3	SQ00015042	A04	2446
4	SQ00015042	A05	2713
5	SQ00015042	A06	2341
6	SQ00015042	A07	2563
7	SQ00015042	A08	2829
8	SQ00015042	A09	2798
9	SQ00015042	A10	2400
10	SQ00015042	A11	2643
11	SQ00015042	A12	2263
12	SQ00015042	A13	2682
13	SQ00015042	A14	2537
14	SQ00015042	A15	2468
15	SQ00015042	A16	2697
16	SQ00015042	A17	3000
17	SQ00015042	A18	2455
18	SQ00015042	A19	2143
19	SQ00015042	A20	2452
20	SQ00015042	A21	2294
21	SQ00015042	A22	2297
22	SQ00015042	A23	2399
23	SQ00015042	A24	2457
24	SQ00015042	B01	2605
25	SQ00015042	B02	2764
26	SQ00015042	B03	2941
27	SQ00015042	B04	2703
28	SQ00015042	B05	2650
29	SQ00015042	B06	2429
30	SQ00015042	B07	2962
31	SQ00015042	B08	2765
32	SQ00015042	B09	2616
33	SQ00015042	B10	2720
34	SQ00015042	B11	2904
35	SQ00015042	B12	2806
36	SQ00015042	B13	2895
37	SQ00015042	B14	2651
38	SQ00015042	B15	2732
39	SQ00015042	B16	3021
40	SQ00015042	B17	2919
41	SQ00015042	B18	2727
42	SQ00015042	B19	2775
43	SQ00015042	B20	3023
44	SQ00015042	B21	2993
45	SQ00015042	B22	2669
46	SQ00015042	B23	2502
47	SQ00015042	B24	2319
48	SQ00015042	C01	1612
49	SQ00015042	C02	2568
50	SQ00015042	C03	2861
51	SQ00015042	C04	3148
52	SQ00015042	C05	3005
53	SQ00015042	C06	3150
54	SQ00015042	C07	2949
55	SQ00015042	C08	2778
56	SQ00015042	C09	3028
57	SQ00015042	C10	2793
58	SQ00015042	C11	2724
59	SQ00015042	C12	2449
60	SQ00015042	C13	506
61	SQ00015042	C14	605
62	SQ00015042	C15	1019
63	SQ00015042	C16	2076
64	SQ00015042	C17	2977
65	SQ00015042	C18	2840
66	SQ00015042	C19	117
67	SQ00015042	C20	121
68	SQ00015042	C21	119
69	SQ00015042	C22	117
70	SQ00015042	C23	88
71	SQ00015042	C24	87
72	SQ00015042	D01	2593
73	SQ00015042	D02	2644
74	SQ00015042	D03	2611
75	SQ00015042	D04	2984
76	SQ00015042	D05	2994
77	SQ00015042	D06	3090
78	SQ00015042	D07	2733
79	SQ00015042	D08	2837
80	SQ00015042	D09	2711
81	SQ00015042	D10	2956
82	SQ00015042	D11	2959
83	SQ00015042	D12	2913
84	SQ00015042	D13	3315
85	SQ00015042	D14	2469
86	SQ00015042	D15	2731
87	SQ00015042	D16	2783
88	SQ00015042	D17	2850
89	SQ00015042	D18	2842
90	SQ00015042	D19	2718
91	SQ00015042	D20	3024
92	SQ00015042	D21	2898
93	SQ00015042	D22	2797
94	SQ00015042	D23	3125
95	SQ00015042	D24	2727
96	SQ00015042	E01	2073
97	SQ00015042	E02	2525
98	SQ00015042	E03	2586
99	SQ00015042	E04	2926
100	SQ00015042	E05	2903
101	SQ00015042	E06	3008
102	SQ00015042	E07	1092
103	SQ00015042	E08	1162
104	SQ00015042	E09	1266
105	SQ00015042	E10	1197
106	SQ00015042	E11	1217
107	SQ00015042	E12	1211
108	SQ00015042	E13	3158
109	SQ00015042	E14	3172
110	SQ00015042	E15	3253
111	SQ00015042	E16	3117
112	SQ00015042	E17	3134
113	SQ00015042	E18	2829
114	SQ00015042	E19	2566
115	SQ00015042	E20	2535
116	SQ00015042	E21	2577
117	SQ00015042	E22	2527
118	SQ00015042	E23	2078
119	SQ00015042	E24	2485
120	SQ00015042	F01	2377
121	SQ00015042	F02	3107
122	SQ00015042	F03	2836
123	SQ00015042	F04	2947
124	SQ00015042	F05	2993
125	SQ00015042	F06	3471
126	SQ00015042	F07	3042
127	SQ00015042	F08	3223
128	SQ00015042	F09	3199
129	SQ00015042	F10	2961
130	SQ00015042	F11	3015
131	SQ00015042	F12	2887
132	SQ00015042	F13	3152
133	SQ00015042	F14	2863
134	SQ00015042	F15	2862
135	SQ00015042	F16	2707
136	SQ00015042	F17	2679
137	SQ00015042	F18	3043
138	SQ00015042	F19	659
139	SQ00015042	F20	642
140	SQ00015042	F21	632
141	SQ00015042	F22	654
142	SQ00015042	F23	975
143	SQ00015042	F24	2223
144	SQ00015042	G01	1686
145	SQ00015042	G02	2042
146	SQ00015042	G03	2370
147	SQ00015042	G04	2652
148	SQ00015042	G05	3418
149	SQ00015042	G06	2893
150	SQ00015042	G07	3206
151	SQ00015042	G08	3144
152	SQ00015042	G09	3032
153	SQ00015042	G10	3199
154	SQ00015042	G11	3152
155	SQ00015042	G12	3111
156	SQ00015042	G13	99
157	SQ00015042	G14	78
158	SQ00015042	G15	65
159	SQ00015042	G16	78
160	SQ00015042	G17	113
161	SQ00015042	G18	91
162	SQ00015042	G19	2829
163	SQ00015042	G20	2946
164	SQ00015042	G21	2902
165	SQ00015042	G22	2636
166	SQ00015042	G23	2711
167	SQ00015042	G24	2724
168	SQ00015042	H01	2671
169	SQ00015042	H02	2954
170	SQ00015042	H03	2671
171	SQ00015042	H04	2955
172	SQ00015042	H05	3230
173	SQ00015042	H06	3086
174	SQ00015042	H07	2004
175	SQ00015042	H08	3118
176	SQ00015042	H09	3178
177	SQ00015042	H10	2982
178	SQ00015042	H11	2811
179	SQ00015042	H12	3114
180	SQ00015042	H13	3206
181	SQ00015042	H14	3296
182	SQ00015042	H15	3275
183	SQ00015042	H16	3054
184	SQ00015042	H17	3110
185	SQ00015042	H18	2827
186	SQ00015042	H19	2678
187	SQ00015042	H20	2729
188	SQ00015042	H21	2995
189	SQ00015042	H22	2962
190	SQ00015042	H23	2895
191	SQ00015042	H24	2580
192	SQ00015042	I01	2292
193	SQ00015042	I02	2556
194	SQ00015042	I03	2631
195	SQ00015042	I04	2911
196	SQ00015042	I05	3244
197	SQ00015042	I06	2944
198	SQ00015042	I07	2762
199	SQ00015042	I08	2968
200	SQ00015042	I09	2749
201	SQ00015042	I10	2997
202	SQ00015042	I11	3058
203	SQ00015042	I12	2601
204	SQ00015042	I13	2442
205	SQ00015042	I14	2892
206	SQ00015042	I15	3220
207	SQ00015042	I16	3093
208	SQ00015042	I17	2858
209	SQ00015042	I18	2865
210	SQ00015042	I19	2662
211	SQ00015042	I20	2698
212	SQ00015042	I21	2798
213	SQ00015042	I22	3040
214	SQ00015042	I23	3040
215	SQ00015042	I24	2742
216	SQ00015042	J01	2527
