Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015042,A01,2231
SQ00015042,A02,2382
SQ00015042,A03,2408
SQ00015042,A04,2446
SQ00015042,A05,2713
SQ00015042,A06,2341
SQ00015042,A07,2563
SQ00015042,A08,2829
SQ00015042,A09,2798
SQ00015042,A10,2400
SQ00015042,A11,2643
SQ00015042,A12,2263
SQ00015042,A13,2682
SQ00015042,A14,2537
SQ00015042,A15,2468
SQ00015042,A16,2697
SQ00015042,A17,3000
SQ00015042,A18,2455
SQ00015042,A19,2143
SQ00015042,A20,2452
SQ00015042,A21,2294
SQ00015042,A22,2297
SQ00015042,A23,2399
SQ00015042,A24,2457
SQ00015042,B01,2605
SQ00015042,B02,2764
SQ00015042,B03,2941
SQ00015042,B04,2703
SQ00015042,B05,2650
SQ00015042,B06,2429
SQ00015042,B07,2962
SQ00015042,B08,2765
SQ00015042,B09,2616
SQ00015042,B10,2720
SQ00015042,B11,2904
SQ00015042,B12,2806
SQ00015042,B13,2895
SQ00015042,B14,2651
SQ00015042,B15,2732
SQ00015042,B16,3021
SQ00015042,B17,2919
SQ00015042,B18,2727
SQ00015042,B19,2775
SQ00015042,B20,3023
SQ00015042,B21,2993
SQ00015042,B22,2669
SQ00015042,B23,2502
SQ00015042,B24,2319
SQ00015042,C01,1612
SQ00015042,C02,2568
SQ00015042,C03,2861
SQ00015042,C04,3148
SQ00015042,C05,3005
SQ00015042,C06,3150
SQ00015042,C07,2949
SQ00015042,C08,2778
SQ00015042,C09,3028
SQ00015042,C10,2793
SQ00015042,C11,2724
SQ00015042,C12,2449
SQ00015042,C13,506
SQ00015042,C14,605
SQ00015042,C15,1019
SQ00015042,C16,2076
SQ00015042,C17,2977
SQ00015042,C18,2840
SQ00015042,C19,117
SQ00015042,C20,121
SQ00015042,C21,119
SQ00015042,C22,117
SQ00015042,C23,88
SQ00015042,C24,87
SQ00015042,D01,2593
SQ00015042,D02,2644
SQ00015042,D03,2611
SQ00015042,D04,2984
SQ00015042,D05,2994
SQ00015042,D06,3090
SQ00015042,D07,2733
SQ00015042,D08,2837
SQ00015042,D09,2711
