Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015233,A01,1200
SQ00015233,A02,1051
SQ00015233,A03,1320
SQ00015233,A04,1201
SQ00015233,A05,1466
SQ00015233,A06,1393
SQ00015233,A07,1293
SQ00015233,A08,973
SQ00015233,A09,1296
SQ00015233,A10,1255
SQ00015233,A11,1285
SQ00015233,A12,1294
SQ00015233,A13,1328
SQ00015233,A14,1407
SQ00015233,A15,1264
SQ00015233,A16,1281
SQ00015233,A17,1464
SQ00015233,A18,1225
SQ00015233,A19,1085
SQ00015233,A20,1170
SQ00015233,A21,1295
SQ00015233,A22,1387
SQ00015233,A23,1406
SQ00015233,A24,1095
SQ00015233,B01,1320
SQ00015233,B02,1468
SQ00015233,B03,1392
SQ00015233,B04,1582
SQ00015233,B05,1297
SQ00015233,B06,1291
SQ00015233,B07,1405
SQ00015233,B08,1560
SQ00015233,B09,1262
SQ00015233,B10,1368
SQ00015233,B11,1607
SQ00015233,B12,1581
SQ00015233,B13,132
SQ00015233,B14,573
SQ00015233,B15,1065
SQ00015233,B16,1308
SQ00015233,B17,1148
SQ00015233,B18,1470
SQ00015233,B19,1739
SQ00015233,B20,1597
SQ00015233,B21,1480
SQ00015233,B22,1273
SQ00015233,B23,1681
SQ00015233,B24,1157
SQ00015233,C01,284
SQ00015233,C02,1102
SQ00015233,C03,1769
SQ00015233,C04,1415
SQ00015233,C05,1595
SQ00015233,C06,1495
SQ00015233,C07,830
SQ00015233,C08,1601
SQ00015233,C09,1558
SQ00015233,C10,1637
SQ00015233,C11,1582
SQ00015233,C12,1566
SQ00015233,C13,642
SQ00015233,C14,1039
SQ00015233,C15,1399
SQ00015233,C16,1380
SQ00015233,C17,1627
SQ00015233,C18,1525
SQ00015233,C19,72
SQ00015233,C20,87
SQ00015233,C21,77
SQ00015233,C22,65
SQ00015233,C23,77
SQ00015233,C24,66
SQ00015233,D01,1426
SQ00015233,D02,1839
SQ00015233,D03,1737
SQ00015233,D04,1691
SQ00015233,D05,1756
SQ00015233,D06,1823
SQ00015233,D07,1770
SQ00015233,D08,1531
SQ00015233,D09,1590
SQ00015233,D10,1848
SQ00015233,D11,2000
SQ00015233,D12,2066
SQ00015233,D13,665
SQ00015233,D14,1502
