Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015096,A01,2460
SQ00015096,A02,2492
SQ00015096,A03,2439
SQ00015096,A04,2687
SQ00015096,A05,2380
SQ00015096,A06,2513
SQ00015096,A07,2266
SQ00015096,A08,2463
SQ00015096,A09,2640
SQ00015096,A10,2540
SQ00015096,A11,2250
SQ00015096,A12,2388
SQ00015096,A13,2062
SQ00015096,A14,2260
SQ00015096,A15,2416
SQ00015096,A16,2010
SQ00015096,A17,2085
SQ00015096,A18,2273
SQ00015096,A19,1824
SQ00015096,A20,2108
SQ00015096,A21,1900
SQ00015096,A22,2379
SQ00015096,A23,2528
SQ00015096,A24,2367
SQ00015096,B01,2027
SQ00015096,B02,2482
SQ00015096,B03,2352
SQ00015096,B04,2180
SQ00015096,B05,2513
SQ00015096,B06,2889
SQ00015096,B07,2509
SQ00015096,B08,2758
SQ00015096,B09,2826
SQ00015096,B10,3125
SQ00015096,B11,2499
SQ00015096,B12,2437
SQ00015096,B13,2941
SQ00015096,B14,2686
SQ00015096,B15,2571
SQ00015096,B16,2309
SQ00015096,B17,2542
SQ00015096,B18,2701
SQ00015096,B19,2052
SQ00015096,B20,2242
SQ00015096,B21,2399
SQ00015096,B22,2729
SQ00015096,B23,2437
SQ00015096,B24,1851
SQ00015096,C01,2839
SQ00015096,C02,2410
SQ00015096,C03,2524
SQ00015096,C04,2755
SQ00015096,C05,2982
SQ00015096,C06,2756
SQ00015096,C07,2817
SQ00015096,C08,2921
SQ00015096,C09,2790
SQ00015096,C10,2993
SQ00015096,C11,2942
SQ00015096,C12,2640
SQ00015096,C13,2769
SQ00015096,C14,3277
SQ00015096,C15,2817
SQ00015096,C16,2947
SQ00015096,C17,2826
SQ00015096,C18,2817
SQ00015096,C19,142
SQ00015096,C20,134
SQ00015096,C21,115
SQ00015096,C22,126
SQ00015096,C23,151
SQ00015096,C24,157
SQ00015096,D01,2051
SQ00015096,D02,2820
SQ00015096,D03,2841
SQ00015096,D04,2456
SQ00015096,D05,2695
SQ00015096,D06,2848
SQ00015096,D07,1920
SQ00015096,D08,2526
SQ00015096,D09,2639
SQ00015096,D10,3097
SQ00015096,D11,3314
SQ00015096,D12,2958
SQ00015096,D13,2787
SQ00015096,D14,3000
SQ00015096,D15,2827
SQ00015096,D16,3020
SQ00015096,D17,3017
SQ00015096,D18,3171
SQ00015096,D19,2156
SQ00015096,D20,3009
SQ00015096,D21,2904
SQ00015096,D22,2955
SQ00015096,D23,2800
SQ00015096,D24,2675
SQ00015096,E01,2219
SQ00015096,E02,2557
SQ00015096,E03,2935
SQ00015096,E04,2877
SQ00015096,E05,3142
SQ00015096,E06,3104
SQ00015096,E07,3340
SQ00015096,E08,3306
SQ00015096,E09,3339
SQ00015096,E10,2916
SQ00015096,E11,3013
SQ00015096,E12,3057
SQ00015096,E13,3007
SQ00015096,E14,3460
SQ00015096,E15,2568
SQ00015096,E16,3116
SQ00015096,E17,2752
SQ00015096,E18,3261
SQ00015096,E19,2509
SQ00015096,E20,2866
SQ00015096,E21,3071
SQ00015096,E22,2831
SQ00015096,E23,2850
SQ00015096,E24,2619
SQ00015096,F01,1090
SQ00015096,F02,1717
SQ00015096,F03,2346
SQ00015096,F04,2464
SQ00015096,F05,2875
SQ00015096,F06,2686
SQ00015096,F07,3040
SQ00015096,F08,3330
SQ00015096,F09,3225
SQ00015096,F10,3458
SQ00015096,F11,3063
SQ00015096,F12,3206
SQ00015096,F13,1498
SQ00015096,F14,2313
SQ00015096,F15,2118
SQ00015096,F16,2516
SQ00015096,F17,2619
SQ00015096,F18,3164
SQ00015096,F19,2315
SQ00015096,F20,3041
SQ00015096,F21,3378
SQ00015096,F22,3222
SQ00015096,F23,2705
SQ00015096,F24,2462
SQ00015096,G01,2055
SQ00015096,G02,2298
SQ00015096,G03,3024
SQ00015096,G04,3308
SQ00015096,G05,2915
SQ00015096,G06,2947
SQ00015096,G07,3309
SQ00015096,G08,3150
SQ00015096,G09,3074
SQ00015096,G10,2897
SQ00015096,G11,2953
SQ00015096,G12,2778
SQ00015096,G13,93
SQ00015096,G14,129
SQ00015096,G15,99
SQ00015096,G16,109
SQ00015096,G17,93
SQ00015096,G18,107
SQ00015096,G19,3189
SQ00015096,G20,3089
SQ00015096,G21,2895
SQ00015096,G22,2793
SQ00015096,G23,2665
SQ00015096,G24,2580
SQ00015096,H01,1559
SQ00015096,H02,2730
SQ00015096,H03,3052
SQ00015096,H04,3032
SQ00015096,H05,2946
SQ00015096,H06,3030
SQ00015096,H07,2734
SQ00015096,H08,3261
SQ00015096,H09,3497
SQ00015096,H10,3429
SQ00015096,H11,3141
SQ00015096,H12,3073
