Metadata_Plate,Metadata_Well,cell_count
BR00092696,A01,760
BR00092696,A02,688
BR00092696,A03,735
BR00092696,A04,559
BR00092696,A05,597
BR00092696,A06,638
BR00092696,A07,588
BR00092696,A08,729
BR00092696,A09,547
BR00092696,A10,577
BR00092696,A11,552
BR00092696,A12,775
BR00092696,A13,502
BR00092696,A14,505
BR00092696,A15,527
BR00092696,A16,484
BR00092696,A17,609
BR00092696,A18,801
BR00092696,A19,622
BR00092696,A20,689
BR00092696,A21,779
BR00092696,A22,752
BR00092696,A23,775
BR00092696,A24,876
BR00092696,B01,707
BR00092696,B02,737
BR00092696,B03,641
BR00092696,B04,657
BR00092696,B05,628
BR00092696,B06,614
BR00092696,B07,723
BR00092696,B08,684
BR00092696,B09,696
BR00092696,B10,719
BR00092696,B11,815
BR00092696,B12,726
BR00092696,B13,818
BR00092696,B14,710
BR00092696,B15,600
BR00092696,B16,712
BR00092696,B17,620
BR00092696,B18,709
BR00092696,B19,711
BR00092696,B20,640
BR00092696,B21,762
BR00092696,B22,681
BR00092696,B23,616
BR00092696,B24,748
BR00092696,C01,664
BR00092696,C02,785
BR00092696,C03,791
BR00092696,C04,103
BR00092696,C05,809
BR00092696,C06,840
BR00092696,C07,665
BR00092696,C08,759
BR00092696,C09,873
BR00092696,C10,850
BR00092696,C11,834
BR00092696,C12,905
BR00092696,C13,782
BR00092696,C14,758
BR00092696,C15,806
BR00092696,C16,717
BR00092696,C17,988
BR00092696,C18,884
BR00092696,C19,759
BR00092696,C20,719
BR00092696,C21,780
BR00092696,C22,731
BR00092696,C23,700
BR00092696,C24,631
BR00092696,D01,682
BR00092696,D02,789
BR00092696,D03,903
BR00092696,D04,850
BR00092696,D05,1002
BR00092696,D06,920
BR00092696,D07,1001
BR00092696,D08,980
BR00092696,D09,944
BR00092696,D10,728
BR00092696,D11,847
BR00092696,D12,975
BR00092696,D13,887
BR00092696,D14,979
BR00092696,D15,919
BR00092696,D16,967
BR00092696,D17,1049
BR00092696,D18,976
BR00092696,D19,970
BR00092696,D20,1023
BR00092696,D21,1034
BR00092696,D22,901
BR00092696,D23,794
BR00092696,D24,783
BR00092696,E01,698
BR00092696,E02,815
BR00092696,E03,1043
BR00092696,E04,1052
BR00092696,E05,1191
BR00092696,E06,1096
BR00092696,E07,1206
BR00092696,E08,1159
BR00092696,E09,1184
BR00092696,E10,1163
BR00092696,E11,1146
BR00092696,E12,1026
BR00092696,E13,1115
BR00092696,E14,1135
BR00092696,E15,1201
BR00092696,E16,1148
BR00092696,E17,1159
BR00092696,E18,1099
BR00092696,E19,1099
BR00092696,E20,1124
BR00092696,E21,1069
BR00092696,E22,929
BR00092696,E23,924
BR00092696,E24,883
BR00092696,F01,720
BR00092696,F02,863
BR00092696,F03,941
BR00092696,F04,1137
BR00092696,F05,1188
BR00092696,F06,1261
BR00092696,F07,1185
BR00092696,F08,1139
BR00092696,F09,1185
BR00092696,F10,1100
BR00092696,F11,1093
BR00092696,F12,1160
BR00092696,F13,1106
BR00092696,F14,1089
BR00092696,F15,1114
BR00092696,F16,306
BR00092696,F17,1054
BR00092696,F18,1140
BR00092696,F19,1049
BR00092696,F20,1088
BR00092696,F21,1067
BR00092696,F22,842
BR00092696,F23,761
BR00092696,F24,682
BR00092696,G01,762
BR00092696,G02,882
BR00092696,G03,1143
BR00092696,G04,888
BR00092696,G05,1372
BR00092696,G06,1271
BR00092696,G07,1329
BR00092696,G08,1393
BR00092696,G09,1269
BR00092696,G10,1224
BR00092696,G11,1293
BR00092696,G12,1309
BR00092696,G13,1117
BR00092696,G14,1279
BR00092696,G15,1298
BR00092696,G16,1195
BR00092696,G17,1258
BR00092696,G18,1222
BR00092696,G19,1241
BR00092696,G20,1204
BR00092696,G21,1079
BR00092696,G22,866
BR00092696,G23,802
BR00092696,G24,812
BR00092696,H01,620
BR00092696,H02,877
BR00092696,H03,1021
BR00092696,H04,1156
BR00092696,H05,1309
BR00092696,H06,1321
BR00092696,H07,1284
BR00092696,H08,1282
BR00092696,H09,1278
BR00092696,H10,1153
BR00092696,H11,1310
BR00092696,H12,1308
BR00092696,H13,1231
BR00092696,H14,1249
BR00092696,H15,1255
BR00092696,H16,1273
BR00092696,H17,1152
BR00092696,H18,1277
BR00092696,H19,1288
BR00092696,H20,1245
BR00092696,H21,1172
BR00092696,H22,843
BR00092696,H23,645
BR00092696,H24,643
BR00092696,I01,562
BR00092696,I02,704
BR00092696,I03,891
BR00092696,I04,292
BR00092696,I05,1355
BR00092696,I06,1241
BR00092696,I07,1261
BR00092696,I08,1088
BR00092696,I09,1452
BR00092696,I10,1272
BR00092696,I11,1207
BR00092696,I12,1324
BR00092696,I13,1236
BR00092696,I14,1183
BR00092696,I15,1288
BR00092696,I16,1154
BR00092696,I17,1306
BR00092696,I18,1184
BR00092696,I19,1194
BR00092696,I20,1180
BR00092696,I21,1211
BR00092696,I22,958
BR00092696,I23,820
BR00092696,I24,677
BR00092696,J01,754
BR00092696,J02,857
BR00092696,J03,1117
BR00092696,J04,1166
BR00092696,J05,1196
BR00092696,J06,1222
BR00092696,J07,1298
BR00092696,J08,1303
BR00092696,J09,1219
BR00092696,J10,832
BR00092696,J11,1209
BR00092696,J12,1279
BR00092696,J13,1268
BR00092696,J14,1415
BR00092696,J15,1292
BR00092696,J16,1390
BR00092696,J17,1338
BR00092696,J18,1349
BR00092696,J19,1185
BR00092696,J20,1259
BR00092696,J21,1095
BR00092696,J22,942
BR00092696,J23,1029
BR00092696,J24,800
BR00092696,K01,763
BR00092696,K02,868
BR00092696,K03,1218
BR00092696,K04,1321
BR00092696,K05,1228
BR00092696,K06,1257
BR00092696,K07,1181
