Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015169,A01,1513
SQ00015169,A02,1883
SQ00015169,A03,1717
SQ00015169,A04,1792
SQ00015169,A05,1753
SQ00015169,A06,2141
SQ00015169,A07,2099
SQ00015169,A08,2484
SQ00015169,A09,2138
SQ00015169,A10,2105
SQ00015169,A11,2493
SQ00015169,A12,2298
SQ00015169,A13,2248
SQ00015169,A14,2052
SQ00015169,A15,2135
SQ00015169,A16,2260
SQ00015169,A17,2329
SQ00015169,A18,2155
SQ00015169,A19,681
SQ00015169,A20,998
SQ00015169,A21,1065
SQ00015169,A22,1211
SQ00015169,A23,1120
SQ00015169,A24,1099
SQ00015169,B01,1763
SQ00015169,B02,2221
SQ00015169,B03,2366
SQ00015169,B04,2631
SQ00015169,B05,2131
SQ00015169,B06,2251
SQ00015169,B07,2456
SQ00015169,B08,2734
SQ00015169,B09,2328
SQ00015169,B10,2551
SQ00015169,B11,2456
SQ00015169,B12,2662
SQ00015169,B13,449
SQ00015169,B14,2050
SQ00015169,B15,2754
SQ00015169,B16,2808
SQ00015169,B17,2655
SQ00015169,B18,2632
SQ00015169,B19,1479
SQ00015169,B20,2183
SQ00015169,B21,2495
SQ00015169,B22,2520
SQ00015169,B23,2229
SQ00015169,B24,1931
SQ00015169,C01,1736
SQ00015169,C02,2231
SQ00015169,C03,2211
SQ00015169,C04,2783
SQ00015169,C05,2580
SQ00015169,C06,2897
SQ00015169,C07,2418
SQ00015169,C08,2728
SQ00015169,C09,2702
SQ00015169,C10,2814
SQ00015169,C11,2704
SQ00015169,C12,2484
SQ00015169,C13,337
SQ00015169,C14,541
SQ00015169,C15,844
SQ00015169,C16,2088
SQ00015169,C17,2549
SQ00015169,C18,2660
SQ00015169,C19,78
SQ00015169,C20,82
SQ00015169,C21,64
SQ00015169,C22,52
SQ00015169,C23,49
SQ00015169,C24,43
SQ00015169,D01,535
SQ00015169,D02,1880
SQ00015169,D03,2505
SQ00015169,D04,3280
SQ00015169,D05,2873
SQ00015169,D06,2659
SQ00015169,D07,2616
SQ00015169,D08,2815
SQ00015169,D09,2632
SQ00015169,D10,2849
SQ00015169,D11,2634
SQ00015169,D12,2836
SQ00015169,D13,2692
SQ00015169,D14,2498
SQ00015169,D15,2859
SQ00015169,D16,3053
SQ00015169,D17,2713
SQ00015169,D18,2560
SQ00015169,D19,2593
SQ00015169,D20,2696
SQ00015169,D21,2717
SQ00015169,D22,2498
SQ00015169,D23,2305
SQ00015169,D24,2395
SQ00015169,E01,1615
SQ00015169,E02,2495
SQ00015169,E03,2496
SQ00015169,E04,3060
SQ00015169,E05,2795
SQ00015169,E06,3114
SQ00015169,E07,2465
SQ00015169,E08,2539
SQ00015169,E09,2680
SQ00015169,E10,2949
SQ00015169,E11,2894
SQ00015169,E12,2922
SQ00015169,E13,324
SQ00015169,E14,300
SQ00015169,E15,333
SQ00015169,E16,419
SQ00015169,E17,349
SQ00015169,E18,294
SQ00015169,E19,2487
SQ00015169,E20,3095
SQ00015169,E21,3187
SQ00015169,E22,2868
SQ00015169,E23,2856
SQ00015169,E24,2608
SQ00015169,F01,2151
SQ00015169,F02,2632
SQ00015169,F03,2718
SQ00015169,F04,2862
SQ00015169,F05,2860
SQ00015169,F06,2840
SQ00015169,F07,3126
SQ00015169,F08,2909
SQ00015169,F09,2925
SQ00015169,F10,2854
SQ00015169,F11,3020
SQ00015169,F12,3071
SQ00015169,F13,914
SQ00015169,F14,352
SQ00015169,F15,2915
SQ00015169,F16,2703
SQ00015169,F17,2707
SQ00015169,F18,107
