	Image_Metadata_Plate	Image_Metadata_Well	cell_count
0	SQ00015137	A01	2115
1	SQ00015137	A02	2809
2	SQ00015137	A03	2208
3	SQ00015137	A04	2568
4	SQ00015137	A05	2633
5	SQ00015137	A06	2855
6	SQ00015137	A07	2576
7	SQ00015137	A08	2248
8	SQ00015137	A09	2838
9	SQ00015137	A10	3001
10	SQ00015137	A11	2542
11	SQ00015137	A12	2871
12	SQ00015137	A13	2276
13	SQ00015137	A14	2473
14	SQ00015137	A15	2839
15	SQ00015137	A16	2960
16	SQ00015137	A17	2729
17	SQ00015137	A18	2195
18	SQ00015137	A19	1198
19	SQ00015137	A20	2897
20	SQ00015137	A21	2648
21	SQ00015137	A22	2741
22	SQ00015137	A23	2484
23	SQ00015137	A24	2716
24	SQ00015137	B01	2423
25	SQ00015137	B02	2101
26	SQ00015137	B03	2364
27	SQ00015137	B04	2130
28	SQ00015137	B05	2441
29	SQ00015137	B06	2637
30	SQ00015137	B07	2666
31	SQ00015137	B08	2897
32	SQ00015137	B09	2692
33	SQ00015137	B10	2957
34	SQ00015137	B11	2361
35	SQ00015137	B12	2775
36	SQ00015137	B13	3067
37	SQ00015137	B14	2635
38	SQ00015137	B15	2902
39	SQ00015137	B16	2695
40	SQ00015137	B17	2769
41	SQ00015137	B18	2556
42	SQ00015137	B19	2508
43	SQ00015137	B20	2711
44	SQ00015137	B21	2655
45	SQ00015137	B22	2568
46	SQ00015137	B23	2846
47	SQ00015137	B24	2777
48	SQ00015137	C01	2169
49	SQ00015137	C02	2984
50	SQ00015137	C03	3004
51	SQ00015137	C04	3082
52	SQ00015137	C05	2956
53	SQ00015137	C06	2979
54	SQ00015137	C07	916
55	SQ00015137	C08	1887
56	SQ00015137	C09	2447
57	SQ00015137	C10	2953
58	SQ00015137	C11	3405
59	SQ00015137	C12	3106
60	SQ00015137	C13	426
61	SQ00015137	C14	644
62	SQ00015137	C15	1988
63	SQ00015137	C16	2674
64	SQ00015137	C17	3015
65	SQ00015137	C18	2901
66	SQ00015137	C19	148
67	SQ00015137	C20	145
68	SQ00015137	C21	130
69	SQ00015137	C22	133
70	SQ00015137	C23	166
71	SQ00015137	C24	134
72	SQ00015137	D01	1800
73	SQ00015137	D02	2463
74	SQ00015137	D03	2868
75	SQ00015137	D04	2905
76	SQ00015137	D05	3052
77	SQ00015137	D06	3378
78	SQ00015137	D07	1862
79	SQ00015137	D08	3588
80	SQ00015137	D09	3384
81	SQ00015137	D10	3330
82	SQ00015137	D11	3514
83	SQ00015137	D12	2666
84	SQ00015137	D13	2441
85	SQ00015137	D14	3128
86	SQ00015137	D15	3490
87	SQ00015137	D16	3518
88	SQ00015137	D17	2964
89	SQ00015137	D18	3011
90	SQ00015137	D19	1978
91	SQ00015137	D20	2905
92	SQ00015137	D21	2880
93	SQ00015137	D22	2754
94	SQ00015137	D23	3031
95	SQ00015137	D24	2848
96	SQ00015137	E01	2240
97	SQ00015137	E02	2882
98	SQ00015137	E03	3491
99	SQ00015137	E04	3235
100	SQ00015137	E05	3407
101	SQ00015137	E06	3289
102	SQ00015137	E07	298
103	SQ00015137	E08	186
104	SQ00015137	E09	495
