	Image_Metadata_Plate	Image_Metadata_Well	cell_count
214	SQ00014814	I23	2876
215	SQ00014814	I24	2764
216	SQ00014814	J01	2568
217	SQ00014814	J02	2835
218	SQ00014814	J03	2884
219	SQ00014814	J04	2848
220	SQ00014814	J05	3093
221	SQ00014814	J06	3097
222	SQ00014814	J07	2829
223	SQ00014814	J08	2996
224	SQ00014814	J09	2874
225	SQ00014814	J10	2970
226	SQ00014814	J11	2992
227	SQ00014814	J12	2869
228	SQ00014814	J13	2713
229	SQ00014814	J14	2867
230	SQ00014814	J15	3074
231	SQ00014814	J16	2519
232	SQ00014814	J17	2780
233	SQ00014814	J18	2465
234	SQ00014814	J19	2859
235	SQ00014814	J20	2781
236	SQ00014814	J21	2601
237	SQ00014814	J22	2635
238	SQ00014814	J23	2605
239	SQ00014814	J24	2941
240	SQ00014814	K01	2520
241	SQ00014814	K02	2568
242	SQ00014814	K03	3155
243	SQ00014814	K04	2853
244	SQ00014814	K05	3042
245	SQ00014814	K06	3183
246	SQ00014814	K07	84
247	SQ00014814	K08	55
248	SQ00014814	K09	61
249	SQ00014814	K10	81
250	SQ00014814	K11	60
251	SQ00014814	K12	73
252	SQ00014814	K13	2779
253	SQ00014814	K14	3074
254	SQ00014814	K15	2859
255	SQ00014814	K16	2735
256	SQ00014814	K17	3178
257	SQ00014814	K18	2789
258	SQ00014814	K19	360
259	SQ00014814	K20	503
260	SQ00014814	K21	471
261	SQ00014814	K22	1544
262	SQ00014814	K23	1973
263	SQ00014814	K24	2279
264	SQ00014814	L01	1914
265	SQ00014814	L02	2202
266	SQ00014814	L03	2541
267	SQ00014814	L04	2716
268	SQ00014814	L05	2648
269	SQ00014814	L06	2905
270	SQ00014814	L07	2869
271	SQ00014814	L08	2854
272	SQ00014814	L09	3011
273	SQ00014814	L10	2984
274	SQ00014814	L11	2852
275	SQ00014814	L12	2692
276	SQ00014814	L13	2836
277	SQ00014814	L14	2783
278	SQ00014814	L15	2772
279	SQ00014814	L16	2497
280	SQ00014814	L17	2958
281	SQ00014814	L18	2994
282	SQ00014814	L19	171
283	SQ00014814	L20	560
284	SQ00014814	L21	1483
285	SQ00014814	L22	2508
286	SQ00014814	L23	2789
287	SQ00014814	L24	2758
288	SQ00014814	M01	1737
289	SQ00014814	M02	2475
290	SQ00014814	M03	2577
