	Image_Metadata_Plate	Image_Metadata_Well	cell_count
0	SQ00015098	A01	2293
1	SQ00015098	A02	2643
2	SQ00015098	A03	2389
3	SQ00015098	A04	2792
4	SQ00015098	A05	2259
5	SQ00015098	A06	2203
6	SQ00015098	A07	2230
7	SQ00015098	A08	2626
8	SQ00015098	A09	2032
9	SQ00015098	A10	2539
10	SQ00015098	A11	2600
11	SQ00015098	A12	2375
12	SQ00015098	A13	2163
13	SQ00015098	A14	2068
14	SQ00015098	A15	2267
15	SQ00015098	A16	2320
16	SQ00015098	A17	2134
17	SQ00015098	A18	2326
18	SQ00015098	A19	2132
19	SQ00015098	A20	2548
20	SQ00015098	A21	1827
21	SQ00015098	A22	2555
22	SQ00015098	A23	2301
23	SQ00015098	A24	1879
24	SQ00015098	B01	2038
25	SQ00015098	B02	2367
26	SQ00015098	B03	2335
27	SQ00015098	B04	2224
28	SQ00015098	B05	2572
29	SQ00015098	B06	2639
30	SQ00015098	B07	2422
31	SQ00015098	B08	2522
32	SQ00015098	B09	2940
33	SQ00015098	B10	2765
34	SQ00015098	B11	2585
35	SQ00015098	B12	2588
36	SQ00015098	B13	2652
37	SQ00015098	B14	2563
38	SQ00015098	B15	2423
39	SQ00015098	B16	2438
40	SQ00015098	B17	2665
41	SQ00015098	B18	2664
42	SQ00015098	B19	2055
43	SQ00015098	B20	2241
44	SQ00015098	B21	2298
45	SQ00015098	B22	2337
46	SQ00015098	B23	2398
47	SQ00015098	B24	2801
48	SQ00015098	C01	2369
49	SQ00015098	C02	2761
50	SQ00015098	C03	2589
51	SQ00015098	C04	2711
52	SQ00015098	C05	2967
53	SQ00015098	C06	3115
54	SQ00015098	C07	2137
55	SQ00015098	C08	2986
56	SQ00015098	C09	3154
57	SQ00015098	C10	3126
58	SQ00015098	C11	2645
59	SQ00015098	C12	2844
60	SQ00015098	C13	2745
61	SQ00015098	C14	2622
62	SQ00015098	C15	2779
63	SQ00015098	C16	2534
64	SQ00015098	C17	2965
65	SQ00015098	C18	2742
66	SQ00015098	C19	150
67	SQ00015098	C20	120
68	SQ00015098	C21	160
69	SQ00015098	C22	126
70	SQ00015098	C23	143
71	SQ00015098	C24	182
72	SQ00015098	D01	2243
73	SQ00015098	D02	2168
74	SQ00015098	D03	2683
75	SQ00015098	D04	2565
76	SQ00015098	D05	2731
77	SQ00015098	D06	2810
78	SQ00015098	D07	1658
79	SQ00015098	D08	3137
80	SQ00015098	D09	2560
81	SQ00015098	D10	2715
82	SQ00015098	D11	2810
83	SQ00015098	D12	2796
84	SQ00015098	D13	3022
85	SQ00015098	D14	2939
86	SQ00015098	D15	2962
87	SQ00015098	D16	2791
88	SQ00015098	D17	2868
89	SQ00015098	D18	2923
90	SQ00015098	D19	2342
91	SQ00015098	D20	2822
92	SQ00015098	D21	2553
93	SQ00015098	D22	2796
94	SQ00015098	D23	2447
95	SQ00015098	D24	2672
