Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015198,A01,2107
SQ00015198,A02,2146
SQ00015198,A03,2662
SQ00015198,A04,2356
SQ00015198,A05,2268
SQ00015198,A06,2043
SQ00015198,A07,1895
SQ00015198,A08,2441
SQ00015198,A09,2302
SQ00015198,A10,2685
SQ00015198,A11,2351
SQ00015198,A12,2045
SQ00015198,A13,2606
SQ00015198,A14,2647
SQ00015198,A15,2768
SQ00015198,A16,2490
SQ00015198,A17,2192
SQ00015198,A18,2054
SQ00015198,A19,1783
SQ00015198,A20,2045
SQ00015198,A21,1910
SQ00015198,A22,2460
SQ00015198,A23,2195
SQ00015198,A24,2135
SQ00015198,B01,2418
SQ00015198,B02,2370
SQ00015198,B03,2541
SQ00015198,B04,2727
SQ00015198,B05,2384
SQ00015198,B06,2508
SQ00015198,B07,2422
SQ00015198,B08,2207
SQ00015198,B09,2420
SQ00015198,B10,2383
SQ00015198,B11,2364
SQ00015198,B12,2357
SQ00015198,B13,158
SQ00015198,B14,865
SQ00015198,B15,1859
SQ00015198,B16,2522
SQ00015198,B17,2522
SQ00015198,B18,2356
SQ00015198,B19,2424
SQ00015198,B20,2555
SQ00015198,B21,2436
SQ00015198,B22,2193
SQ00015198,B23,2365
SQ00015198,B24,2463
SQ00015198,C01,1106
SQ00015198,C02,2715
SQ00015198,C03,2463
SQ00015198,C04,2577
SQ00015198,C05,2481
SQ00015198,C06,2125
SQ00015198,C07,1000
SQ00015198,C08,2372
SQ00015198,C09,2175
SQ00015198,C10,2196
SQ00015198,C11,2527
SQ00015198,C12,2234
SQ00015198,C13,834
SQ00015198,C14,2100
SQ00015198,C15,2295
SQ00015198,C16,2280
SQ00015198,C17,2236
SQ00015198,C18,2241
SQ00015198,C19,63
SQ00015198,C20,91
SQ00015198,C21,71
SQ00015198,C22,87
SQ00015198,C23,90
SQ00015198,C24,100
SQ00015198,D01,1597
SQ00015198,D02,2234
SQ00015198,D03,2844
SQ00015198,D04,2779
SQ00015198,D05,2530
SQ00015198,D06,2348
SQ00015198,D07,1710
SQ00015198,D08,2090
SQ00015198,D09,2182
SQ00015198,D10,2266
SQ00015198,D11,2152
SQ00015198,D12,2202
SQ00015198,D13,333
SQ00015198,D14,1733
SQ00015198,D15,1874
SQ00015198,D16,1931
SQ00015198,D17,1869
SQ00015198,D18,2270
SQ00015198,D19,2149
SQ00015198,D20,2095
SQ00015198,D21,1921
SQ00015198,D22,2457
SQ00015198,D23,2543
SQ00015198,D24,2032
SQ00015198,E01,2556
SQ00015198,E02,2453
SQ00015198,E03,2451
SQ00015198,E04,2356
SQ00015198,E05,2444
SQ00015198,E06,2591
SQ00015198,E07,2955
SQ00015198,E08,2656
SQ00015198,E09,2669
SQ00015198,E10,2217
SQ00015198,E11,2378
SQ00015198,E12,2433
SQ00015198,E13,1897
SQ00015198,E14,2403
SQ00015198,E15,2212
SQ00015198,E16,2682
SQ00015198,E17,2265
SQ00015198,E18,2333
SQ00015198,E19,2749
SQ00015198,E20,2614
SQ00015198,E21,2301
SQ00015198,E22,2466
SQ00015198,E23,2235
SQ00015198,E24,2510
SQ00015198,F01,355
SQ00015198,F02,438
SQ00015198,F03,462
SQ00015198,F04,530
SQ00015198,F05,1292
SQ00015198,F06,2179
SQ00015198,F07,2479
SQ00015198,F08,2431
SQ00015198,F09,2716
SQ00015198,F10,449
SQ00015198,F11,2423
SQ00015198,F12,2427
SQ00015198,F13,2017
SQ00015198,F14,2486
SQ00015198,F15,2305
SQ00015198,F16,2615
SQ00015198,F17,2620
SQ00015198,F18,2240
SQ00015198,F19,2421
SQ00015198,F20,2586
SQ00015198,F21,2521
SQ00015198,F22,2448
SQ00015198,F23,2403
SQ00015198,F24,2568
SQ00015198,G01,2251
SQ00015198,G02,2757
SQ00015198,G03,2769
SQ00015198,G04,2597
SQ00015198,G05,2655
SQ00015198,G06,2514
SQ00015198,G07,1578
SQ00015198,G08,2273
SQ00015198,G09,2191
