	Image_Metadata_Plate	Image_Metadata_Well	cell_count
0	SQ00015198	A01	2107
1	SQ00015198	A02	2146
2	SQ00015198	A03	2662
3	SQ00015198	A04	2356
4	SQ00015198	A05	2268
5	SQ00015198	A06	2043
6	SQ00015198	A07	1895
7	SQ00015198	A08	2441
8	SQ00015198	A09	2302
9	SQ00015198	A10	2685
10	SQ00015198	A11	2351
11	SQ00015198	A12	2045
12	SQ00015198	A13	2606
13	SQ00015198	A14	2647
14	SQ00015198	A15	2768
15	SQ00015198	A16	2490
16	SQ00015198	A17	2192
17	SQ00015198	A18	2054
18	SQ00015198	A19	1783
19	SQ00015198	A20	2045
20	SQ00015198	A21	1910
21	SQ00015198	A22	2460
22	SQ00015198	A23	2195
23	SQ00015198	A24	2135
24	SQ00015198	B01	2418
25	SQ00015198	B02	2370
26	SQ00015198	B03	2541
27	SQ00015198	B04	2727
28	SQ00015198	B05	2384
29	SQ00015198	B06	2508
30	SQ00015198	B07	2422
31	SQ00015198	B08	2207
32	SQ00015198	B09	2420
33	SQ00015198	B10	2383
34	SQ00015198	B11	2364
35	SQ00015198	B12	2357
36	SQ00015198	B13	158
37	SQ00015198	B14	865
38	SQ00015198	B15	1859
39	SQ00015198	B16	2522
40	SQ00015198	B17	2522
41	SQ00015198	B18	2356
42	SQ00015198	B19	2424
43	SQ00015198	B20	2555
44	SQ00015198	B21	2436
45	SQ00015198	B22	2193
46	SQ00015198	B23	2365
47	SQ00015198	B24	2463
48	SQ00015198	C01	1106
49	SQ00015198	C02	2715
50	SQ00015198	C03	2463
51	SQ00015198	C04	2577
52	SQ00015198	C05	2481
53	SQ00015198	C06	2125
54	SQ00015198	C07	1000
55	SQ00015198	C08	2372
56	SQ00015198	C09	2175
57	SQ00015198	C10	2196
58	SQ00015198	C11	2527
59	SQ00015198	C12	2234
60	SQ00015198	C13	834
61	SQ00015198	C14	2100
62	SQ00015198	C15	2295
63	SQ00015198	C16	2280
64	SQ00015198	C17	2236
65	SQ00015198	C18	2241
66	SQ00015198	C19	63
67	SQ00015198	C20	91
68	SQ00015198	C21	71
69	SQ00015198	C22	87
70	SQ00015198	C23	90
71	SQ00015198	C24	100
72	SQ00015198	D01	1597
73	SQ00015198	D02	2234
74	SQ00015198	D03	2844
75	SQ00015198	D04	2779
76	SQ00015198	D05	2530
77	SQ00015198	D06	2348
78	SQ00015198	D07	1710
79	SQ00015198	D08	2090
80	SQ00015198	D09	2182
81	SQ00015198	D10	2266
82	SQ00015198	D11	2152
83	SQ00015198	D12	2202
84	SQ00015198	D13	333
85	SQ00015198	D14	1733
86	SQ00015198	D15	1874
87	SQ00015198	D16	1931
88	SQ00015198	D17	1869
89	SQ00015198	D18	2270
90	SQ00015198	D19	2149
91	SQ00015198	D20	2095
92	SQ00015198	D21	1921
93	SQ00015198	D22	2457
94	SQ00015198	D23	2543
95	SQ00015198	D24	2032
96	SQ00015198	E01	2556
97	SQ00015198	E02	2453
98	SQ00015198	E03	2451
99	SQ00015198	E04	2356
100	SQ00015198	E05	2444
101	SQ00015198	E06	2591
102	SQ00015198	E07	2955
103	SQ00015198	E08	2656
104	SQ00015198	E09	2669
105	SQ00015198	E10	2217
106	SQ00015198	E11	2378
107	SQ00015198	E12	2433
108	SQ00015198	E13	1897
109	SQ00015198	E14	2403
110	SQ00015198	E15	2212
111	SQ00015198	E16	2682
112	SQ00015198	E17	2265
113	SQ00015198	E18	2333
114	SQ00015198	E19	2749
115	SQ00015198	E20	2614
116	SQ00015198	E21	2301
117	SQ00015198	E22	2466
118	SQ00015198	E23	2235
119	SQ00015198	E24	2510
120	SQ00015198	F01	355
121	SQ00015198	F02	438
122	SQ00015198	F03	462
123	SQ00015198	F04	530
124	SQ00015198	F05	1292
125	SQ00015198	F06	2179
126	SQ00015198	F07	2479
127	SQ00015198	F08	2431
128	SQ00015198	F09	2716
129	SQ00015198	F10	449
130	SQ00015198	F11	2423
131	SQ00015198	F12	2427
132	SQ00015198	F13	2017
133	SQ00015198	F14	2486
134	SQ00015198	F15	2305
135	SQ00015198	F16	2615
136	SQ00015198	F17	2620
137	SQ00015198	F18	2240
138	SQ00015198	F19	2421
139	SQ00015198	F20	2586
140	SQ00015198	F21	2521
141	SQ00015198	F22	2448
142	SQ00015198	F23	2403
143	SQ00015198	F24	2568
144	SQ00015198	G01	2251
145	SQ00015198	G02	2757
146	SQ00015198	G03	2769
147	SQ00015198	G04	2597
148	SQ00015198	G05	2655
149	SQ00015198	G06	2514
150	SQ00015198	G07	1578
151	SQ00015198	G08	2273
152	SQ00015198	G09	2191
