plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
C-7161-01-LM6-026	C11	BRD-K88366685-300-06-0	0.0418837037035748284	0.123456790123076923	DMSO
C-7161-01-LM6-026	C12	BRD-K88366685-300-06-0	0.0139612345687281685	0.0411522633769230769	DMSO
C-7161-01-LM6-026	C13	BRD-K88506063-001-01-8	4.52507799999999974	9.99999999999999999	DMSO
C-7161-01-LM6-026	C14	BRD-K88506063-001-01-8	1.50835933333217297	3.33333333333076923	DMSO
C-7161-01-LM6-026	C15	BRD-K88506063-001-01-8	0.502786444446378212	1.11111111111538462	DMSO
C-7161-01-LM6-026	C16	BRD-K88506063-001-01-8	0.167595481480965794	0.370370370369230769	DMSO
C-7161-01-LM6-026	C17	BRD-K88506063-001-01-8	0.0558651604936552645	0.123456790123076923	DMSO
C-7161-01-LM6-026	C18	BRD-K88506063-001-01-8	0.0186217201657120313	0.0411522633769230769	DMSO
C-7161-01-LM6-026	C19	BRD-K50691590-001-02-2	7.725	19.9998446614006889	DMSO
C-7161-01-LM6-026	C20	BRD-K50691590-001-02-2	7.725	19.9998446614006889	DMSO
C-7161-01-LM6-026	C21	BRD-K50691590-001-02-2	7.725	19.9998446614006889	DMSO
C-7161-01-LM6-026	C22	BRD-K50691590-001-02-2	7.725	19.9998446614006889	DMSO
C-7161-01-LM6-026	C23	BRD-K50691590-001-02-2	7.725	19.9998446614006889	DMSO
C-7161-01-LM6-026	C24	BRD-K50691590-001-02-2	7.725	19.9998446614006889	DMSO
C-7161-01-LM6-026	D01	BRD-K88358234-003-04-8	4.17894000000000005	9.99999999999999999	DMSO
C-7161-01-LM6-026	D02	BRD-K88358234-003-04-8	1.39297999999892849	3.33333333333076923	DMSO
C-7161-01-LM6-026	D03	BRD-K88358234-003-04-8	0.464326666668452546	1.11111111111538462	DMSO
C-7161-01-LM6-026	D04	BRD-K88358234-003-04-8	0.154775555555079325	0.370370370369230769	DMSO
C-7161-01-LM6-026	D05	BRD-K88358234-003-04-8	0.0515918518516931083	0.123456790123076923	DMSO
C-7161-01-LM6-026	D06	BRD-K88358234-003-04-8	0.0171972839516358925	0.0411522633769230769	DMSO
C-7161-01-LM6-026	D07	BRD-K88429204-001-35-1	2.48711000000000012	9.99999999999999999	DMSO
C-7161-01-LM6-026	D08	BRD-K88429204-001-35-1	0.829036666666028988	3.33333333333076923	DMSO
C-7161-01-LM6-026	D09	BRD-K88429204-001-35-1	0.276345555556618438	1.11111111111538462	DMSO
C-7161-01-LM6-026	D10	BRD-K88429204-001-35-1	0.0921151851849017585	0.370370370369230769	DMSO
C-7161-01-LM6-026	D11	BRD-K88429204-001-35-1	0.0307050617283005862	0.123456790123076923	DMSO
C-7161-01-LM6-026	D12	BRD-K88429204-001-35-1	0.0102350205767379159	0.0411522633769230769	DMSO
C-7161-01-LM6-026	D13	BRD-K88510285-001-11-1	3.84237000000000023	9.99999999999999999	DMSO
C-7161-01-LM6-026	D14	BRD-K88510285-001-11-1	1.28078999999901485	3.33333333333076923	DMSO
C-7161-01-LM6-026	D15	BRD-K88510285-001-11-1	0.426930000001642066	1.11111111111538462	DMSO
C-7161-01-LM6-026	D16	BRD-K88510285-001-11-1	0.142309999999562132	0.370370370369230769	DMSO
C-7161-01-LM6-026	D17	BRD-K88510285-001-11-1	0.0474366666665207105	0.123456790123076923	DMSO
C-7161-01-LM6-026	D18	BRD-K88510285-001-11-1	0.0158122222231587933	0.0411522633769230769	DMSO
C-7161-01-LM6-026	D19	BRD-K88611939-001-22-4	2.19236500000000006	9.99999999999999999	DMSO
C-7161-01-LM6-026	D20	BRD-K88611939-001-22-4	0.730788333332771210	3.33333333333076923	DMSO
C-7161-01-LM6-026	D21	BRD-K88611939-001-22-4	0.243596111112048028	1.11111111111538462	DMSO
C-7161-01-LM6-026	D22	BRD-K88611939-001-22-4	0.0811987037034538639	0.370370370369230769	DMSO
C-7161-01-LM6-026	D23	BRD-K88611939-001-22-4	0.0270662345678179546	0.123456790123076923	DMSO
C-7161-01-LM6-026	D24	BRD-K88611939-001-22-4	0.00902207818983479642	0.0411522633769230769	DMSO
C-7161-01-LM6-026	E01	BRD-K87156652-001-12-7	1.86230999999999994	9.99999999999999999	DMSO
C-7161-01-LM6-026	E02	BRD-K87156652-001-12-7	0.620769999999522466	3.33333333333076923	DMSO
C-7161-01-LM6-026	E03	BRD-K87156652-001-12-7	0.206923333334129187	1.11111111111538462	DMSO
C-7161-01-LM6-026	E04	BRD-K87156652-001-12-7	0.0689744444442322133	0.370370370369230769	DMSO
C-7161-01-LM6-026	E05	BRD-K87156652-001-12-7	0.0229914814814107378	0.123456790123076923	DMSO
C-7161-01-LM6-026	E06	BRD-K87156652-001-12-7	0.00766382716094776131	0.0411522633769230769	DMSO
C-7161-01-LM6-026	E07	BRD-A89164055-001-03-3	2.36199199999999991	10.0000000000000000	DMSO
C-7161-01-LM6-026	E08	BRD-A89164055-001-03-3	0.787330666666666638	3.33333333333333335	DMSO
C-7161-01-LM6-026	E09	BRD-A89164055-001-03-3	0.262443555555555546	1.11111111111111112	DMSO
C-7161-01-LM6-026	E10	BRD-A89164055-001-03-3	0.0874811851851851846	0.370370370370370383	DMSO
C-7161-01-LM6-026	E11	BRD-A89164055-001-03-3	0.0291603950617283923	0.123456790123456783	DMSO
C-7161-01-LM6-026	E12	BRD-A89164055-001-03-3	0.0097201316872428	0.0411522633744856053	DMSO
C-7161-01-LM6-026	E13	BRD-K89208535-051-01-5	5.08562900000000013	9.99999999999999999	DMSO
C-7161-01-LM6-026	E14	BRD-K89208535-051-01-5	1.69520966666536270	3.33333333333076923	DMSO
C-7161-01-LM6-026	E15	BRD-K89208535-051-01-5	0.565069888891062252	1.11111111111538462	DMSO
C-7161-01-LM6-026	E16	BRD-K89208535-051-01-5	0.188356629629050076	0.370370370369230769	DMSO
C-7161-01-LM6-026	E17	BRD-K89208535-051-01-5	0.0627855432096833585	0.123456790123076923	DMSO
C-7161-01-LM6-026	E18	BRD-K89208535-051-01-5	0.0209285144045317936	0.0411522633769230769	DMSO
C-7161-01-LM6-026	E19	BRD-K89348303-001-14-7	4.16510600000000010	9.99999999999999999	DMSO
C-7161-01-LM6-026	E20	BRD-K89348303-001-14-7	1.38836866666559873	3.33333333333076923	DMSO
C-7161-01-LM6-026	E21	BRD-K89348303-001-14-7	0.462789555557335529	1.11111111111538462	DMSO
C-7161-01-LM6-026	E22	BRD-K89348303-001-14-7	0.154263185184710533	0.370370370369230769	DMSO
C-7161-01-LM6-026	E23	BRD-K89348303-001-14-7	0.0514210617282368444	0.123456790123076923	DMSO
C-7161-01-LM6-026	E24	BRD-K89348303-001-14-7	0.0171403539104802574	0.0411522633769230769	DMSO
C-7161-01-LM6-026	F01	BRD-K89162000-001-06-4	5.62702999999999974	9.99999999999999999	DMSO
C-7161-01-LM6-026	F02	BRD-K89162000-001-06-4	1.87567666666522375	3.33333333333076923	DMSO
C-7161-01-LM6-026	F03	BRD-K89162000-001-06-4	0.625225555557960244	1.11111111111538462	DMSO
C-7161-01-LM6-026	F04	BRD-K89162000-001-06-4	0.208408518517877252	0.370370370369230769	DMSO
C-7161-01-LM6-026	F05	BRD-K89162000-001-06-4	0.0694695061726257507	0.123456790123076923	DMSO
C-7161-01-LM6-026	F06	BRD-K89162000-001-06-4	0.0231565020589847451	0.0411522633769230769	DMSO
C-7161-01-LM6-026	F07				DMSO
C-7161-01-LM6-026	F08				DMSO
C-7161-01-LM6-026	F09				DMSO
C-7161-01-LM6-026	F10				DMSO
C-7161-01-LM6-026	F11				DMSO
C-7161-01-LM6-026	F12				DMSO
C-7161-01-LM6-026	F13	BRD-K89274813-001-02-3	4.12430700000000001	9.99999999999999999	DMSO
C-7161-01-LM6-026	F14	BRD-K89274813-001-02-3	1.37476899999894249	3.33333333333076923	DMSO
C-7161-01-LM6-026	F15	BRD-K89274813-001-02-3	0.458256333335095861	1.11111111111538462	DMSO
C-7161-01-LM6-026	F16	BRD-K89274813-001-02-3	0.152752111110641105	0.370370370369230769	DMSO
C-7161-01-LM6-026	F17	BRD-K89274813-001-02-3	0.0509173703702137017	0.123456790123076923	DMSO
C-7161-01-LM6-026	F18	BRD-K89274813-001-02-3	0.0169724567911287485	0.0411522633769230769	DMSO
C-7161-01-LM6-026	F19	BRD-K89375097-300-08-8	4.24324000000000012	9.99999999999999999	DMSO
C-7161-01-LM6-026	F20	BRD-K89375097-300-08-8	1.41441333333224536	3.33333333333076923	DMSO
C-7161-01-LM6-026	F21	BRD-K89375097-300-08-8	0.471471111112924477	1.11111111111538462	DMSO
C-7161-01-LM6-026	F22	BRD-K89375097-300-08-8	0.157157037036553481	0.370370370369230769	DMSO
C-7161-01-LM6-026	F23	BRD-K89375097-300-08-8	0.0523856790121844938	0.123456790123076923	DMSO
C-7161-01-LM6-026	F24	BRD-K89375097-300-08-8	0.0174618930051495082	0.0411522633769230769	DMSO
C-7161-01-LM6-026	G01	BRD-M89827113-001-01-5	2.86325699999999983	9.99999999999999999	DMSO
C-7161-01-LM6-026	G02	BRD-M89827113-001-01-5	0.954418999999265776	3.33333333333076923	DMSO
C-7161-01-LM6-026	G03	BRD-M89827113-001-01-5	0.318139666667890264	1.11111111111538462	DMSO
C-7161-01-LM6-026	G04	BRD-M89827113-001-01-5	0.106046555555229252	0.370370370369230769	DMSO
C-7161-01-LM6-026	G05	BRD-M89827113-001-01-5	0.0353488518517430841	0.123456790123076923	DMSO
C-7161-01-LM6-026	G06	BRD-M89827113-001-01-5	0.0117829506179818632	0.0411522633769230769	DMSO
C-7161-01-LM6-026	G07	BRD-K89997465-003-43-0	3.55324999999999988	9.99999999999999999	DMSO
C-7161-01-LM6-026	G08	BRD-K89997465-003-43-0	1.18441666666575554	3.33333333333076923	DMSO
C-7161-01-LM6-026	G09	BRD-K89997465-003-43-0	0.394805555557074027	1.11111111111538462	DMSO
C-7161-01-LM6-026	G10	BRD-K89997465-003-43-0	0.131601851851446919	0.370370370369230769	DMSO
C-7161-01-LM6-026	G11	BRD-K89997465-003-43-0	0.0438672839504823063	0.123456790123076923	DMSO
C-7161-01-LM6-026	G12	BRD-K89997465-003-43-0	0.0146224279844051918	0.0411522633769230769	DMSO
C-7161-01-LM6-026	G13	BRD-K50691590-001-02-2	7.725	19.9998446614006889	DMSO
C-7161-01-LM6-026	G14	BRD-K50691590-001-02-2	7.725	19.9998446614006889	DMSO
C-7161-01-LM6-026	G15	BRD-K50691590-001-02-2	7.725	19.9998446614006889	DMSO
C-7161-01-LM6-026	G16	BRD-K50691590-001-02-2	7.725	19.9998446614006889	DMSO
C-7161-01-LM6-026	G17	BRD-K50691590-001-02-2	7.725	19.9998446614006889	DMSO
C-7161-01-LM6-026	G18	BRD-K50691590-001-02-2	7.725	19.9998446614006889	DMSO
C-7161-01-LM6-026	G19	BRD-A90625545-001-02-0	4.68581799999999987	9.99999999999999999	DMSO
C-7161-01-LM6-026	G20	BRD-A90625545-001-02-0	1.56193933333213180	3.33333333333076923	DMSO
C-7161-01-LM6-026	G21	BRD-A90625545-001-02-0	0.520646444446446918	1.11111111111538462	DMSO
C-7161-01-LM6-026	G22	BRD-A90625545-001-02-0	0.173548814814280814	0.370370370369230769	DMSO
C-7161-01-LM6-026	G23	BRD-A90625545-001-02-0	0.0578496049380936045	0.123456790123076923	DMSO
C-7161-01-LM6-026	G24	BRD-A90625545-001-02-0	0.0192832016472326933	0.0411522633769230769	DMSO
C-7161-01-LM6-026	H01	BRD-K89917372-001-01-2	3.03331399999999973	9.99999999999999999	DMSO
C-7161-01-LM6-026	H02	BRD-K89917372-001-01-2	1.01110466666588881	3.33333333333076923	DMSO
C-7161-01-LM6-026	H03	BRD-K89917372-001-01-2	0.337034888890185149	1.11111111111538462	DMSO
C-7161-01-LM6-026	H04	BRD-K89917372-001-01-2	0.112344962962617276	0.370370370369230769	DMSO
C-7161-01-LM6-026	H05	BRD-K89917372-001-01-2	0.0374483209875390921	0.123456790123076923	DMSO
C-7161-01-LM6-026	H06	BRD-K89917372-001-01-2	0.0124827736632908035	0.0411522633769230769	DMSO
C-7161-01-LM6-026	H07	BRD-K90195324-003-02-5	5.07064000000000021	9.99999999999999999	DMSO
C-7161-01-LM6-026	H08	BRD-K90195324-003-02-5	1.69021333333203324	3.33333333333076923	DMSO
C-7161-01-LM6-026	H09	BRD-K90195324-003-02-5	0.563404444446611411	1.11111111111538462	DMSO
C-7161-01-LM6-026	H10	BRD-K90195324-003-02-5	0.187801481480903639	0.370370370369230769	DMSO
C-7161-01-LM6-026	H11	BRD-K90195324-003-02-5	0.0626004938269678795	0.123456790123076923	DMSO
C-7161-01-LM6-026	H12	BRD-K90195324-003-02-5	0.0208668312769561239	0.0411522633769230769	DMSO
C-7161-01-LM6-026	H13	BRD-A90547603-001-02-5	8.31961999999999988	9.99999999999999999	DMSO
C-7161-01-LM6-026	H14	BRD-A90547603-001-02-5	2.77320666666453339	3.33333333333076923	DMSO
C-7161-01-LM6-026	H15	BRD-A90547603-001-02-5	0.924402222225777607	1.11111111111538462	DMSO
C-7161-01-LM6-026	H16	BRD-A90547603-001-02-5	0.308134074073125965	0.370370370369230769	DMSO
C-7161-01-LM6-026	H17	BRD-A90547603-001-02-5	0.102711358024375322	0.123456790123076923	DMSO
C-7161-01-LM6-026	H18	BRD-A90547603-001-02-5	0.0342371193435916765	0.0411522633769230769	DMSO
C-7161-01-LM6-026	H19	BRD-K90777969-300-01-2	4.41434000000000025	9.99999999999999999	DMSO
C-7161-01-LM6-026	H20	BRD-K90777969-300-01-2	1.47144666666553487	3.33333333333076923	DMSO
C-7161-01-LM6-026	H21	BRD-K90777969-300-01-2	0.490482222224108723	1.11111111111538462	DMSO
C-7161-01-LM6-026	H22	BRD-K90777969-300-01-2	0.163494074073571025	0.370370370369230769	DMSO
C-7161-01-LM6-026	H23	BRD-K90777969-300-01-2	0.0544980246911903416	0.123456790123076923	DMSO
C-7161-01-LM6-026	H24	BRD-K90777969-300-01-2	0.0181660082315286626	0.0411522633769230769	DMSO
C-7161-01-LM6-026	I01	BRD-K90948141-001-01-4	3.76432000000000016	9.99999999999999999	DMSO
C-7161-01-LM6-026	I02	BRD-K90948141-001-01-4	1.25477333333236818	3.33333333333076923	DMSO
C-7161-01-LM6-026	I03	BRD-K90948141-001-01-4	0.418257777779386481	1.11111111111538462	DMSO
C-7161-01-LM6-026	I04	BRD-K90948141-001-01-4	0.139419259258830283	0.370370370369230769	DMSO
C-7161-01-LM6-026	I05	BRD-K90948141-001-01-4	0.0464730864196100943	0.123456790123076923	DMSO
C-7161-01-LM6-026	I06	BRD-K90948141-001-01-4	0.0154910288075019084	0.0411522633769230769	DMSO
C-7161-01-LM6-026	I07	BRD-K91159026-001-01-7	5.66523000000000024	9.99999999999999999	DMSO
C-7161-01-LM6-026	I08	BRD-K91159026-001-01-7	1.88840999999854746	3.33333333333076923	DMSO
C-7161-01-LM6-026	I09	BRD-K91159026-001-01-7	0.629470000002421068	1.11111111111538462	DMSO
C-7161-01-LM6-026	I10	BRD-K91159026-001-01-7	0.209823333332687732	0.370370370369230769	DMSO
C-7161-01-LM6-026	I11	BRD-K91159026-001-01-7	0.0699411111108959107	0.123456790123076923	DMSO
C-7161-01-LM6-026	I12	BRD-K91159026-001-01-7	0.0233137037050845933	0.0411522633769230769	DMSO
C-7161-01-LM6-026	I13	BRD-A05457250-001-05-0	3.56296499999999979	9.99999999999999996	DMSO
C-7161-01-LM6-026	I14	BRD-A05457250-001-05-0	1.18765499999999993	3.33333333333333332	DMSO
C-7161-01-LM6-026	I15	BRD-A05457250-001-05-0	0.395884999999999977	1.11111111111111111	DMSO
C-7161-01-LM6-026	I16	BRD-A05457250-001-05-0	0.131961666666666654	0.370370370370370355	DMSO
C-7161-01-LM6-026	I17	BRD-A05457250-001-05-0	0.0439872222222222154	0.123456790123456778	DMSO
C-7161-01-LM6-026	I18	BRD-A05457250-001-05-0	0.0146624074074074077	0.0411522633744855998	DMSO
C-7161-01-LM6-026	I19	BRD-K91308639-001-02-7	4.77435000000000002	9.99999999999999999	DMSO
C-7161-01-LM6-026	I20	BRD-K91308639-001-02-7	1.59144999999877581	3.33333333333076923	DMSO
C-7161-01-LM6-026	I21	BRD-K91308639-001-02-7	0.530483333335373659	1.11111111111538462	DMSO
C-7161-01-LM6-026	I22	BRD-K91308639-001-02-7	0.176827777777233693	0.370370370369230769	DMSO
C-7161-01-LM6-026	I23	BRD-K91308639-001-02-7	0.0589425925924112310	0.123456790123076923	DMSO
C-7161-01-LM6-026	I24	BRD-K91308639-001-02-7	0.0196475308653612693	0.0411522633769230769	DMSO
C-7161-01-LM6-026	J01	BRD-K91111634-001-01-2	3.15473000000000013	9.99999999999999999	DMSO
C-7161-01-LM6-026	J02	BRD-K91111634-001-01-2	1.05157666666585781	3.33333333333076923	DMSO
C-7161-01-LM6-026	J03	BRD-K91111634-001-01-2	0.350525555556903747	1.11111111111538462	DMSO
C-7161-01-LM6-026	J04	BRD-K91111634-001-01-2	0.116841851851492343	0.370370370369230769	DMSO
C-7161-01-LM6-026	J05	BRD-K91111634-001-01-2	0.0389472839504974478	0.123456790123076923	DMSO
C-7161-01-LM6-026	J06	BRD-K91111634-001-01-2	0.0129824279843080544	0.0411522633769230769	DMSO
C-7161-01-LM6-026	J07	BRD-K91263825-003-21-4	2.99838000000000022	9.99999999999999999	DMSO
C-7161-01-LM6-026	J08	BRD-K91263825-003-21-4	0.999459999999231259	3.33333333333076923	DMSO
C-7161-01-LM6-026	J09	BRD-K91263825-003-21-4	0.333153333334614718	1.11111111111538462	DMSO
C-7161-01-LM6-026	J10	BRD-K91263825-003-21-4	0.111051111110769424	0.370370370369230769	DMSO
C-7161-01-LM6-026	J11	BRD-K91263825-003-21-4	0.0370170370369231412	0.123456790123076923	DMSO
C-7161-01-LM6-026	J12	BRD-K91263825-003-21-4	0.0123390123464098624	0.0411522633769230769	DMSO
C-7161-01-LM6-026	J13				DMSO
C-7161-01-LM6-026	J14				DMSO
C-7161-01-LM6-026	J15				DMSO
C-7161-01-LM6-026	J16				DMSO
C-7161-01-LM6-026	J17				DMSO
C-7161-01-LM6-026	J18				DMSO
