Metadata_Plate,Metadata_Well,cell_count
BR00092708,A01,1406
BR00092708,A02,1249
BR00092708,A03,1320
BR00092708,A04,1504
BR00092708,A05,1335
BR00092708,A06,1242
BR00092708,A07,870
BR00092708,A08,953
BR00092708,A09,899
BR00092708,A10,746
BR00092708,A11,1344
BR00092708,A12,1258
BR00092708,A13,1167
BR00092708,A14,1300
BR00092708,A15,1322
BR00092708,A16,1271
BR00092708,A17,1221
BR00092708,A18,1322
BR00092708,A19,1188
BR00092708,A20,1378
BR00092708,A21,1565
BR00092708,A22,27
BR00092708,A23,538
BR00092708,A24,685
BR00092708,B01,1316
BR00092708,B02,999
BR00092708,B03,1393
BR00092708,B04,1305
BR00092708,B05,1294
BR00092708,B06,1315
BR00092708,B07,1117
BR00092708,B08,1200
BR00092708,B09,1336
BR00092708,B10,887
BR00092708,B11,1253
BR00092708,B12,1242
BR00092708,B13,840
BR00092708,B14,1149
BR00092708,B15,1208
BR00092708,B16,1365
BR00092708,B17,1482
BR00092708,B18,1189
BR00092708,B19,1103
BR00092708,B20,1229
BR00092708,B21,1215
BR00092708,B22,1307
BR00092708,B23,1602
BR00092708,B24,1401
BR00092708,C01,1386
BR00092708,C02,1275
BR00092708,C03,1438
BR00092708,C04,1247
BR00092708,C05,1488
BR00092708,C06,1418
BR00092708,C07,1318
BR00092708,C08,1266
BR00092708,C09,1366
BR00092708,C10,840
BR00092708,C11,1182
BR00092708,C12,1276
BR00092708,C13,1308
BR00092708,C14,1384
BR00092708,C15,1358
BR00092708,C16,1417
BR00092708,C17,1368
BR00092708,C18,1451
BR00092708,C19,381
BR00092708,C20,242
BR00092708,C21,313
BR00092708,C22,1361
BR00092708,C23,1569
BR00092708,C24,1507
BR00092708,D01,1528
BR00092708,D02,1503
BR00092708,D03,1327
BR00092708,D04,1370
BR00092708,D05,1468
BR00092708,D06,1496
BR00092708,D07,1622
BR00092708,D08,1535
BR00092708,D09,1456
BR00092708,D10,1433
BR00092708,D11,1585
BR00092708,D12,1398
BR00092708,D13,1588
BR00092708,D14,1533
BR00092708,D15,1539
BR00092708,D16,1441
BR00092708,D17,1438
BR00092708,D18,1464
BR00092708,D19,1531
BR00092708,D20,1564
BR00092708,D21,1308
BR00092708,D22,218
BR00092708,D23,1433
BR00092708,D24,1150
BR00092708,E01,1430
BR00092708,E02,1328
BR00092708,E03,1479
BR00092708,E04,1204
BR00092708,E05,1377
BR00092708,E06,1286
BR00092708,E07,1514
BR00092708,E08,1432
BR00092708,E09,1566
BR00092708,E10,1671
BR00092708,E11,1725
BR00092708,E12,1576
BR00092708,E13,1400
BR00092708,E14,1724
BR00092708,E15,1695
BR00092708,E16,668
BR00092708,E17,892
BR00092708,E18,1286
BR00092708,E19,1701
BR00092708,E20,1651
BR00092708,E21,1620
BR00092708,E22,1623
BR00092708,E23,1483
BR00092708,E24,1436
BR00092708,F01,1303
BR00092708,F02,1308
BR00092708,F03,1612
BR00092708,F04,243
BR00092708,F05,336
BR00092708,F06,1437
BR00092708,F07,1755
BR00092708,F08,1749
BR00092708,F09,1799
BR00092708,F10,1398
BR00092708,F11,1508
BR00092708,F12,1592
BR00092708,F13,1114
BR00092708,F14,1786
BR00092708,F15,1514
BR00092708,F16,1438
BR00092708,F17,1733
BR00092708,F18,1724
BR00092708,F19,433
BR00092708,F20,1300
BR00092708,F21,1147
BR00092708,F22,1443
BR00092708,F23,1342
BR00092708,F24,1669
BR00092708,G01,1416
BR00092708,G02,1431
BR00092708,G03,1528
BR00092708,G04,1494
BR00092708,G05,1679
BR00092708,G06,1732
BR00092708,G07,449
BR00092708,G08,1300
BR00092708,G09,1591
BR00092708,G10,1631
BR00092708,G11,1637
BR00092708,G12,1541
BR00092708,G13,1750
BR00092708,G14,1614
BR00092708,G15,1758
BR00092708,G16,1601
BR00092708,G17,1667
BR00092708,G18,1620
BR00092708,G19,1343
BR00092708,G20,1536
BR00092708,G21,1554
BR00092708,G22,706
BR00092708,G23,1283
BR00092708,G24,1426
BR00092708,H01,1487
BR00092708,H02,1301
BR00092708,H03,1412
BR00092708,H04,992
BR00092708,H05,1489
BR00092708,H06,1586
BR00092708,H07,1080
BR00092708,H08,1473
BR00092708,H09,1587
BR00092708,H10,1641
BR00092708,H11,1606
BR00092708,H12,1605
BR00092708,H13,1575
BR00092708,H14,1711
BR00092708,H15,1725
BR00092708,H16,1560
BR00092708,H17,1522
