Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015221,A01,1392
SQ00015221,A02,905
SQ00015221,A03,1334
SQ00015221,A04,1483
SQ00015221,A05,1545
SQ00015221,A06,1881
SQ00015221,A07,206
SQ00015221,A08,153
SQ00015221,A09,208
SQ00015221,A10,214
SQ00015221,A11,233
SQ00015221,A12,225
SQ00015221,A13,1782
SQ00015221,A14,1661
SQ00015221,A15,1347
SQ00015221,A16,1457
SQ00015221,A17,1538
SQ00015221,A18,1343
SQ00015221,A19,1369
SQ00015221,A20,1350
SQ00015221,A21,1225
SQ00015221,A22,1190
SQ00015221,A23,1247
SQ00015221,A24,1130
SQ00015221,B01,1541
SQ00015221,B02,1680
SQ00015221,B03,1547
SQ00015221,B04,1721
SQ00015221,B05,1428
SQ00015221,B06,1479
SQ00015221,B07,216
SQ00015221,B08,206
SQ00015221,B09,181
SQ00015221,B10,250
SQ00015221,B11,369
SQ00015221,B12,1629
SQ00015221,B13,1638
SQ00015221,B14,1457
SQ00015221,B15,1398
SQ00015221,B16,1537
SQ00015221,B17,1313
SQ00015221,B18,1538
SQ00015221,B19,1461
SQ00015221,B20,1744
SQ00015221,B21,1406
SQ00015221,B22,1261
SQ00015221,B23,1451
SQ00015221,B24,919
SQ00015221,C01,1248
SQ00015221,C02,531
SQ00015221,C03,1611
SQ00015221,C04,1907
SQ00015221,C05,1726
SQ00015221,C06,1735
SQ00015221,C07,1614
SQ00015221,C08,1914
SQ00015221,C09,1780
SQ00015221,C10,1896
SQ00015221,C11,1745
SQ00015221,C12,1688
SQ00015221,C13,1469
SQ00015221,C14,1733
SQ00015221,C15,1656
SQ00015221,C16,1633
SQ00015221,C17,1836
SQ00015221,C18,1780
SQ00015221,C19,79
SQ00015221,C20,90
SQ00015221,C21,86
SQ00015221,C22,99
SQ00015221,C23,57
SQ00015221,C24,78
SQ00015221,D01,1441
SQ00015221,D02,1575
SQ00015221,D03,1729
SQ00015221,D04,2087
SQ00015221,D05,1641
SQ00015221,D06,1679
SQ00015221,D07,2007
SQ00015221,D08,1721
SQ00015221,D09,1975
SQ00015221,D10,1843
SQ00015221,D11,1997
SQ00015221,D12,1934
SQ00015221,D13,1674
SQ00015221,D14,1810
SQ00015221,D15,1900
SQ00015221,D16,1847
SQ00015221,D17,1924
SQ00015221,D18,1837
SQ00015221,D19,453
SQ00015221,D20,1692
SQ00015221,D21,1683
SQ00015221,D22,1620
SQ00015221,D23,1462
SQ00015221,D24,1261
SQ00015221,E01,386
SQ00015221,E02,756
SQ00015221,E03,1364
SQ00015221,E04,1719
SQ00015221,E05,1825
SQ00015221,E06,1752
SQ00015221,E07,1568
SQ00015221,E08,1904
SQ00015221,E09,2105
SQ00015221,E10,2123
SQ00015221,E11,1983
SQ00015221,E12,1882
SQ00015221,E13,1758
SQ00015221,E14,1962
SQ00015221,E15,1788
SQ00015221,E16,1686
SQ00015221,E17,1835
SQ00015221,E18,2055
SQ00015221,E19,1195
SQ00015221,E20,1457
SQ00015221,E21,1584
SQ00015221,E22,1716
SQ00015221,E23,1434
SQ00015221,E24,1302
SQ00015221,F01,1679
SQ00015221,F02,1621
SQ00015221,F03,1934
SQ00015221,F04,1960
SQ00015221,F05,1936
SQ00015221,F06,2078
SQ00015221,F07,2303
SQ00015221,F08,2213
SQ00015221,F09,2080
SQ00015221,F10,2057
SQ00015221,F11,2078
SQ00015221,F12,1959
SQ00015221,F13,1799
SQ00015221,F14,1933
SQ00015221,F15,2018
SQ00015221,F16,2071
SQ00015221,F17,1882
SQ00015221,F18,1667
