broad_sample	broad_id	plate_map_name	solvent
BRD-K64052750-001-17-5	BRD-K64052750	C-7161-01-LM6-018	DMSO
BRD-A64406146-001-01-2	BRD-A64406146	C-7161-01-LM6-018	DMSO
BRD-K64622987-001-01-4	BRD-K64622987	C-7161-01-LM6-018	DMSO
BRD-K64785675-001-04-0	BRD-K64785675	C-7161-01-LM6-018	DMSO
BRD-K64838454-001-01-0	BRD-K64838454	C-7161-01-LM6-018	DMSO
BRD-K64890080-001-13-8	BRD-K64890080	C-7161-01-LM6-018	DMSO
BRD-K64755930-003-03-2	BRD-K64755930	C-7161-01-LM6-018	DMSO
BRD-K64800655-001-07-4	BRD-K64800655	C-7161-01-LM6-018	DMSO
BRD-K64925568-001-01-8	BRD-K64925568	C-7161-01-LM6-018	DMSO
BRD-K65170927-001-01-6	BRD-K65170927	C-7161-01-LM6-018	DMSO
BRD-K60230970-001-10-0	BRD-K60230970	C-7161-01-LM6-018	DMSO
BRD-K65678996-001-05-5	BRD-K65678996	C-7161-01-LM6-018	DMSO
BRD-K65820248-001-01-8	BRD-K65820248	C-7161-01-LM6-018	DMSO
BRD-A65248799-001-01-7	BRD-A65248799	C-7161-01-LM6-018	DMSO
BRD-K65428967-001-08-4	BRD-K65428967	C-7161-01-LM6-018	DMSO
BRD-K65781196-001-03-0	BRD-K65781196	C-7161-01-LM6-018	DMSO
BRD-K65928735-001-04-3	BRD-K65928735	C-7161-01-LM6-018	DMSO
BRD-K66175015-001-09-0	BRD-K66175015	C-7161-01-LM6-018	DMSO
BRD-K66412701-066-01-6	BRD-K66412701	C-7161-01-LM6-018	DMSO
BRD-K66538826-001-07-2	BRD-K66538826	C-7161-01-LM6-018	DMSO
BRD-K66876909-001-12-6	BRD-K66876909	C-7161-01-LM6-018	DMSO
BRD-K66404838-310-01-1	BRD-K66404838	C-7161-01-LM6-018	DMSO
BRD-A66419424-001-02-4	BRD-A66419424	C-7161-01-LM6-018	DMSO
BRD-K66615216-003-14-8	BRD-K66615216	C-7161-01-LM6-018	DMSO
BRD-K66911501-003-01-2	BRD-K66911501	C-7161-01-LM6-018	DMSO
BRD-A36057565-001-01-0	BRD-A36057565	C-7161-01-LM6-018	DMSO
BRD-K67174965-001-02-7	BRD-K67174965	C-7161-01-LM6-018	DMSO
BRD-A67479912-001-03-4	BRD-A67479912	C-7161-01-LM6-018	DMSO
BRD-A67097164-001-18-7	BRD-A67097164	C-7161-01-LM6-018	DMSO
BRD-K67121414-001-03-3	BRD-K67121414	C-7161-01-LM6-018	DMSO
BRD-K67277431-002-10-5	BRD-K67277431	C-7161-01-LM6-018	DMSO
BRD-A67516570-001-02-8	BRD-A67516570	C-7161-01-LM6-018	DMSO
		C-7161-01-LM6-024	DMSO
BRD-K73524797-001-01-1	BRD-K73524797	C-7161-01-LM6-024	DMSO
BRD-A73556557-001-06-4	BRD-A73556557	C-7161-01-LM6-024	DMSO
BRD-A73741725-001-02-8	BRD-A73741725	C-7161-01-LM6-024	DMSO
BRD-K73541271-001-03-6	BRD-K73541271	C-7161-01-LM6-024	DMSO
BRD-A20239487-001-24-9	BRD-A20239487	C-7161-01-LM6-024	DMSO
BRD-K73794685-001-01-5	BRD-K73794685	C-7161-01-LM6-024	DMSO
BRD-K74065929-001-07-2	BRD-K74065929	C-7161-01-LM6-024	DMSO
BRD-K74190368-001-04-3	BRD-K74190368	C-7161-01-LM6-024	DMSO
BRD-K74305673-001-06-2	BRD-K74305673	C-7161-01-LM6-024	DMSO
BRD-K50691590-001-02-2	BRD-K50691590	C-7161-01-LM6-024	DMSO
