Metadata_Plate,Metadata_Well,cell_count
BR00092692,A01,891
BR00092692,A02,517
BR00092692,A03,629
BR00092692,A04,662
BR00092692,A05,547
BR00092692,A06,644
BR00092692,A07,624
BR00092692,A08,605
BR00092692,A09,570
BR00092692,A10,566
BR00092692,A11,616
BR00092692,A12,607
BR00092692,A13,665
BR00092692,A14,620
BR00092692,A15,615
BR00092692,A16,743
BR00092692,A17,649
BR00092692,A18,563
BR00092692,A19,561
BR00092692,A20,589
BR00092692,A21,620
BR00092692,A22,20
BR00092692,A23,900
BR00092692,A24,784
BR00092692,B01,605
BR00092692,B02,787
BR00092692,B03,674
BR00092692,B04,707
BR00092692,B05,735
BR00092692,B06,750
BR00092692,B07,631
BR00092692,B08,700
BR00092692,B09,672
BR00092692,B10,634
BR00092692,B11,605
BR00092692,B12,555
BR00092692,B13,689
BR00092692,B14,654
BR00092692,B15,658
BR00092692,B16,658
BR00092692,B17,733
BR00092692,B18,677
BR00092692,B19,662
BR00092692,B20,641
BR00092692,B21,651
BR00092692,B22,672
BR00092692,B23,617
BR00092692,B24,653
BR00092692,C01,637
BR00092692,C02,639
BR00092692,C03,820
BR00092692,C04,859
BR00092692,C05,894
BR00092692,C06,934
BR00092692,C07,797
BR00092692,C08,864
BR00092692,C09,941
BR00092692,C10,874
BR00092692,C11,913
BR00092692,C12,813
BR00092692,C13,806
BR00092692,C14,831
BR00092692,C15,783
BR00092692,C16,798
BR00092692,C17,856
BR00092692,C18,862
BR00092692,C19,819
BR00092692,C20,731
BR00092692,C21,861
BR00092692,C22,851
BR00092692,C23,704
BR00092692,C24,688
BR00092692,D01,744
BR00092692,D02,752
BR00092692,D03,927
BR00092692,D04,1013
BR00092692,D05,1129
BR00092692,D06,1055
BR00092692,D07,1119
BR00092692,D08,1020
BR00092692,D09,983
BR00092692,D10,986
BR00092692,D11,1001
BR00092692,D12,962
BR00092692,D13,966
BR00092692,D14,1070
BR00092692,D15,1050
BR00092692,D16,974
BR00092692,D17,1034
BR00092692,D18,1011
BR00092692,D19,1027
BR00092692,D20,1009
BR00092692,D21,1046
BR00092692,D22,776
BR00092692,D23,644
BR00092692,D24,757
BR00092692,E01,581
BR00092692,E02,811
BR00092692,E03,988
BR00092692,E04,1105
BR00092692,E05,1217
BR00092692,E06,1123
BR00092692,E07,1282
BR00092692,E08,1144
BR00092692,E09,1112
BR00092692,E10,1106
BR00092692,E11,1238
BR00092692,E12,1140
BR00092692,E13,1165
BR00092692,E14,1115
BR00092692,E15,1164
BR00092692,E16,987
BR00092692,E17,1115
BR00092692,E18,1107
BR00092692,E19,1202
BR00092692,E20,1140
BR00092692,E21,1129
BR00092692,E22,938
BR00092692,E23,792
BR00092692,E24,836
BR00092692,F01,595
BR00092692,F02,741
BR00092692,F03,929
BR00092692,F04,1045
BR00092692,F05,969
BR00092692,F06,1161
BR00092692,F07,1131
BR00092692,F08,1276
BR00092692,F09,1176
BR00092692,F10,1238
BR00092692,F11,1116
BR00092692,F12,1286
BR00092692,F13,1140
BR00092692,F14,1185
BR00092692,F15,1219
BR00092692,F16,1296
BR00092692,F17,1168
BR00092692,F18,1174
BR00092692,F19,999
BR00092692,F20,1068
BR00092692,F21,1031
BR00092692,F22,895
BR00092692,F23,849
BR00092692,F24,769
BR00092692,G01,744
BR00092692,G02,820
BR00092692,G03,979
BR00092692,G04,1170
BR00092692,G05,1193
BR00092692,G06,1280
BR00092692,G07,1210
BR00092692,G08,1323
BR00092692,G09,1361
BR00092692,G10,1294
BR00092692,G11,1292
BR00092692,G12,1218
BR00092692,G13,1287
BR00092692,G14,1152
BR00092692,G15,1189
BR00092692,G16,1257
BR00092692,G17,1229
BR00092692,G18,1206
BR00092692,G19,1089
BR00092692,G20,1128
BR00092692,G21,1129
BR00092692,G22,812
BR00092692,G23,735
BR00092692,G24,689
BR00092692,H01,732
BR00092692,H02,769
BR00092692,H03,1046
BR00092692,H04,960
BR00092692,H05,1285
BR00092692,H06,1259
BR00092692,H07,1281
BR00092692,H08,1229
BR00092692,H09,1251
BR00092692,H10,1296
BR00092692,H11,1189
BR00092692,H12,1257
BR00092692,H13,1243
BR00092692,H14,1163
BR00092692,H15,1262
BR00092692,H16,1084
BR00092692,H17,1235
BR00092692,H18,1280
BR00092692,H19,1219
BR00092692,H20,1162
BR00092692,H21,1089
BR00092692,H22,913
BR00092692,H23,777
BR00092692,H24,686
BR00092692,I01,618
BR00092692,I02,713
BR00092692,I03,987
BR00092692,I04,853
BR00092692,I05,1095
BR00092692,I06,1144
BR00092692,I07,1247
BR00092692,I08,1107
BR00092692,I09,1231
BR00092692,I10,1182
BR00092692,I11,1189
BR00092692,I12,1185
BR00092692,I13,1150
BR00092692,I14,1170
BR00092692,I15,1201
BR00092692,I16,1222
BR00092692,I17,1282
BR00092692,I18,1189
BR00092692,I19,1264
BR00092692,I20,1224
BR00092692,I21,1203
BR00092692,I22,211
BR00092692,I23,764
BR00092692,I24,688
BR00092692,J01,704
BR00092692,J02,798
BR00092692,J03,867
BR00092692,J04,51
BR00092692,J05,1201
BR00092692,J06,1279
BR00092692,J07,1
BR00092692,J08,1324
BR00092692,J09,1165
BR00092692,J10,1217
BR00092692,J11,1240
BR00092692,J12,1329
BR00092692,J13,1138
BR00092692,J14,1315
BR00092692,J15,1205
BR00092692,J16,1139
BR00092692,J17,871
BR00092692,J18,1175
BR00092692,J19,1243
BR00092692,J20,1207
BR00092692,J21,1143
BR00092692,J22,968
BR00092692,J23,737
BR00092692,J24,800
BR00092692,K01,766
BR00092692,K02,635
BR00092692,K03,1047
BR00092692,K04,1041
BR00092692,K05,1106
BR00092692,K06,1172
BR00092692,K07,1309
BR00092692,K08,1309
BR00092692,K09,1281
BR00092692,K10,1250
BR00092692,K11,1319
BR00092692,K12,1288
BR00092692,K13,1248
BR00092692,K14,1313
BR00092692,K15,1281
BR00092692,K16,1263
BR00092692,K17,1238
BR00092692,K18,1288
BR00092692,K19,1222
BR00092692,K20,1261
BR00092692,K21,1151
BR00092692,K22,956
BR00092692,K23,603
BR00092692,K24,675
BR00092692,L01,581
BR00092692,L02,776
BR00092692,L03,979
BR00092692,L04,467
BR00092692,L05,1151
BR00092692,L06,1197
BR00092692,L07,1309
BR00092692,L08,1192
BR00092692,L09,1136
BR00092692,L10,1253
BR00092692,L11,1161
BR00092692,L12,1243
BR00092692,L13,1162
BR00092692,L14,1273
BR00092692,L15,1129
BR00092692,L16,1223
BR00092692,L17,1232
BR00092692,L18,1206
BR00092692,L19,1273
BR00092692,L20,1217
BR00092692,L21,1106
BR00092692,L22,917
BR00092692,L23,738
BR00092692,L24,680
BR00092692,M01,711
BR00092692,M02,806
BR00092692,M03,1013
BR00092692,M04,1007
BR00092692,M05,1063
BR00092692,M06,1078
BR00092692,M07,983
BR00092692,M08,950
BR00092692,M09,1133
BR00092692,M10,999
BR00092692,M11,1206
BR00092692,M12,1085
BR00092692,M13,1074
BR00092692,M14,1053
BR00092692,M15,1131
BR00092692,M16,1134
BR00092692,M17,1076
BR00092692,M18,1020
BR00092692,M19,1069
BR00092692,M20,979
BR00092692,M21,1078
BR00092692,M22,782
BR00092692,M23,764
BR00092692,M24,619
BR00092692,N01,656
BR00092692,N02,655
BR00092692,N03,810
BR00092692,N04,944
BR00092692,N05,925
BR00092692,N06,899
BR00092692,N07,682
BR00092692,N08,915
BR00092692,N09,898
BR00092692,N10,852
BR00092692,N11,848
BR00092692,N12,866
BR00092692,N13,899
BR00092692,N14,843
BR00092692,N15,821
BR00092692,N16,898
BR00092692,N17,804
BR00092692,N18,911
BR00092692,N19,790
BR00092692,N20,892
BR00092692,N21,752
BR00092692,N22,650
BR00092692,N23,596
BR00092692,N24,613
BR00092692,O01,848
BR00092692,O02,691
BR00092692,O03,725
BR00092692,O04,797
BR00092692,O05,711
BR00092692,O06,703
BR00092692,O07,560
BR00092692,O08,683
BR00092692,O09,751
BR00092692,O10,802
BR00092692,O11,786
BR00092692,O12,658
BR00092692,O13,660
BR00092692,O14,705
BR00092692,O15,720
BR00092692,O16,679
BR00092692,O17,685
BR00092692,O18,705
BR00092692,O19,651
BR00092692,O20,596
BR00092692,O21,710
BR00092692,O22,654
BR00092692,O23,639
BR00092692,O24,728
BR00092692,P01,735
BR00092692,P02,614
BR00092692,P03,675
BR00092692,P04,616
BR00092692,P05,535
BR00092692,P06,603
BR00092692,P07,575
BR00092692,P08,565
BR00092692,P09,579
BR00092692,P10,631
BR00092692,P11,595
BR00092692,P12,537
BR00092692,P13,624
BR00092692,P14,552
BR00092692,P15,628
BR00092692,P16,256
BR00092692,P17,459
BR00092692,P18,555
BR00092692,P19,611
BR00092692,P20,493
BR00092692,P21,570
BR00092692,P22,507
BR00092692,P23,629
BR00092692,P24,433
