	Image_Metadata_Plate	Image_Metadata_Well	cell_count
0	SQ00015207	A01	2248
1	SQ00015207	A02	2062
2	SQ00015207	A03	2116
3	SQ00015207	A04	2235
4	SQ00015207	A05	2085
5	SQ00015207	A06	2122
6	SQ00015207	A07	1863
7	SQ00015207	A08	2276
8	SQ00015207	A09	2491
9	SQ00015207	A10	1884
10	SQ00015207	A11	2037
11	SQ00015207	A12	2183
12	SQ00015207	A13	1765
13	SQ00015207	A14	2381
14	SQ00015207	A15	2078
15	SQ00015207	A16	2031
16	SQ00015207	A17	2026
17	SQ00015207	A18	2170
18	SQ00015207	A19	920
19	SQ00015207	A20	1282
20	SQ00015207	A21	1651
21	SQ00015207	A22	1967
22	SQ00015207	A23	1580
23	SQ00015207	A24	1644
24	SQ00015207	B01	2398
25	SQ00015207	B02	2222
26	SQ00015207	B03	2386
27	SQ00015207	B04	2321
28	SQ00015207	B05	2224
29	SQ00015207	B06	2465
30	SQ00015207	B07	1062
31	SQ00015207	B08	1916
32	SQ00015207	B09	2173
33	SQ00015207	B10	2391
34	SQ00015207	B11	2397
35	SQ00015207	B12	2770
36	SQ00015207	B13	2343
37	SQ00015207	B14	2319
38	SQ00015207	B15	2306
39	SQ00015207	B16	2183
40	SQ00015207	B17	2266
41	SQ00015207	B18	2281
42	SQ00015207	B19	2118
43	SQ00015207	B20	2473
44	SQ00015207	B21	2266
45	SQ00015207	B22	2372
46	SQ00015207	B23	2017
47	SQ00015207	B24	1865
48	SQ00015207	C01	2682
49	SQ00015207	C02	2539
50	SQ00015207	C03	2367
51	SQ00015207	C04	2451
52	SQ00015207	C05	2175
53	SQ00015207	C06	2614
54	SQ00015207	C07	395
55	SQ00015207	C08	465
56	SQ00015207	C09	1197
57	SQ00015207	C10	1425
58	SQ00015207	C11	2457
59	SQ00015207	C12	2324
60	SQ00015207	C13	378
61	SQ00015207	C14	421
62	SQ00015207	C15	397
63	SQ00015207	C16	1107
64	SQ00015207	C17	2009
65	SQ00015207	C18	2279
66	SQ00015207	C19	73
67	SQ00015207	C20	97
68	SQ00015207	C21	63
69	SQ00015207	C22	69
70	SQ00015207	C23	79
71	SQ00015207	C24	66
72	SQ00015207	D01	2702
73	SQ00015207	D02	2569
74	SQ00015207	D03	2460
75	SQ00015207	D04	2638
76	SQ00015207	D05	2643
77	SQ00015207	D06	2673
78	SQ00015207	D07	251
79	SQ00015207	D08	342
80	SQ00015207	D09	393
81	SQ00015207	D10	454
82	SQ00015207	D11	527
83	SQ00015207	D12	827
84	SQ00015207	D13	2224
