Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015131,A01,2686
SQ00015131,A02,2241
SQ00015131,A03,2222
SQ00015131,A04,2130
SQ00015131,A05,2322
SQ00015131,A06,2148
SQ00015131,A07,2140
SQ00015131,A08,2072
SQ00015131,A09,2040
SQ00015131,A10,2102
SQ00015131,A11,2265
SQ00015131,A12,2201
SQ00015131,A13,2301
SQ00015131,A14,2558
SQ00015131,A15,2270
SQ00015131,A16,2183
SQ00015131,A17,2073
SQ00015131,A18,2145
SQ00015131,A19,765
SQ00015131,A20,872
SQ00015131,A21,1215
SQ00015131,A22,1118
SQ00015131,A23,1097
SQ00015131,A24,1064
SQ00015131,B01,2649
SQ00015131,B02,2818
SQ00015131,B03,2240
SQ00015131,B04,2351
SQ00015131,B05,1972
SQ00015131,B06,2628
SQ00015131,B07,2368
SQ00015131,B08,2239
SQ00015131,B09,2470
SQ00015131,B10,2458
SQ00015131,B11,2402
SQ00015131,B12,2289
SQ00015131,B13,532
SQ00015131,B14,1891
SQ00015131,B15,2364
SQ00015131,B16,2522
SQ00015131,B17,2389
SQ00015131,B18,2550
SQ00015131,B19,1561
SQ00015131,B20,1887
SQ00015131,B21,2132
SQ00015131,B22,2003
SQ00015131,B23,1877
SQ00015131,B24,2220
SQ00015131,C01,2237
SQ00015131,C02,2635
SQ00015131,C03,2387
SQ00015131,C04,2153
SQ00015131,C05,2464
SQ00015131,C06,2472
SQ00015131,C07,2226
SQ00015131,C08,1983
SQ00015131,C09,2483
SQ00015131,C10,2364
SQ00015131,C11,2078
SQ00015131,C12,2371
SQ00015131,C13,384
SQ00015131,C14,565
SQ00015131,C15,902
SQ00015131,C16,2102
SQ00015131,C17,1871
SQ00015131,C18,2165
SQ00015131,C19,107
SQ00015131,C20,93
SQ00015131,C21,90
SQ00015131,C22,105
SQ00015131,C23,91
SQ00015131,C24,90
SQ00015131,D01,591
SQ00015131,D02,1649
SQ00015131,D03,2245
SQ00015131,D04,2657
SQ00015131,D05,2512
SQ00015131,D06,2552
SQ00015131,D07,2133
SQ00015131,D08,1939
SQ00015131,D09,2468
SQ00015131,D10,2482
SQ00015131,D11,2204
SQ00015131,D12,2089
SQ00015131,D13,2116
SQ00015131,D14,2113
SQ00015131,D15,1965
SQ00015131,D16,2407
SQ00015131,D17,2345
SQ00015131,D18,2202
SQ00015131,D19,2102
SQ00015131,D20,2143
SQ00015131,D21,2108
SQ00015131,D22,2517
SQ00015131,D23,2252
SQ00015131,D24,2110
SQ00015131,E01,2459
SQ00015131,E02,2465
SQ00015131,E03,2596
SQ00015131,E04,2410
SQ00015131,E05,2418
SQ00015131,E06,2492
SQ00015131,E07,1749
SQ00015131,E08,2019
SQ00015131,E09,2362
SQ00015131,E10,2422
SQ00015131,E11,2152
SQ00015131,E12,2604
SQ00015131,E13,377
SQ00015131,E14,347
SQ00015131,E15,367
SQ00015131,E16,367
SQ00015131,E17,329
SQ00015131,E18,419
SQ00015131,E19,2447
SQ00015131,E20,2289
SQ00015131,E21,2649
SQ00015131,E22,2340
SQ00015131,E23,2272
SQ00015131,E24,2130
SQ00015131,F01,2365
SQ00015131,F02,2743
SQ00015131,F03,2649
SQ00015131,F04,2388
SQ00015131,F05,2128
SQ00015131,F06,2811
SQ00015131,F07,2600
SQ00015131,F08,2216
SQ00015131,F09,2655
SQ00015131,F10,2509
SQ00015131,F11,2343
SQ00015131,F12,2174
SQ00015131,F13,689
SQ00015131,F14,356
