Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015157,A01,1684
SQ00015157,A02,1897
SQ00015157,A03,1827
SQ00015157,A04,2059
SQ00015157,A05,1906
SQ00015157,A06,1862
SQ00015157,A07,1909
SQ00015157,A08,1634
SQ00015157,A09,2141
SQ00015157,A10,1808
SQ00015157,A11,1759
SQ00015157,A12,1697
SQ00015157,A13,1856
SQ00015157,A14,2009
SQ00015157,A15,1716
SQ00015157,A16,2087
SQ00015157,A17,1807
SQ00015157,A18,1892
SQ00015157,A19,425
SQ00015157,A20,827
SQ00015157,A21,1238
SQ00015157,A22,1606
SQ00015157,A23,1723
SQ00015157,A24,1658
SQ00015157,B01,1815
SQ00015157,B02,2418
SQ00015157,B03,2356
SQ00015157,B04,2502
SQ00015157,B05,2580
SQ00015157,B06,2537
SQ00015157,B07,1883
SQ00015157,B08,2454
SQ00015157,B09,2618
SQ00015157,B10,2698
SQ00015157,B11,2210
SQ00015157,B12,2989
SQ00015157,B13,2297
SQ00015157,B14,2041
SQ00015157,B15,2664
SQ00015157,B16,2509
SQ00015157,B17,2450
SQ00015157,B18,2691
SQ00015157,B19,2471
SQ00015157,B20,2756
SQ00015157,B21,2434
SQ00015157,B22,2245
SQ00015157,B23,2246
SQ00015157,B24,1920
SQ00015157,C01,1813
SQ00015157,C02,2730
SQ00015157,C03,2287
SQ00015157,C04,2448
SQ00015157,C05,2697
SQ00015157,C06,2843
SQ00015157,C07,2470
SQ00015157,C08,2891
SQ00015157,C09,2654
SQ00015157,C10,2735
SQ00015157,C11,2736
SQ00015157,C12,2827
SQ00015157,C13,2563
SQ00015157,C14,2832
SQ00015157,C15,2802
SQ00015157,C16,2901
SQ00015157,C17,2534
SQ00015157,C18,2923
SQ00015157,C19,78
SQ00015157,C20,70
SQ00015157,C21,50
SQ00015157,C22,50
SQ00015157,C23,55
SQ00015157,C24,55
SQ00015157,D01,1612
SQ00015157,D02,2395
SQ00015157,D03,2726
SQ00015157,D04,2898
SQ00015157,D05,3056
SQ00015157,D06,2810
SQ00015157,D07,1144
SQ00015157,D08,2566
SQ00015157,D09,2856
SQ00015157,D10,2574
SQ00015157,D11,3032
SQ00015157,D12,3088
SQ00015157,D13,2427
SQ00015157,D14,3075
SQ00015157,D15,2821
SQ00015157,D16,2747
SQ00015157,D17,2772
SQ00015157,D18,2982
SQ00015157,D19,284
SQ00015157,D20,1908
SQ00015157,D21,2735
SQ00015157,D22,2681
SQ00015157,D23,2353
SQ00015157,D24,1961
SQ00015157,E01,2308
SQ00015157,E02,2667
SQ00015157,E03,2997
SQ00015157,E04,3241
SQ00015157,E05,3329
SQ00015157,E06,2636
SQ00015157,E07,3403
SQ00015157,E08,2882
SQ00015157,E09,3005
SQ00015157,E10,3281
SQ00015157,E11,2833
SQ00015157,E12,3031
SQ00015157,E13,274
SQ00015157,E14,461
SQ00015157,E15,628
SQ00015157,E16,852
SQ00015157,E17,2036
SQ00015157,E18,2867
SQ00015157,E19,3004
SQ00015157,E20,3209
SQ00015157,E21,3212
SQ00015157,E22,3062
SQ00015157,E23,2888
SQ00015157,E24,2342
SQ00015157,F01,1722
SQ00015157,F02,2244
SQ00015157,F03,2644
SQ00015157,F04,2687
SQ00015157,F05,2620
SQ00015157,F06,3056
SQ00015157,F07,2975
SQ00015157,F08,3346
SQ00015157,F09,2970
SQ00015157,F10,3062
SQ00015157,F11,2934
SQ00015157,F12,3173
SQ00015157,F13,1616
SQ00015157,F14,2709
SQ00015157,F15,2820
SQ00015157,F16,2871
SQ00015157,F17,3078
SQ00015157,F18,3069
SQ00015157,F19,2628
SQ00015157,F20,3151
SQ00015157,F21,2974
SQ00015157,F22,2980
SQ00015157,F23,2473
SQ00015157,F24,2313
SQ00015157,G01,2038
SQ00015157,G02,2573
SQ00015157,G03,2907
SQ00015157,G04,2946
SQ00015157,G05,3042
SQ00015157,G06,3084
SQ00015157,G07,3134
SQ00015157,G08,3063
SQ00015157,G09,3000
SQ00015157,G10,3050
SQ00015157,G11,3202
SQ00015157,G12,2761
SQ00015157,G13,70
SQ00015157,G14,67
SQ00015157,G15,67
SQ00015157,G16,116
SQ00015157,G17,70
SQ00015157,G18,65
SQ00015157,G19,2429
SQ00015157,G20,2697
SQ00015157,G21,2541
SQ00015157,G22,2958
SQ00015157,G23,2849
SQ00015157,G24,2354
SQ00015157,H01,2014
SQ00015157,H02,2352
SQ00015157,H03,2909
SQ00015157,H04,2769
SQ00015157,H05,2655
SQ00015157,H06,3248
SQ00015157,H07,2727
SQ00015157,H08,2835
SQ00015157,H09,2704
SQ00015157,H10,2737
SQ00015157,H11,2852
SQ00015157,H12,2917
SQ00015157,H13,85
SQ00015157,H14,64
SQ00015157,H15,65
SQ00015157,H16,981
SQ00015157,H17,2451
SQ00015157,H18,2394
SQ00015157,H19,2577
