Assay_Plate_Barcode,Plate_Map_Name
BR00092655,LKCP001_A549_6H
BR00092656,LKCP001_A549_6H
BR00092657,LKCP001_A549_6H
BR00092658,LKCP001_A549_6H
BR00092659,LKCP001_A549_6H
BR00092660,LKCP002_A549_6H
BR00092661,LKCP002_A549_6H
BR00092662,LKCP002_A549_6H
BR00092663,LKCP002_A549_6H
BR00092664,LKCP002_A549_6H
BR00092665,ASG003_A549_6H
BR00092666,ASG003_A549_6H
BR00092667,ASG003_A549_6H
BR00092668,ASG003_A549_6H
BR00092669,ASG003_A549_6H
BR00092670,LKCP001_MCF7_6H
BR00092671,LKCP001_MCF7_6H
BR00092672,LKCP001_MCF7_6H
BR00092673,LKCP001_MCF7_6H
BR00092674,LKCP001_MCF7_6H
BR00092675,LKCP002_MCF7_6H
BR00092676,LKCP002_MCF7_6H
BR00092677,LKCP002_MCF7_6H
BR00092678,LKCP002_MCF7_6H
BR00092679,LKCP002_MCF7_6H
BR00092680,ASG003_MCF7_6H
BR00092681,ASG003_MCF7_6H
BR00092682,ASG003_MCF7_6H
BR00092683,ASG003_MCF7_6H
BR00092684,ASG003_MCF7_6H
BR00092685,LKCP001_U2OS_6H
BR00092686,LKCP001_U2OS_6H
BR00092687,LKCP001_U2OS_6H
BR00092688,LKCP001_U2OS_6H
BR00092689,LKCP001_U2OS_6H
BR00092690,LKCP002_U2OS_6H
BR00092691,LKCP002_U2OS_6H
BR00092692,LKCP002_U2OS_6H
BR00092693,LKCP002_U2OS_6H
BR00092694,LKCP002_U2OS_6H
BR00092695,ASG003_U2OS_6H
BR00092696,ASG003_U2OS_6H
BR00092697,ASG003_U2OS_6H
BR00092698,ASG003_U2OS_6H
BR00092699,ASG003_U2OS_6H
BR00092700,LKCP001_A549_24H
BR00092701,LKCP001_A549_24H
BR00092702,LKCP001_A549_24H
BR00092703,LKCP001_A549_24H
BR00092704,LKCP001_A549_24H
BR00092705,LKCP002_A549_24H
BR00092706,LKCP002_A549_24H
BR00092707,LKCP002_A549_24H
BR00092708,LKCP002_A549_24H
BR00092709,LKCP002_A549_24H
BR00092710,ASG003_A549_24H
BR00092711,ASG003_A549_24H
BR00092712,ASG003_A549_24H
BR00092713,ASG003_A549_24H
BR00092714,ASG003_A549_24H
BR00092715,LKCP001_MCF7_24H
BR00092716,LKCP001_MCF7_24H
BR00092717,LKCP001_MCF7_24H
BR00092718,LKCP001_MCF7_24H
BR00092719,LKCP001_MCF7_24H
BR00092720,LKCP002_MCF7_24H
BR00092721,LKCP002_MCF7_24H
BR00092722,LKCP002_MCF7_24H
BR00092723,LKCP002_MCF7_24H
BR00092724,LKCP002_MCF7_24H
BR00092725,ASG003_MCF7_24H
BR00092726,ASG003_MCF7_24H
BR00092727,ASG003_MCF7_24H
BR00092728,ASG003_MCF7_24H
BR00092729,ASG003_MCF7_24H
BR00092730,LKCP001_U2OS_24H
BR00092731,LKCP001_U2OS_24H
BR00092732,LKCP001_U2OS_24H
BR00092733,LKCP001_U2OS_24H
BR00092734,LKCP001_U2OS_24H
BR00092735,LKCP002_U2OS_24H
BR00092736,LKCP002_U2OS_24H
BR00092737,LKCP002_U2OS_24H
BR00092738,LKCP002_U2OS_24H
BR00092739,LKCP002_U2OS_24H
BR00092740,ASG003_U2OS_24H
BR00092741,ASG003_U2OS_24H
BR00092742,ASG003_U2OS_24H
BR00092743,ASG003_U2OS_24H
BR00092744,ASG003_U2OS_24H
BR00092745,LKCP001_A549_48H
BR00092746,LKCP001_A549_48H
BR00092747,LKCP001_A549_48H
BR00092748,LKCP001_A549_48H
BR00092749,LKCP001_A549_48H
BR00092750,LKCP002_A549_48H
BR00092751,LKCP002_A549_48H
BR00092752,LKCP002_A549_48H
BR00092753,LKCP002_A549_48H
BR00092754,LKCP002_A549_48H
BR00092755,ASG003_A549_48H
BR00092756,ASG003_A549_48H
BR00092757,ASG003_A549_48H
BR00092758,ASG003_A549_48H
BR00092759,ASG003_A549_48H
BR00092760,LKCP001_MCF7_48H
BR00092761,LKCP001_MCF7_48H
BR00092762,LKCP001_MCF7_48H
BR00092763,LKCP001_MCF7_48H
BR00092764,LKCP001_MCF7_48H
BR00092765,LKCP002_MCF7_48H
BR00092766,LKCP002_MCF7_48H
BR00092767,LKCP002_MCF7_48H
BR00092768,LKCP002_MCF7_48H
BR00092769,LKCP002_MCF7_48H
BR00092770,ASG003_MCF7_48H
BR00092771,ASG003_MCF7_48H
BR00092772,ASG003_MCF7_48H
BR00092773,ASG003_MCF7_48H
BR00092774,ASG003_MCF7_48H
BR00092775,LKCP001_U2OS_48H
BR00092776,LKCP001_U2OS_48H
BR00092777,LKCP001_U2OS_48H
BR00092778,LKCP001_U2OS_48H
BR00092779,LKCP001_U2OS_48H
BR00092780,LKCP002_U2OS_48H
BR00092781,LKCP002_U2OS_48H
BR00092782,LKCP002_U2OS_48H
BR00092783,LKCP002_U2OS_48H
BR00092784,LKCP002_U2OS_48H
BR00092785,ASG003_U2OS_48H
BR00092786,ASG003_U2OS_48H
BR00092787,ASG003_U2OS_48H
BR00092788,ASG003_U2OS_48H
BR00092789,ASG003_U2OS_48H
