Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015216,A01,1610
SQ00015216,A02,1366
SQ00015216,A03,1429
SQ00015216,A04,1426
SQ00015216,A05,1552
SQ00015216,A06,1788
SQ00015216,A07,1345
SQ00015216,A08,1159
SQ00015216,A09,1614
SQ00015216,A10,1495
SQ00015216,A11,1521
SQ00015216,A12,1346
SQ00015216,A13,980
SQ00015216,A14,1660
SQ00015216,A15,1224
SQ00015216,A16,1235
SQ00015216,A17,1038
SQ00015216,A18,1393
SQ00015216,A19,428
SQ00015216,A20,1158
SQ00015216,A21,1053
SQ00015216,A22,1361
SQ00015216,A23,1549
SQ00015216,A24,1416
SQ00015216,B01,1350
SQ00015216,B02,1708
SQ00015216,B03,1511
SQ00015216,B04,1706
SQ00015216,B05,1590
SQ00015216,B06,1798
SQ00015216,B07,1549
SQ00015216,B08,1419
SQ00015216,B09,1523
SQ00015216,B10,1314
SQ00015216,B11,1235
SQ00015216,B12,1846
SQ00015216,B13,1739
SQ00015216,B14,1605
SQ00015216,B15,1431
SQ00015216,B16,1627
SQ00015216,B17,1544
SQ00015216,B18,1467
SQ00015216,B19,1415
SQ00015216,B20,1678
SQ00015216,B21,1269
SQ00015216,B22,1395
SQ00015216,B23,1269
SQ00015216,B24,1396
SQ00015216,C01,1246
SQ00015216,C02,1514
SQ00015216,C03,2032
SQ00015216,C04,1838
SQ00015216,C05,1510
SQ00015216,C06,1960
SQ00015216,C07,1487
SQ00015216,C08,1870
SQ00015216,C09,1572
SQ00015216,C10,1865
SQ00015216,C11,1681
SQ00015216,C12,1456
SQ00015216,C13,1573
SQ00015216,C14,1718
SQ00015216,C15,1727
SQ00015216,C16,1574
SQ00015216,C17,1636
SQ00015216,C18,1784
SQ00015216,C19,60
SQ00015216,C20,63
SQ00015216,C21,58
SQ00015216,C22,82
SQ00015216,C23,70
SQ00015216,C24,44
SQ00015216,D01,1822
SQ00015216,D02,1512
SQ00015216,D03,1848
SQ00015216,D04,2047
SQ00015216,D05,1714
SQ00015216,D06,1804
SQ00015216,D07,1667
SQ00015216,D08,2102
SQ00015216,D09,1833
SQ00015216,D10,1773
SQ00015216,D11,2213
SQ00015216,D12,1916
SQ00015216,D13,28
SQ00015216,D14,410
SQ00015216,D15,512
SQ00015216,D16,831
SQ00015216,D17,1164
SQ00015216,D18,1403
SQ00015216,D19,135
SQ00015216,D20,265
SQ00015216,D21,788
SQ00015216,D22,1043
SQ00015216,D23,1339
SQ00015216,D24,1401
SQ00015216,E01,469
SQ00015216,E02,1341
SQ00015216,E03,1633
SQ00015216,E04,2106
SQ00015216,E05,1844
SQ00015216,E06,1812
SQ00015216,E07,1841
SQ00015216,E08,2114
SQ00015216,E09,2178
SQ00015216,E10,1977
SQ00015216,E11,2078
SQ00015216,E12,2111
SQ00015216,E13,1700
SQ00015216,E14,1951
SQ00015216,E15,2042
SQ00015216,E16,2158
SQ00015216,E17,2040
SQ00015216,E18,2045
SQ00015216,E19,562
SQ00015216,E20,739
SQ00015216,E21,823
SQ00015216,E22,1913
SQ00015216,E23,1341
SQ00015216,E24,1044
SQ00015216,F01,964
SQ00015216,F02,1433
SQ00015216,F03,1672
SQ00015216,F04,1984
SQ00015216,F05,2081
SQ00015216,F06,1982
SQ00015216,F07,2295
SQ00015216,F08,2069
SQ00015216,F09,2122
SQ00015216,F10,2196
SQ00015216,F11,1920
SQ00015216,F12,2038
SQ00015216,F13,1949
SQ00015216,F14,1908
SQ00015216,F15,2003
SQ00015216,F16,2076
SQ00015216,F17,2108
SQ00015216,F18,2062
SQ00015216,F19,2013
SQ00015216,F20,2213
SQ00015216,F21,2135
SQ00015216,F22,2066
SQ00015216,F23,1639
SQ00015216,F24,1387
SQ00015216,G01,1209
SQ00015216,G02,1481
SQ00015216,G03,1221
SQ00015216,G04,1738
SQ00015216,G05,1873
SQ00015216,G06,1540
SQ00015216,G07,884
SQ00015216,G08,1068
SQ00015216,G09,1845
SQ00015216,G10,1844
SQ00015216,G11,1673
SQ00015216,G12,2062
SQ00015216,G13,57
SQ00015216,G14,77
SQ00015216,G15,117
SQ00015216,G16,94
SQ00015216,G17,90
SQ00015216,G18,75
SQ00015216,G19,2037
SQ00015216,G20,1987
SQ00015216,G21,1940
SQ00015216,G22,1745
SQ00015216,G23,1389
SQ00015216,G24,1453
