Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015208,A01,2163
SQ00015208,A02,1980
SQ00015208,A03,1987
SQ00015208,A04,1966
SQ00015208,A05,2058
SQ00015208,A06,2010
SQ00015208,A07,2245
SQ00015208,A08,2558
SQ00015208,A09,2444
SQ00015208,A10,2466
SQ00015208,A11,2467
SQ00015208,A12,2039
SQ00015208,A13,1990
SQ00015208,A14,2250
SQ00015208,A15,2219
SQ00015208,A16,2042
SQ00015208,A17,1948
SQ00015208,A18,2047
SQ00015208,A19,1713
SQ00015208,A20,1889
SQ00015208,A21,1947
SQ00015208,A22,1978
SQ00015208,A23,1587
SQ00015208,A24,2006
SQ00015208,B01,2179
SQ00015208,B02,2299
SQ00015208,B03,2197
SQ00015208,B04,2089
SQ00015208,B05,2262
SQ00015208,B06,2330
SQ00015208,B07,2272
SQ00015208,B08,2080
SQ00015208,B09,2094
SQ00015208,B10,2235
SQ00015208,B11,2043
SQ00015208,B12,2237
SQ00015208,B13,2601
SQ00015208,B14,2285
SQ00015208,B15,2336
SQ00015208,B16,2296
SQ00015208,B17,2373
SQ00015208,B18,2044
SQ00015208,B19,2372
SQ00015208,B20,2263
SQ00015208,B21,2326
SQ00015208,B22,1821
SQ00015208,B23,2261
SQ00015208,B24,2115
SQ00015208,C01,2374
SQ00015208,C02,3135
SQ00015208,C03,3064
SQ00015208,C04,3074
SQ00015208,C05,2674
SQ00015208,C06,2854
SQ00015208,C07,2276
SQ00015208,C08,2549
SQ00015208,C09,2348
SQ00015208,C10,2239
SQ00015208,C11,2415
SQ00015208,C12,2596
SQ00015208,C13,324
SQ00015208,C14,356
SQ00015208,C15,641
SQ00015208,C16,2011
SQ00015208,C17,2209
SQ00015208,C18,2296
SQ00015208,C19,72
SQ00015208,C20,104
SQ00015208,C21,118
SQ00015208,C22,136
SQ00015208,C23,82
SQ00015208,C24,89
SQ00015208,D01,2733
SQ00015208,D02,2670
SQ00015208,D03,2585
SQ00015208,D04,2619
SQ00015208,D05,2419
SQ00015208,D06,2385
SQ00015208,D07,1939
SQ00015208,D08,2187
SQ00015208,D09,2265
SQ00015208,D10,2476
SQ00015208,D11,2165
SQ00015208,D12,2446
SQ00015208,D13,2113
SQ00015208,D14,2296
SQ00015208,D15,2626
SQ00015208,D16,2221
SQ00015208,D17,2410
SQ00015208,D18,2501
SQ00015208,D19,2070
SQ00015208,D20,2496
SQ00015208,D21,2327
SQ00015208,D22,2392
SQ00015208,D23,2158
SQ00015208,D24,2054
SQ00015208,E01,2009
SQ00015208,E02,2585
SQ00015208,E03,2778
SQ00015208,E04,2627
SQ00015208,E05,2991
SQ00015208,E06,2565
SQ00015208,E07,1020
SQ00015208,E08,1024
SQ00015208,E09,1194
SQ00015208,E10,1170
SQ00015208,E11,1003
SQ00015208,E12,1122
SQ00015208,E13,2366
SQ00015208,E14,2553
SQ00015208,E15,2516
SQ00015208,E16,2194
SQ00015208,E17,2451
SQ00015208,E18,2489
SQ00015208,E19,2208
SQ00015208,E20,2057
SQ00015208,E21,2232
SQ00015208,E22,1761
SQ00015208,E23,2158
SQ00015208,E24,1973
SQ00015208,F01,2787
SQ00015208,F02,2528
SQ00015208,F03,2369
SQ00015208,F04,2676
SQ00015208,F05,2780
SQ00015208,F06,2468
