Metadata_Plate,Metadata_Well,cell_count
BR00092781,A01,957
BR00092781,A02,797
BR00092781,A03,1150
BR00092781,A04,871
BR00092781,A05,823
BR00092781,A06,960
BR00092781,A07,379
BR00092781,A08,443
BR00092781,A09,516
BR00092781,A10,553
BR00092781,A11,727
BR00092781,A12,889
BR00092781,A13,801
BR00092781,A14,1016
BR00092781,A15,881
BR00092781,A16,992
BR00092781,A17,911
BR00092781,A18,1007
BR00092781,A19,942
BR00092781,A20,1183
BR00092781,A21,827
BR00092781,A22,6
BR00092781,A23,19
BR00092781,A24,27
BR00092781,B01,1062
BR00092781,B02,902
BR00092781,B03,994
BR00092781,B04,975
BR00092781,B05,926
BR00092781,B06,1073
BR00092781,B07,545
BR00092781,B08,616
BR00092781,B09,894
BR00092781,B10,436
BR00092781,B11,793
BR00092781,B12,900
BR00092781,B13,374
BR00092781,B14,536
BR00092781,B15,907
BR00092781,B16,1010
BR00092781,B17,1030
BR00092781,B18,962
BR00092781,B19,862
BR00092781,B20,981
BR00092781,B21,992
BR00092781,B22,1071
BR00092781,B23,917
BR00092781,B24,983
BR00092781,C01,1074
BR00092781,C02,1117
BR00092781,C03,1111
BR00092781,C04,1048
BR00092781,C05,1045
BR00092781,C06,1143
BR00092781,C07,812
BR00092781,C08,782
BR00092781,C09,1008
BR00092781,C10,972
BR00092781,C11,963
BR00092781,C12,1069
BR00092781,C13,1144
BR00092781,C14,1086
BR00092781,C15,951
BR00092781,C16,938
BR00092781,C17,1226
BR00092781,C18,1174
BR00092781,C19,163
BR00092781,C20,208
BR00092781,C21,264
BR00092781,C22,1028
BR00092781,C23,852
BR00092781,C24,1152
BR00092781,D01,886
BR00092781,D02,976
BR00092781,D03,1236
BR00092781,D04,1192
BR00092781,D05,1106
BR00092781,D06,1292
BR00092781,D07,1406
BR00092781,D08,1214
BR00092781,D09,1319
BR00092781,D10,1250
BR00092781,D11,1332
BR00092781,D12,1421
BR00092781,D13,1170
BR00092781,D14,1222
BR00092781,D15,1278
BR00092781,D16,1306
BR00092781,D17,1097
BR00092781,D18,1188
BR00092781,D19,1282
BR00092781,D20,1222
BR00092781,D21,1031
BR00092781,D22,179
BR00092781,D23,967
BR00092781,D24,989
BR00092781,E01,712
BR00092781,E02,929
BR00092781,E03,1246
BR00092781,E04,881
BR00092781,E05,980
BR00092781,E06,991
BR00092781,E07,1448
BR00092781,E08,1354
BR00092781,E09,1538
BR00092781,E10,1149
BR00092781,E11,1553
BR00092781,E12,1423
BR00092781,E13,1127
BR00092781,E14,1321
BR00092781,E15,1410
BR00092781,E16,234
BR00092781,E17,505
BR00092781,E18,1073
BR00092781,E19,1241
BR00092781,E20,1263
BR00092781,E21,1216
BR00092781,E22,1226
BR00092781,E23,1114
BR00092781,E24,864
BR00092781,F01,679
BR00092781,F02,1027
BR00092781,F03,1034
BR00092781,F04,243
BR00092781,F05,408
BR00092781,F06,1238
BR00092781,F07,1525
BR00092781,F08,1502
BR00092781,F09,1475
BR00092781,F10,1289
BR00092781,F11,1409
BR00092781,F12,1661
BR00092781,F13,897
BR00092781,F14,1477
BR00092781,F15,1355
BR00092781,F16,1512
BR00092781,F17,1547
BR00092781,F18,1419
BR00092781,F19,275
BR00092781,F20,1012
BR00092781,F21,1185
BR00092781,F22,1177
BR00092781,F23,1056
BR00092781,F24,872
BR00092781,G01,854
BR00092781,G02,940
BR00092781,G03,1144
BR00092781,G04,1328
BR00092781,G05,1613
BR00092781,G06,1498
BR00092781,G07,86
BR00092781,G08,641
BR00092781,G09,1266
BR00092781,G10,1556
BR00092781,G11,1509
BR00092781,G12,1736
BR00092781,G13,1450
BR00092781,G14,1572
BR00092781,G15,1687
BR00092781,G16,1505
BR00092781,G17,1530
BR00092781,G18,1536
BR00092781,G19,736
BR00092781,G20,1265
BR00092781,G21,1437
BR00092781,G22,308
BR00092781,G23,759
BR00092781,G24,822
BR00092781,H01,837
BR00092781,H02,944
BR00092781,H03,1110
BR00092781,H04,769
BR00092781,H05,1371
BR00092781,H06,1490
BR00092781,H07,220
BR00092781,H08,1485
BR00092781,H09,1661
BR00092781,H10,1790
BR00092781,H11,1537
BR00092781,H12,1551
BR00092781,H13,1655
BR00092781,H14,1639
BR00092781,H15,1448
BR00092781,H16,1124
BR00092781,H17,1470
BR00092781,H18,1435
BR00092781,H19,1374
BR00092781,H20,1436
BR00092781,H21,1265
BR00092781,H22,1066
BR00092781,H23,1014
BR00092781,H24,919
BR00092781,I01,657
BR00092781,I02,1083
BR00092781,I03,1203
BR00092781,I04,71
BR00092781,I05,336
BR00092781,I06,1134
BR00092781,I07,1464
BR00092781,I08,1629
BR00092781,I09,1522
BR00092781,I10,519
BR00092781,I11,547
BR00092781,I12,1304
BR00092781,I13,494
BR00092781,I14,1339
BR00092781,I15,1630
BR00092781,I16,1449
BR00092781,I17,1446
BR00092781,I18,1473
BR00092781,I19,922
BR00092781,I20,1325
BR00092781,I21,1496
BR00092781,I22,40
BR00092781,I23,162
BR00092781,I24,386
BR00092781,J01,610
BR00092781,J02,1043
BR00092781,J03,1244
BR00092781,J04,1
BR00092781,J05,1447
BR00092781,J06,1603
BR00092781,J07,1
BR00092781,J08,1393
BR00092781,J09,1496
BR00092781,J10,566
BR00092781,J11,1504
BR00092781,J12,1574
BR00092781,J13,132
BR00092781,J14,1361
BR00092781,J15,1430
BR00092781,J16,453
BR00092781,J17,519
BR00092781,J18,1339
BR00092781,J19,573
BR00092781,J20,1116
BR00092781,J21,1115
BR00092781,J22,1018
BR00092781,J23,993
BR00092781,J24,932
BR00092781,K01,943
BR00092781,K02,959
BR00092781,K03,1182
BR00092781,K04,228
BR00092781,K05,383
BR00092781,K06,486
