	Image_Metadata_Plate	Image_Metadata_Well	cell_count
0	SQ00015163	A01	1660
1	SQ00015163	A02	1959
2	SQ00015163	A03	1901
3	SQ00015163	A04	2028
4	SQ00015163	A05	1798
5	SQ00015163	A06	2246
6	SQ00015163	A07	421
7	SQ00015163	A08	513
8	SQ00015163	A09	617
9	SQ00015163	A10	706
10	SQ00015163	A11	2103
11	SQ00015163	A12	1991
12	SQ00015163	A13	1645
13	SQ00015163	A14	2079
14	SQ00015163	A15	2303
15	SQ00015163	A16	2492
16	SQ00015163	A17	2704
17	SQ00015163	A18	2461
18	SQ00015163	A19	1683
19	SQ00015163	A20	2518
20	SQ00015163	A21	2309
21	SQ00015163	A22	2724
22	SQ00015163	A23	1732
23	SQ00015163	A24	1989
24	SQ00015163	B01	1993
25	SQ00015163	B02	2090
26	SQ00015163	B03	2280
27	SQ00015163	B04	2316
28	SQ00015163	B05	2545
29	SQ00015163	B06	2717
30	SQ00015163	B07	2561
31	SQ00015163	B08	2731
32	SQ00015163	B09	2498
33	SQ00015163	B10	2818
34	SQ00015163	B11	2754
35	SQ00015163	B12	2594
36	SQ00015163	B13	2928
37	SQ00015163	B14	2740
38	SQ00015163	B15	2710
39	SQ00015163	B16	2427
40	SQ00015163	B17	2304
41	SQ00015163	B18	2499
42	SQ00015163	B19	2678
43	SQ00015163	B20	2612
44	SQ00015163	B21	2159
45	SQ00015163	B22	2362
46	SQ00015163	B23	2241
47	SQ00015163	B24	2082
48	SQ00015163	C01	1724
49	SQ00015163	C02	2006
50	SQ00015163	C03	2058
51	SQ00015163	C04	2896
52	SQ00015163	C05	2472
53	SQ00015163	C06	2674
54	SQ00015163	C07	2829
55	SQ00015163	C08	2545
56	SQ00015163	C09	2816
57	SQ00015163	C10	2724
58	SQ00015163	C11	3144
59	SQ00015163	C12	2560
60	SQ00015163	C13	354
61	SQ00015163	C14	651
62	SQ00015163	C15	2836
63	SQ00015163	C16	2614
64	SQ00015163	C17	2564
65	SQ00015163	C18	2573
66	SQ00015163	C19	56
67	SQ00015163	C20	64
68	SQ00015163	C21	67
69	SQ00015163	C22	61
70	SQ00015163	C23	45
71	SQ00015163	C24	46
72	SQ00015163	D01	1862
73	SQ00015163	D02	2424
74	SQ00015163	D03	2566
75	SQ00015163	D04	2671
76	SQ00015163	D05	3334
77	SQ00015163	D06	2956
78	SQ00015163	D07	1081
79	SQ00015163	D08	2968
80	SQ00015163	D09	2208
81	SQ00015163	D10	2747
82	SQ00015163	D11	2627
83	SQ00015163	D12	2493
84	SQ00015163	D13	2548
85	SQ00015163	D14	2901
86	SQ00015163	D15	2788
87	SQ00015163	D16	2906
88	SQ00015163	D17	2509
89	SQ00015163	D18	2626
90	SQ00015163	D19	2702
91	SQ00015163	D20	3013
92	SQ00015163	D21	2640
93	SQ00015163	D22	2814
94	SQ00015163	D23	2595
95	SQ00015163	D24	2011
96	SQ00015163	E01	182
97	SQ00015163	E02	1178
98	SQ00015163	E03	1900
99	SQ00015163	E04	2581
100	SQ00015163	E05	3250
101	SQ00015163	E06	3304
102	SQ00015163	E07	2880
103	SQ00015163	E08	2925
104	SQ00015163	E09	3059
105	SQ00015163	E10	2585
106	SQ00015163	E11	2485
107	SQ00015163	E12	2931
108	SQ00015163	E13	2370
109	SQ00015163	E14	2970
110	SQ00015163	E15	2716
111	SQ00015163	E16	2957
112	SQ00015163	E17	2677
113	SQ00015163	E18	2554
114	SQ00015163	E19	1399
115	SQ00015163	E20	1826
116	SQ00015163	E21	1830
117	SQ00015163	E22	1851
118	SQ00015163	E23	1412
119	SQ00015163	E24	1284
120	SQ00015163	F01	2012
121	SQ00015163	F02	2610
122	SQ00015163	F03	2543
123	SQ00015163	F04	3069
124	SQ00015163	F05	3009
125	SQ00015163	F06	2979
126	SQ00015163	F07	2880
127	SQ00015163	F08	2967
128	SQ00015163	F09	2875
129	SQ00015163	F10	2592
130	SQ00015163	F11	2679
131	SQ00015163	F12	2827
132	SQ00015163	F13	2666
133	SQ00015163	F14	2852
134	SQ00015163	F15	2760
135	SQ00015163	F16	2816
136	SQ00015163	F17	2655
137	SQ00015163	F18	2758
138	SQ00015163	F19	2492
139	SQ00015163	F20	2720
140	SQ00015163	F21	2684
141	SQ00015163	F22	1712
142	SQ00015163	F23	2654
143	SQ00015163	F24	2225
144	SQ00015163	G01	1868
145	SQ00015163	G02	2706
146	SQ00015163	G03	3003
147	SQ00015163	G04	2886
148	SQ00015163	G05	2850
149	SQ00015163	G06	3158
150	SQ00015163	G07	2856
151	SQ00015163	G08	2891
152	SQ00015163	G09	2621
153	SQ00015163	G10	2891
154	SQ00015163	G11	2580
155	SQ00015163	G12	2969
156	SQ00015163	G13	62
157	SQ00015163	G14	87
158	SQ00015163	G15	65
159	SQ00015163	G16	81
160	SQ00015163	G17	74
161	SQ00015163	G18	90
162	SQ00015163	G19	103
163	SQ00015163	G20	236
164	SQ00015163	G21	389
165	SQ00015163	G22	390
166	SQ00015163	G23	411
167	SQ00015163	G24	539
168	SQ00015163	H01	673
169	SQ00015163	H02	1766
170	SQ00015163	H03	3053
171	SQ00015163	H04	3050
172	SQ00015163	H05	2627
173	SQ00015163	H06	2754
174	SQ00015163	H07	521
175	SQ00015163	H08	1135
176	SQ00015163	H09	1901
177	SQ00015163	H10	2770
178	SQ00015163	H11	2479
179	SQ00015163	H12	2951
180	SQ00015163	H13	2563
181	SQ00015163	H14	2745
182	SQ00015163	H15	2723
183	SQ00015163	H16	2810
184	SQ00015163	H17	2425
185	SQ00015163	H18	2547
186	SQ00015163	H19	2607
187	SQ00015163	H20	2545
188	SQ00015163	H21	2911
189	SQ00015163	H22	2774
190	SQ00015163	H23	2485
191	SQ00015163	H24	2256
192	SQ00015163	I01	1681
193	SQ00015163	I02	2319
194	SQ00015163	I03	2877
195	SQ00015163	I04	2875
