Metadata_Plate,Metadata_Well,cell_count
BR00092750,A01,1414
BR00092750,A02,1302
BR00092750,A03,1433
BR00092750,A04,1282
BR00092750,A05,1135
BR00092750,A06,1471
BR00092750,A07,522
BR00092750,A08,439
BR00092750,A09,511
BR00092750,A10,359
BR00092750,A11,1463
BR00092750,A12,1298
BR00092750,A13,1442
BR00092750,A14,1286
BR00092750,A15,1314
BR00092750,A16,1448
BR00092750,A17,1275
BR00092750,A18,1480
BR00092750,A19,1093
BR00092750,A20,1103
BR00092750,A21,1070
BR00092750,A22,11
BR00092750,A23,93
BR00092750,A24,118
BR00092750,B01,1353
BR00092750,B02,1320
BR00092750,B03,1761
BR00092750,B04,1533
BR00092750,B05,1231
BR00092750,B06,1574
BR00092750,B07,987
BR00092750,B08,1297
BR00092750,B09,1430
BR00092750,B10,469
BR00092750,B11,982
BR00092750,B12,1174
BR00092750,B13,416
BR00092750,B14,1241
BR00092750,B15,1285
BR00092750,B16,1319
BR00092750,B17,1350
BR00092750,B18,1167
BR00092750,B19,906
BR00092750,B20,1122
BR00092750,B21,1215
BR00092750,B22,1023
BR00092750,B23,931
BR00092750,B24,1110
BR00092750,C01,1412
BR00092750,C02,1558
BR00092750,C03,1663
BR00092750,C04,1510
BR00092750,C05,1792
BR00092750,C06,1759
BR00092750,C07,1063
BR00092750,C08,1185
BR00092750,C09,1486
BR00092750,C10,864
BR00092750,C11,1253
BR00092750,C12,1410
BR00092750,C13,1157
BR00092750,C14,1584
BR00092750,C15,1377
BR00092750,C16,1548
BR00092750,C17,1428
BR00092750,C18,1629
BR00092750,C19,120
BR00092750,C20,160
BR00092750,C21,253
BR00092750,C22,1344
BR00092750,C23,1253
BR00092750,C24,1034
BR00092750,D01,1401
BR00092750,D02,1288
BR00092750,D03,2184
BR00092750,D04,1813
BR00092750,D05,2081
BR00092750,D06,2239
BR00092750,D07,1670
BR00092750,D08,1835
BR00092750,D09,1880
BR00092750,D10,1452
BR00092750,D11,1748
BR00092750,D12,1603
BR00092750,D13,1538
BR00092750,D14,1639
BR00092750,D15,1648
BR00092750,D16,1229
BR00092750,D17,1726
BR00092750,D18,1530
BR00092750,D19,1554
BR00092750,D20,1597
