Metadata_Plate,Metadata_Well,cell_count
BR00092725,A01,832
BR00092725,A02,786
BR00092725,A03,888
BR00092725,A04,826
BR00092725,A05,723
BR00092725,A06,869
BR00092725,A07,786
BR00092725,A08,786
BR00092725,A09,767
BR00092725,A10,907
BR00092725,A11,719
BR00092725,A12,1006
BR00092725,A13,77
BR00092725,A14,95
BR00092725,A15,220
BR00092725,A16,377
BR00092725,A17,464
BR00092725,A18,990
BR00092725,A19,769
BR00092725,A20,675
BR00092725,A21,832
BR00092725,A22,65
BR00092725,A23,63
BR00092725,A24,111
BR00092725,B01,842
BR00092725,B02,1084
BR00092725,B03,1127
BR00092725,B04,183
BR00092725,B05,459
BR00092725,B06,903
BR00092725,B07,268
BR00092725,B08,827
BR00092725,B09,845
BR00092725,B10,470
BR00092725,B11,602
BR00092725,B12,653
BR00092725,B13,887
BR00092725,B14,879
BR00092725,B15,813
BR00092725,B16,948
BR00092725,B17,903
BR00092725,B18,1090
BR00092725,B19,1006
BR00092725,B20,981
BR00092725,B21,776
BR00092725,B22,936
BR00092725,B23,851
BR00092725,B24,826
BR00092725,C01,494
BR00092725,C02,1088
BR00092725,C03,1111
BR00092725,C04,79
BR00092725,C05,314
BR00092725,C06,670
BR00092725,C07,643
BR00092725,C08,725
BR00092725,C09,1094
BR00092725,C10,1150
BR00092725,C11,1212
BR00092725,C12,1248
BR00092725,C13,982
BR00092725,C14,1032
BR00092725,C15,1139
BR00092725,C16,1014
BR00092725,C17,1176
BR00092725,C18,1081
BR00092725,C19,324
BR00092725,C20,275
BR00092725,C21,352
BR00092725,C22,226
BR00092725,C23,309
BR00092725,C24,174
BR00092725,D01,467
BR00092725,D02,850
BR00092725,D03,1050
BR00092725,D04,304
BR00092725,D05,255
BR00092725,D06,120
BR00092725,D07,922
BR00092725,D08,1180
BR00092725,D09,1081
BR00092725,D10,7
BR00092725,D11,12
BR00092725,D12,827
BR00092725,D13,1166
BR00092725,D14,1203
BR00092725,D15,1251
BR00092725,D16,569
BR00092725,D17,628
BR00092725,D18,640
BR00092725,D19,262
BR00092725,D20,1024
BR00092725,D21,1233
BR00092725,D22,998
BR00092725,D23,851
BR00092725,D24,925
BR00092725,E01,821
BR00092725,E02,965
BR00092725,E03,1285
BR00092725,E04,1036
BR00092725,E05,1034
BR00092725,E06,1327
BR00092725,E07,1027
BR00092725,E08,1196
BR00092725,E09,1242
BR00092725,E10,1393
BR00092725,E11,1439
BR00092725,E12,1155
BR00092725,E13,755
BR00092725,E14,1292
BR00092725,E15,1066
BR00092725,E16,996
BR00092725,E17,943
BR00092725,E18,1131
BR00092725,E19,1189
BR00092725,E20,1481
BR00092725,E21,1262
BR00092725,E22,677
BR00092725,E23,850
BR00092725,E24,1071
BR00092725,F01,883
BR00092725,F02,972
BR00092725,F03,1171
BR00092725,F04,371
BR00092725,F05,964
BR00092725,F06,1297
BR00092725,F07,1421
BR00092725,F08,1312
BR00092725,F09,1092
BR00092725,F10,709
BR00092725,F11,1029
BR00092725,F12,1027
BR00092725,F13,829
BR00092725,F14,950
BR00092725,F15,1079
BR00092725,F16,118
BR00092725,F17,125
BR00092725,F18,685
BR00092725,F19,1253
BR00092725,F20,979
BR00092725,F21,1036
BR00092725,F22,820
BR00092725,F23,1008
BR00092725,F24,977
BR00092725,G01,770
BR00092725,G02,906
BR00092725,G03,1305
BR00092725,G04,610
BR00092725,G05,1233
BR00092725,G06,1144
BR00092725,G07,1160
BR00092725,G08,988
BR00092725,G09,1133
BR00092725,G10,1155
BR00092725,G11,1240
BR00092725,G12,1035
BR00092725,G13,1077
BR00092725,G14,1103
BR00092725,G15,1294
BR00092725,G16,1120
BR00092725,G17,992
BR00092725,G18,1022
BR00092725,G19,745
BR00092725,G20,932
BR00092725,G21,853
BR00092725,G22,825
BR00092725,G23,880
BR00092725,G24,902
BR00092725,H01,838
BR00092725,H02,862
BR00092725,H03,1164
BR00092725,H04,1151
BR00092725,H05,1284
BR00092725,H06,1058
BR00092725,H07,1153
BR00092725,H08,1036
BR00092725,H09,1266
BR00092725,H10,1173
BR00092725,H11,1053
BR00092725,H12,1113
BR00092725,H13,1013
BR00092725,H14,1127
BR00092725,H15,923
BR00092725,H16,1316
BR00092725,H17,1042
BR00092725,H18,1232
BR00092725,H19,245
BR00092725,H20,419
BR00092725,H21,547
BR00092725,H22,485
BR00092725,H23,837
BR00092725,H24,824
BR00092725,I01,98
BR00092725,I02,110
BR00092725,I03,194
BR00092725,I04,16
BR00092725,I05,1108
BR00092725,I06,1208
BR00092725,I07,12
BR00092725,I08,11
BR00092725,I09,235
BR00092725,I10,1169
BR00092725,I11,1298
BR00092725,I12,1063
BR00092725,I13,1188
BR00092725,I14,1253
BR00092725,I15,1337
BR00092725,I16,93
BR00092725,I17,126
BR00092725,I18,110
BR00092725,I19,1388
BR00092725,I20,1262
BR00092725,I21,995
BR00092725,I22,1180
BR00092725,I23,913
BR00092725,I24,918
BR00092725,J01,524
BR00092725,J02,941
BR00092725,J03,1181
BR00092725,J04,77
BR00092725,J05,134
BR00092725,J06,805
BR00092725,J07,997
BR00092725,J08,1282
BR00092725,J09,1045
BR00092725,J10,32
BR00092725,J11,277
BR00092725,J12,698
BR00092725,J13,768
BR00092725,J14,1249
BR00092725,J15,982
BR00092725,J16,1169
BR00092725,J17,1139
BR00092725,J18,1217
BR00092725,J19,187
BR00092725,J20,86
BR00092725,J21,464
BR00092725,J22,767
BR00092725,J23,894
BR00092725,J24,824
BR00092725,K01,265
BR00092725,K02,816
BR00092725,K03,1035
BR00092725,K04,1220
BR00092725,K05,1206
BR00092725,K06,1043
BR00092725,K07,390
BR00092725,K08,289
BR00092725,K09,281
BR00092725,K10,271
BR00092725,K11,320
BR00092725,K12,297
BR00092725,K13,762
BR00092725,K14,555
BR00092725,K15,1340
BR00092725,K16,699
BR00092725,K17,1066
BR00092725,K18,1062
BR00092725,K19,750
BR00092725,K20,771
BR00092725,K21,1162
BR00092725,K22,391
BR00092725,K23,950
BR00092725,K24,875
BR00092725,L01,99
BR00092725,L02,708
BR00092725,L03,1034
BR00092725,L04,1004
BR00092725,L05,1295
BR00092725,L06,1181
BR00092725,L07,631
BR00092725,L08,1169
BR00092725,L09,1270
BR00092725,L10,874
BR00092725,L11,809
BR00092725,L12,943
BR00092725,L13,710
BR00092725,L14,773
BR00092725,L15,640
BR00092725,L16,711
BR00092725,L17,1165
BR00092725,L18,1205
BR00092725,L19,1292
BR00092725,L20,1270
BR00092725,L21,1370
BR00092725,L22,311
BR00092725,L23,703
BR00092725,L24,848
BR00092725,M01,417
BR00092725,M02,836
BR00092725,M03,1016
BR00092725,M04,982
BR00092725,M05,770
BR00092725,M06,965
BR00092725,M07,103
