Assay_Plate_Barcode,Plate_Map_Name,Batch_Number,Batch_Date
SQ00015201,C-7161-01-LM6-017,1,2016-03-22
SQ00015202,C-7161-01-LM6-018,1,2016-03-22
SQ00015200,C-7161-01-LM6-016,1,2016-03-22
SQ00015204,C-7161-01-LM6-020,1,2016-03-22
SQ00015205,C-7161-01-LM6-021,1,2016-03-22
SQ00015203,C-7161-01-LM6-019,1,2016-03-22
SQ00015128,C-7161-01-LM6-004,1,2016-03-22
SQ00015127,C-7161-01-LM6-003,1,2016-03-22
SQ00015126,C-7161-01-LM6-002,1,2016-03-22
SQ00015125,C-7161-01-LM6-001,1,2016-03-22
SQ00015199,C-7161-01-LM6-015,1,2016-03-22
SQ00015209,C-7161-01-LM6-025,1,2016-03-22
SQ00015210,C-7161-01-LM6-026,1,2016-03-22
SQ00015211,C-7161-01-LM6-027,1,2016-03-22
SQ00015212,C-7161-01-LM6-028,1,2016-03-22
SQ00015197,C-7161-01-LM6-013,1,2016-03-22
SQ00015196,C-7161-01-LM6-012,1,2016-03-22
SQ00015198,C-7161-01-LM6-014,1,2016-03-22
SQ00015133,C-7161-01-LM6-009,1,2016-03-22
SQ00015132,C-7161-01-LM6-008,1,2016-03-22
SQ00015195,C-7161-01-LM6-011,1,2016-03-22
SQ00015207,C-7161-01-LM6-023,1,2016-03-22
SQ00015194,C-7161-01-LM6-010,1,2016-03-22
SQ00015208,C-7161-01-LM6-024,1,2016-03-22
SQ00015129,C-7161-01-LM6-005,1,2016-03-22
SQ00015130,C-7161-01-LM6-006,1,2016-03-22
SQ00015131,C-7161-01-LM6-007,1,2016-03-22
SQ00015206,C-7161-01-LM6-022,1,2016-03-22
SQ00015170,C-7161-01-LM6-007,2,2016-04-05
SQ00015121,C-7161-01-LM6-002,2,2016-04-05
SQ00015120,C-7161-01-LM6-002,2,2016-04-05
SQ00015169,C-7161-01-LM6-007,2,2016-04-05
SQ00015119,C-7161-01-LM6-001,2,2016-04-05
SQ00015118,C-7161-01-LM6-001,2,2016-04-05
SQ00015168,C-7161-01-LM6-006,2,2016-04-05
SQ00015154,C-7161-01-LM6-003,2,2016-04-05
SQ00015167,C-7161-01-LM6-006,2,2016-04-05
SQ00015166,C-7161-01-LM6-006,2,2016-04-05
SQ00015124,C-7161-01-LM6-003,2,2016-04-05
SQ00015165,C-7161-01-LM6-006,2,2016-04-05
SQ00015123,C-7161-01-LM6-002,2,2016-04-05
SQ00015164,C-7161-01-LM6-005,2,2016-04-05
SQ00015122,C-7161-01-LM6-002,2,2016-04-05
SQ00015163,C-7161-01-LM6-005,2,2016-04-05
SQ00015162,C-7161-01-LM6-005,2,2016-04-05
SQ00015117,C-7161-01-LM6-001,2,2016-04-05
SQ00015116,C-7161-01-LM6-001,2,2016-04-05
SQ00015173,C-7161-01-LM6-005,2,2016-04-05
SQ00015159,C-7161-01-LM6-004,2,2016-04-05
SQ00015158,C-7161-01-LM6-004,2,2016-04-05
SQ00015160,C-7161-01-LM6-004,2,2016-04-05
SQ00015171,C-7161-01-LM6-007,2,2016-04-05
SQ00015172,C-7161-01-LM6-007,2,2016-04-05
