	Image_Metadata_Plate	Image_Metadata_Well	cell_count
0	SQ00015106	A01	1832
1	SQ00015106	A02	1724
2	SQ00015106	A03	1175
3	SQ00015106	A04	1772
4	SQ00015106	A05	1929
5	SQ00015106	A06	1638
6	SQ00015106	A07	236
7	SQ00015106	A08	78
8	SQ00015106	A09	208
9	SQ00015106	A10	314
10	SQ00015106	A11	386
11	SQ00015106	A12	442
12	SQ00015106	A13	185
13	SQ00015106	A14	396
14	SQ00015106	A15	1447
15	SQ00015106	A16	1659
16	SQ00015106	A17	1599
17	SQ00015106	A18	1372
18	SQ00015106	A19	1754
19	SQ00015106	A20	1260
20	SQ00015106	A21	1352
21	SQ00015106	A22	1405
22	SQ00015106	A23	1234
23	SQ00015106	A24	1339
24	SQ00015106	B01	1531
25	SQ00015106	B02	1489
26	SQ00015106	B03	1378
27	SQ00015106	B04	1256
28	SQ00015106	B05	1319
29	SQ00015106	B06	1594
30	SQ00015106	B07	1507
31	SQ00015106	B08	1704
32	SQ00015106	B09	1678
33	SQ00015106	B10	1553
34	SQ00015106	B11	1451
35	SQ00015106	B12	1645
36	SQ00015106	B13	1335
37	SQ00015106	B14	1249
38	SQ00015106	B15	1415
39	SQ00015106	B16	1208
40	SQ00015106	B17	1293
41	SQ00015106	B18	1340
42	SQ00015106	B19	1307
43	SQ00015106	B20	1441
44	SQ00015106	B21	1376
45	SQ00015106	B22	1382
46	SQ00015106	B23	1281
47	SQ00015106	B24	1259
48	SQ00015106	C01	245
49	SQ00015106	C02	314
50	SQ00015106	C03	370
51	SQ00015106	C04	341
52	SQ00015106	C05	384
53	SQ00015106	C06	383
54	SQ00015106	C07	1697
55	SQ00015106	C08	1630
56	SQ00015106	C09	1844
57	SQ00015106	C10	1379
58	SQ00015106	C11	1891
59	SQ00015106	C12	1573
60	SQ00015106	C13	323
61	SQ00015106	C14	393
62	SQ00015106	C15	874
63	SQ00015106	C16	1588
64	SQ00015106	C17	1679
65	SQ00015106	C18	1719
66	SQ00015106	C19	67
67	SQ00015106	C20	58
68	SQ00015106	C21	71
69	SQ00015106	C22	75
70	SQ00015106	C23	58
71	SQ00015106	C24	62
72	SQ00015106	D01	1674
73	SQ00015106	D02	1405
74	SQ00015106	D03	1558
75	SQ00015106	D04	1822
76	SQ00015106	D05	1757
77	SQ00015106	D06	1681
78	SQ00015106	D07	1739
79	SQ00015106	D08	1834
80	SQ00015106	D09	1839
81	SQ00015106	D10	1414
82	SQ00015106	D11	1811
83	SQ00015106	D12	1832
84	SQ00015106	D13	286
85	SQ00015106	D14	625
86	SQ00015106	D15	1407
87	SQ00015106	D16	1827
88	SQ00015106	D17	2074
89	SQ00015106	D18	1675
90	SQ00015106	D19	1565
91	SQ00015106	D20	1655
92	SQ00015106	D21	1686
93	SQ00015106	D22	1709
94	SQ00015106	D23	1501
95	SQ00015106	D24	1004
96	SQ00015106	E01	1520
97	SQ00015106	E02	1624
98	SQ00015106	E03	1908
99	SQ00015106	E04	1856
100	SQ00015106	E05	1753
101	SQ00015106	E06	2186
102	SQ00015106	E07	1864
103	SQ00015106	E08	1835
104	SQ00015106	E09	1946
105	SQ00015106	E10	1881
106	SQ00015106	E11	1995
107	SQ00015106	E12	1673
108	SQ00015106	E13	1794
109	SQ00015106	E14	1734
110	SQ00015106	E15	2068
111	SQ00015106	E16	2127
112	SQ00015106	E17	2044
113	SQ00015106	E18	2009
114	SQ00015106	E19	2134
115	SQ00015106	E20	2165
116	SQ00015106	E21	1473
117	SQ00015106	E22	1588
118	SQ00015106	E23	1421
119	SQ00015106	E24	1012
120	SQ00015106	F01	1213
121	SQ00015106	F02	1486
122	SQ00015106	F03	1566
123	SQ00015106	F04	1623
124	SQ00015106	F05	1817
125	SQ00015106	F06	2132
126	SQ00015106	F07	1756
127	SQ00015106	F08	1768
128	SQ00015106	F09	1714
129	SQ00015106	F10	1854
130	SQ00015106	F11	1834
131	SQ00015106	F12	1871
132	SQ00015106	F13	1916
133	SQ00015106	F14	2097
134	SQ00015106	F15	2093
135	SQ00015106	F16	1895
136	SQ00015106	F17	2060
137	SQ00015106	F18	1952
138	SQ00015106	F19	809
139	SQ00015106	F20	859
140	SQ00015106	F21	820
141	SQ00015106	F22	755
142	SQ00015106	F23	618
143	SQ00015106	F24	633
144	SQ00015106	G01	1314
145	SQ00015106	G02	1454
146	SQ00015106	G03	2024
147	SQ00015106	G04	1772
148	SQ00015106	G05	1783
149	SQ00015106	G06	1767
150	SQ00015106	G07	2246
151	SQ00015106	G08	2111
152	SQ00015106	G09	2002
153	SQ00015106	G10	1941
154	SQ00015106	G11	1713
155	SQ00015106	G12	2049
156	SQ00015106	G13	64
157	SQ00015106	G14	71
158	SQ00015106	G15	63
159	SQ00015106	G16	66
160	SQ00015106	G17	72
161	SQ00015106	G18	51
162	SQ00015106	G19	2023
163	SQ00015106	G20	1751
164	SQ00015106	G21	1760
165	SQ00015106	G22	1655
166	SQ00015106	G23	1408
167	SQ00015106	G24	1348
168	SQ00015106	H01	404
169	SQ00015106	H02	914
170	SQ00015106	H03	1491
171	SQ00015106	H04	1626
172	SQ00015106	H05	1665
173	SQ00015106	H06	1483
174	SQ00015106	H07	1761
175	SQ00015106	H08	1548
176	SQ00015106	H09	1595
177	SQ00015106	H10	1558
178	SQ00015106	H11	1859
179	SQ00015106	H12	1619
180	SQ00015106	H13	33
181	SQ00015106	H14	53
182	SQ00015106	H15	48
183	SQ00015106	H16	76
184	SQ00015106	H17	156
185	SQ00015106	H18	372
186	SQ00015106	H19	2220
187	SQ00015106	H20	1892
188	SQ00015106	H21	1561
189	SQ00015106	H22	1607
190	SQ00015106	H23	1140
191	SQ00015106	H24	958
192	SQ00015106	I01	1353
193	SQ00015106	I02	1542
194	SQ00015106	I03	1893
195	SQ00015106	I04	2154
196	SQ00015106	I05	2149
197	SQ00015106	I06	2111
198	SQ00015106	I07	1934
199	SQ00015106	I08	2241
200	SQ00015106	I09	1641
201	SQ00015106	I10	1852
202	SQ00015106	I11	1827
203	SQ00015106	I12	2167
204	SQ00015106	I13	1914
205	SQ00015106	I14	1814
206	SQ00015106	I15	1809
207	SQ00015106	I16	1939
208	SQ00015106	I17	1858
209	SQ00015106	I18	1762
210	SQ00015106	I19	1696
211	SQ00015106	I20	1802
212	SQ00015106	I21	1774
213	SQ00015106	I22	1630
214	SQ00015106	I23	1520
215	SQ00015106	I24	1016
216	SQ00015106	J01	1069
217	SQ00015106	J02	1459
218	SQ00015106	J03	1778
219	SQ00015106	J04	1779
220	SQ00015106	J05	1925
221	SQ00015106	J06	1877
222	SQ00015106	J07	378
223	SQ00015106	J08	460
224	SQ00015106	J09	677
225	SQ00015106	J10	1695
226	SQ00015106	J11	1798
227	SQ00015106	J12	1871
228	SQ00015106	J13	1794
229	SQ00015106	J14	1769
230	SQ00015106	J15	1911
231	SQ00015106	J16	1641
232	SQ00015106	J17	1858
233	SQ00015106	J18	1714
234	SQ00015106	J19	1688
