	level_3_complete_mean_diff	level_3_complete_median_diff	level_3_complete_sum_diff	level_4a_complete_mean_diff	level_4a_complete_median_diff	level_4a_complete_sum_diff	level_4b_complete_mean_diff	level_4b_complete_median_diff	level_4b_complete_sum_diff
SQ00015196	0.0012715260007711505	0.0005133090297250861	870.5782499999849	0.004735695889471056	0.0009896796407185637	3036.9070599999986	0.002063713877688172	0.0012530205278592414	270.23095
SQ00014820	0.0015456117235698255	0.000513864273696316	1058.2370699999994	0.02159712140021407	0.0013957676224611612	13882.975190000008	0.003080432657163741	0.0016866959064327453	404.5470599999998
SQ00015058	0.0010691277867358458	0.0004912703309033278	732.0018600000051	0.006276179248805251	0.0010587694145758647	4034.428439999998	0.001824102845149254	0.0010069701492537249	234.65259
SQ00015046	0.001878213451112343	0.0004995485137409911	1285.9601599999899	0.015458084643214697	0.0015091347305385464	9912.960520000717	0.0022832660651408445	0.0013278169014084512	311.25482999999997
SQ00015210	0.0021961265248177267	0.0005296831183403665	1503.6263400000025	0.0037687650660721407	0.0014192865707434077	2413.9392499999994	0.003181075543879056	0.0017185103244837785	414.09968999999995
SQ00015148	0.0012766176943120073	0.0005123836231071168	874.0643899999908	1.9937898328237538	0.0031669837935174062	1275515.0828099998	0.004930478866185897	0.0026645384615384625	492.25900999999993
SQ00015096	0.0013758801294634596	0.0005254038137966483	942.0266000000058	0.2397033184523809	0.0012601547619047581	154637.4048	0.0027854626178644244	0.0017839143730886769	349.76497000000006
SQ00015099	0.001231310306248834	0.0005453617498599097	843.0436900000017	0.034495125031001994	0.0014895714285714278	22253.49506	0.004205929474043716	0.0025538688524590148	492.5984600000001
SQ00015202	0.001625063417227535	0.0005040521592820982	1112.635420000011	0.0035424318261347734	0.0011884823035392888	2267.6098	0.0027356653959588347	0.0013503162650602388	348.7645099999999
SQ00015048	0.0012326824523275633	0.0005029444756031391	843.9831600000175	0.0035911094061876203	0.000887898203592816	2302.9066399999965	0.0012913803619714842	0.000818982300884953	168.1067299999999
SQ00015045	0.0013851848768461192	0.00048674144699965887	948.3972999999862	0.026052929741980483	0.0017166019127316248	16737.235760000003	0.0039760329112787365	0.00214785919540231	531.32523
SQ00015194	0.0027148423624742918	0.0005041306786317691	1858.7765499999982	0.009132377120758482	0.002363119760479046	5856.410799999999	0.004482179357177973	0.002363171091445435	583.4721799999998
SQ00015198	0.0017585285801084269	0.0005101486259110853	1204.015279999997	0.0025213971315065082	0.001002555555555556	1612.0804700000012	0.0023001535007331378	0.00124348973607038	301.19129999999996
SQ00015143	0.0009969500724434643	0.0005217975322489799	682.5838000000115	0.00655177165293448	0.0010268497624703074	4236.742449999999	0.0020215320312499995	0.0012809833333333352	232.8804899999999
SQ00015229	0.0014634628552066006	0.0004394279304543887	1001.9920400000137	0.019640607349881094	0.001550246730083232	12685.6326	0.0020165580627327755	0.0011092039106145213	277.2202700000001
SQ00015230	0.001483528828402524	0.00044415872125645826	1015.7306500000127	0.00402085056018243	0.0009043783462224886	2595.475119999999	0.0017466154112475913	0.0009593930635838204	232.06231
SQ00015118	2.398947613423607	1.9175372696050366	1609329.2085700002	1210053342540069.5	591997962747380.9	7.982867107137944e+20	0.481616140333851	0.24354905279503103	59550.872520000004
SQ00015201	0.0013195445118246477	0.0005256113292206437	903.4551800000054	0.0053405285459132675	0.002087520983213424	3420.6726199999994	0.0032105715854632596	0.002049009584664539	385.88502000000017
SQ00014812	0.0015590461710132803	0.0004856533931577827	1067.4352600000045	0.004378956496563059	0.001439949193066351	2813.181779999999	0.003089578918223181	0.001475459770114947	412.86661000000015
SQ00015165	0.003378916503084679	0.0005208524957936498	2313.449519999993	0.12715468519211573	0.0023551497005987964	81541.75652	0.004315989661772089	0.002254472891566269	550.2368899999999
SQ00015232	0.0015237435735651057	0.0004378631519907539	1043.264559999968	0.007766265037710186	0.000921427299703264	5025.084129999999	0.0015751502347417835	0.0009106338028169033	214.72447999999991
SQ00015222	0.001568692848546453	0.00046895120583254584	1074.040069999997	0.003960547124351688	0.0008435248354278912	2541.3405100000014	0.0013896062011718741	0.0007257656250000136	170.7548099999999
SQ00015122	2.5005898373849216	1.9483173440183177	1677515.6912299995	1563074851068513.5	580403452553685.6	1.0341803398621628e+21	0.586990959844393	0.27940189814814814	73031.06726000001
SQ00015145	0.0010780034381426208	0.000490443073471765	738.0787699999844	0.014670394445065594	0.0018607841383422759	9447.26457	0.0031521975295608117	0.0020453885135135134	358.2913800000001
SQ00015216	0.0016188657926715134	0.0004596382501406791	1108.3920799999905	0.004057166510728543	0.001880428143712576	2601.77974	0.0025650261210619914	0.0014876524390243864	323.0701699999999
SQ00014813	0.0015143716845438303	0.00048162927650024633	1036.8478899999932	0.011523371390634349	0.0019310682226211793	7394.1325799999995	0.0040584862351190475	0.002028542857142858	545.4605500000001
SQ00015112	0.0017960292957795798	0.0004609842961300159	1229.6909699999965	0.0017665521395046934	0.0008360724985020961	1132.1762	0.0017071874999999993	0.000986264880952383	220.26815999999988
SQ00015131	0.0033534998802346332	0.0005234913067865792	2296.047470000007	0.011151607519336327	0.001530904191616764	7151.302870000001	0.0031806552844101128	0.0016398174157303447	434.8083000000001
SQ00015123	2.6436054097053283	2.1628749427590157	1773457.40189	1829231614208508.0	622330594405594.5	1.205361196793011e+21	0.5365898652102624	0.2709666975308642	66760.36467
SQ00015121	2.6068795934995705	2.1299559101316548	1748819.9615399996	843970041847627.8	53590512223515.96	5.567771642473821e+20	0.5200223475150603	0.25115445783132534	66296.60904000001
SQ00015200	0.0018350055208917776	0.0005217694896240401	1256.3769000000152	0.004052840352717821	0.0016554106714628146	2595.8928799999967	0.003471873229461757	0.001877974504249294	470.6193600000001
SQ00015059	0.0011658226712937154	0.0005085109366236412	798.2061400000107	0.005514113818778652	0.0011983612941881669	3533.973489999962	0.0017195065362370161	0.0010520821529745076	233.08255000000005
SQ00015168	0.003961003078846499	0.0005327397644421696	2711.98789999999	0.13260106373904165	0.0015009742976688615	85187.16658	0.004061326022256729	0.002042515527950318	502.17484000000013
SQ00015171	0.0037599092996354385	0.0005033146382503167	2574.3046199999953	0.005247999033183635	0.0014515449101796375	3365.4368200000017	0.002955577000123274	0.0013176035502958556	383.61024999999995
SQ00015128	0.0021530754288184967	0.0005379949523275134	1474.1504600000178	0.007899329384123178	0.0017950419916016864	5056.581920000002	0.004192098117795388	0.002170590778097993	558.5886899999998
SQ00015146	0.001272477638927824	0.0004967947279866301	871.229809999991	0.007464244063986345	0.001054417360285374	4821.065670000013	0.0022508387524084773	0.001328656069364162	299.0554399999999
SQ00015043	0.001518031802089158	0.0005001486259114169	1039.353869999988	0.004689921470045849	0.0013997398325358821	3011.154699999997	0.0028728125763685243	0.001722492668621703	376.17757000000006
SQ00015197	0.001459006794494282	0.0005061637689286465	998.9410999999891	0.005913510992588142	0.001971799879807697	3778.5916000000007	0.0032403194905358903	0.001783480825958706	421.8118300000001
SQ00015219	0.0018001934356889114	0.0004802131239478832	1232.5420399999985	0.0018063489738805968	0.00085632537313433	1161.84366	0.0013478653583829368	0.0007869791666666679	173.90698000000003
SQ00015050	0.0014747626892877145	0.0005139652271454746	1009.728719999998	0.0025075977537697236	0.0010625763930497299	1607.1093700000006	0.0021960081417624518	0.0012747126436781614	293.4569599999999
SQ00015097	0.001101104309800886	0.0005330734716767967	753.8952899999922	3.624757053595731	0.0010657749406175767	2343970.89725	0.0021973783879449846	0.0013788834951456311	260.7321300000001
SQ00015130	0.002783009733127694	0.0005339399887829803	1905.4488400000043	0.008791401010479044	0.0023566796407185667	5637.74964	0.004944763713685015	0.0022378899082568793	620.90409
SQ00015195	0.0015552645792437838	0.0005031772293887227	1064.84611	0.005439578071917464	0.0016095863309352528	3484.115029999999	0.004029225439602447	0.001952110091743117	505.94177999999994
SQ00015056	0.0014980155023134936	0.0004961581604037941	1025.6492699999842	0.01420044450966507	0.0012436612999403404	9144.631849999996	0.0022007160285285295	0.0013373573573573553	281.4099600000001
SQ00015136	0.00144296384254068	0.0005204122265842067	987.9569400000127	0.009722022590026674	0.0019557557794902185	6298.004009999999	0.004350136561872489	0.0023984638554216866	554.5902099999998
SQ00015108	0.0016475509879182884	0.00044819125070122244	1128.0320299999903	0.003853042024253731	0.001415259701492537	2478.27663	0.0033805112901138723	0.001527111801242236	417.99346000000014
SQ00015110	0.001500341156057225	0.0004757851934941774	1027.2415800000122	0.0022361142057369687	0.0011469952067106085	1433.1166500000004	0.0023431316853233827	0.001353537313432838	301.42046000000005
SQ00015215	0.001267448617732298	0.00046117779024099336	867.7865800000079	0.0030345339912280695	0.0011338636363636351	1948.3164799999995	0.002201454249876725	0.0013010207100591679	285.7311499999999
SQ00015163	0.002257328793933472	0.0005134632641615177	1545.5298200000182	0.03973857446391212	0.001280848774656306	25529.331869999998	0.0024537940517912775	0.0012729439252336448	302.46447000000006
SQ00015221	0.0014929993339876694	0.0004898850252386068	1022.2148400000057	0.03823876844814965	0.0021783908045979747	24272.13474999989	0.007809417801155109	0.004900693069306933	908.6413799999991
SQ00015135	0.0014567635451720115	0.0005173527762200906	997.4052100000114	0.039326581961412414	0.00151376638855781	25340.16174000001	0.004450625159764826	0.0021038803680981637	557.14706
SQ00015217	0.0026816040965601104	0.0004742624789679706	1836.0192400000046	0.0031118239932843997	0.0014355452366686607	1994.3555499999984	0.0026385358621987946	0.0015173493975903613	336.3816599999999
SQ00015102	0.00110734141311461	0.0005392652832301836	758.165660000006	0.004193471302737877	0.0012757989228007224	2690.799569999997	0.0025585075604838718	0.0014655967741935456	304.56474000000014
SQ00015153	0.0010207391568517598	0.0005263965227145501	698.8715200000081	0.011038114660379681	0.0011019497041420102	7163.294889999997	0.0028345270899893505	0.0017268370607028706	340.68748000000005
SQ00015220	0.0028510666129182966	0.000490165451486403	1952.045479999996	0.0029273324465427654	0.0010922092326139065	1874.99156	0.0024824090520516704	0.000989027355623095	313.61762999999985
SQ00015166	0.002885473219293326	0.0005193606281545238	1975.6027200000005	0.011274285160916966	0.002086648745519716	7247.290890000001	0.004463005863273455	0.002357544910179641	572.4072800000001
SQ00015119	2.437633192526474	2.006445062965083	1635281.35194	1076604850525401.6	14230232558139.793	7.110759716750173e+20	0.4839949738779578	0.25194032407407413	60216.718669999995
SQ00015167	0.0032140036396990325	0.0005331716208633228	2200.5383000000156	0.009274891480052928	0.00135021869382864	5944.240850000002	0.002847876222534835	0.001291141479099679	340.10477000000003
SQ00015147	0.0011403493789727056	0.000518572630398382	780.7652900000003	0.0036169857200950978	0.0010708828828828844	2312.5559900000017	0.0024356020169183446	0.0013699999999999943	278.71081000000004
SQ00015152	0.0013831859927089171	0.000522164890633879	947.0287199999998	167.96349512677853	0.10827676400476757	108227614.01193	0.002880868432971014	0.0016953344481605349	330.76978999999994
