plate_map_name	cell_line	time_point	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent	volume_ul	amount_mg
LKCP002_MCF7_48H	MCF7	48H	A01	NA	NA	NA	DMSO	10	0
LKCP002_MCF7_48H	MCF7	48H	A02	NA	NA	NA	DMSO	10	0
LKCP002_MCF7_48H	MCF7	48H	A03	NA	NA	NA	DMSO	10	0
LKCP002_MCF7_48H	MCF7	48H	A04	BRD-K94441233-001-15-5	1.95004916	4.99355632371872	DMSO	10	0.02
LKCP002_MCF7_48H	MCF7	48H	A05	BRD-K94441233-001-15-5	0.195004916	0.499355632371872	DMSO	10	0.002
LKCP002_MCF7_48H	MCF7	48H	A06	BRD-K94441233-001-15-5	0.019500492	0.0499355642614806	DMSO	10	0
LKCP002_MCF7_48H	MCF7	48H	A07	BRD-K12184916-001-01-4	4.6953652	10	DMSO	10	0.047
LKCP002_MCF7_48H	MCF7	48H	A08	BRD-K12184916-001-01-4	0.46953652	1	DMSO	10	0.005
LKCP002_MCF7_48H	MCF7	48H	A09	BRD-K12184916-001-01-4	0.046953652	0.1	DMSO	10	0
LKCP002_MCF7_48H	MCF7	48H	A10	BRD-K07691486-001-10-6	3.544493	10	DMSO	10	0.035
LKCP002_MCF7_48H	MCF7	48H	A11	BRD-K07691486-001-10-6	0.3544493	1	DMSO	10	0.004
LKCP002_MCF7_48H	MCF7	48H	A12	BRD-K07691486-001-10-6	0.03544493	0.1	DMSO	10	0
LKCP002_MCF7_48H	MCF7	48H	A13	BRD-K90382497-001-05-7	4.77456	10	DMSO	10	0.048
LKCP002_MCF7_48H	MCF7	48H	A14	BRD-K90382497-001-05-7	0.477456	1	DMSO	10	0.005
LKCP002_MCF7_48H	MCF7	48H	A15	BRD-K90382497-001-05-7	0.0477456	0.1	DMSO	10	0
LKCP002_MCF7_48H	MCF7	48H	A16	BRD-K65781196-001-02-2	4.83951	10	DMSO	10	0.048
LKCP002_MCF7_48H	MCF7	48H	A17	BRD-K65781196-001-02-2	0.483951	1	DMSO	10	0.005
LKCP002_MCF7_48H	MCF7	48H	A18	BRD-K65781196-001-02-2	0.0483951	0.1	DMSO	10	0
LKCP002_MCF7_48H	MCF7	48H	A19	BRD-K81709173-001-09-5	4.54959	10	DMSO	10	0.045
LKCP002_MCF7_48H	MCF7	48H	A20	BRD-K81709173-001-09-5	0.454959	1	DMSO	10	0.005
LKCP002_MCF7_48H	MCF7	48H	A21	BRD-K81709173-001-09-5	0.0454959	0.1	DMSO	10	0
LKCP002_MCF7_48H	MCF7	48H	A22	BRD-K24593301-001-02-3	4.569857401	10.1790349906893	DMSO	10	0.046
LKCP002_MCF7_48H	MCF7	48H	A23	BRD-K24593301-001-02-3	0.45698574	1.01790349884619	DMSO	10	0.005
LKCP002_MCF7_48H	MCF7	48H	A24	BRD-K24593301-001-02-3	0.045698574	0.101790349884619	DMSO	10	0
LKCP002_MCF7_48H	MCF7	48H	B01	NA	NA	NA	DMSO	10	0
LKCP002_MCF7_48H	MCF7	48H	B02	NA	NA	NA	DMSO	10	0
LKCP002_MCF7_48H	MCF7	48H	B03	NA	NA	NA	DMSO	10	0
LKCP002_MCF7_48H	MCF7	48H	B04	BRD-K38985961-001-09-1	3.243737	10	DMSO	10	0.032
LKCP002_MCF7_48H	MCF7	48H	B05	BRD-K38985961-001-09-1	0.3243737	1	DMSO	10	0.003
LKCP002_MCF7_48H	MCF7	48H	B06	BRD-K38985961-001-09-1	0.03243737	0.1	DMSO	10	0
LKCP002_MCF7_48H	MCF7	48H	B07	BRD-K82746043-001-03-7	9.746127096	9.99999999999999	DMSO	10	0.097
LKCP002_MCF7_48H	MCF7	48H	B08	BRD-K82746043-001-03-7	0.97461271	1.00000000041042	DMSO	10	0.01
LKCP002_MCF7_48H	MCF7	48H	B09	BRD-K82746043-001-03-7	0.097461271	0.100000000041042	DMSO	10	0.001
LKCP002_MCF7_48H	MCF7	48H	B10	BRD-K63195589-001-02-2	4.89396	10	DMSO	10	0.049
LKCP002_MCF7_48H	MCF7	48H	B11	BRD-K63195589-001-02-2	0.489396	1	DMSO	10	0.005
LKCP002_MCF7_48H	MCF7	48H	B12	BRD-K63195589-001-02-2	0.0489396	0.1	DMSO	10	0
