compound_plate_barcode,well_position,broad_sample,mg_per_ml,mmoles_per_liter,solvent,volume_ul,amount_mg
AB00023288,A01,,,,DMSO,12,0.000
AB00023288,A02,,,,DMSO,12,0.000
AB00023288,A03,,,,DMSO,12,0.000
AB00023288,A04,BRD-K27305650-001-09-1,3.073432,10,DMSO,12,0.037
AB00023288,A05,BRD-K27305650-001-09-1,0.3073432,1,DMSO,12,0.004
AB00023288,A06,BRD-K27305650-001-09-1,3.073432e-002,0.1,DMSO,12,0.000
AB00023288,A07,BRD-K12184916-001-02-2,4.6953652,10,DMSO,12,0.056
AB00023288,A08,BRD-K12184916-001-02-2,0.46953652,1,DMSO,12,0.006
AB00023288,A09,BRD-K12184916-001-02-2,4.6953652e-002,0.1,DMSO,12,0.001
AB00023288,A10,BRD-K44876623-001-03-7,3.073895,10,DMSO,12,0.037
AB00023288,A11,BRD-K44876623-001-03-7,0.3073895,1,DMSO,12,0.004
AB00023288,A12,BRD-K44876623-001-03-7,3.073895e-002,0.1,DMSO,12,0.000
AB00023288,A13,BRD-K02407574-001-04-8,2.47293,10,DMSO,12,0.030
AB00023288,A14,BRD-K02407574-001-04-8,0.247293,1,DMSO,12,0.003
AB00023288,A15,BRD-K02407574-001-04-8,2.47293e-002,0.1,DMSO,12,0.000
AB00023288,A16,BRD-K59369769-001-21-1,4.64586,10,DMSO,12,0.056
AB00023288,A17,BRD-K59369769-001-21-1,0.464586,1,DMSO,12,0.006
AB00023288,A18,BRD-K59369769-001-21-1,4.64586e-002,0.1,DMSO,12,0.001
AB00023288,A19,BRD-A22684332-001-01-9,2.903575,10,DMSO,12,0.035
AB00023288,A20,BRD-A22684332-001-01-9,0.2903575,1,DMSO,12,0.003
AB00023288,A21,BRD-A22684332-001-01-9,2.903575e-002,0.1,DMSO,12,0.000
AB00023288,A22,BRD-K00317371-001-07-9,2.92373,10,DMSO,12,0.035
AB00023288,A23,BRD-K00317371-001-07-9,0.292373,1,DMSO,12,0.004
AB00023288,A24,BRD-K00317371-001-07-9,2.92373e-002,0.1,DMSO,12,0.000
AB00023288,B01,,,,DMSO,12,0.000
AB00023288,B02,,,,DMSO,12,0.000
AB00023288,B03,,,,DMSO,12,0.000
AB00023288,B04,BRD-K52233191-001-01-6,4.41452,10,DMSO,12,0.053
AB00023288,B05,BRD-K52233191-001-01-6,0.441452,1,DMSO,12,0.005
AB00023288,B06,BRD-K52233191-001-01-6,4.41452e-002,0.1,DMSO,12,0.001
AB00023288,B07,BRD-K43449605-001-01-0,2.69726,10,DMSO,12,0.032
AB00023288,B08,BRD-K43449605-001-01-0,0.269726,1,DMSO,12,0.003
AB00023288,B09,BRD-K43449605-001-01-0,2.69726e-002,0.1,DMSO,12,0.000
AB00023288,B10,BRD-K47832606-001-13-7,2.461924,10,DMSO,12,0.030
AB00023288,B11,BRD-K47832606-001-13-7,0.2461924,1,DMSO,12,0.003
AB00023288,B12,BRD-K47832606-001-13-7,2.461924e-002,0.1,DMSO,12,0.000
AB00023288,B13,BRD-K51671335-001-04-9,3.4142582,10,DMSO,12,0.041
AB00023288,B14,BRD-K51671335-001-04-9,0.34142582,1,DMSO,12,0.004
AB00023288,B15,BRD-K51671335-001-04-9,3.4142582e-002,0.1,DMSO,12,0.000
AB00023288,B16,BRD-K70401845-001-09-0,3.934357,10,DMSO,12,0.047
AB00023288,B17,BRD-K70401845-001-09-0,0.3934357,1,DMSO,12,0.005
AB00023288,B18,BRD-K70401845-001-09-0,3.934357e-002,0.1,DMSO,12,0.000
AB00023288,B19,BRD-A64933752-001-02-8,3.583519,10,DMSO,12,0.043
AB00023288,B20,BRD-A64933752-001-02-8,0.3583519,1,DMSO,12,0.004
AB00023288,B21,BRD-A64933752-001-02-8,3.583519e-002,0.1,DMSO,12,0.000
