plate_map_name	cell_line	time_point	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent	volume_ul	amount_mg
ASG003_MCF7_6H	MCF7	6H	A01	NA	NA	NA	DMSO	12	0
ASG003_MCF7_6H	MCF7	6H	A02	NA	NA	NA	DMSO	12	0
ASG003_MCF7_6H	MCF7	6H	A03	NA	NA	NA	DMSO	12	0
ASG003_MCF7_6H	MCF7	6H	A04	BRD-K27305650-001-09-1	3.073432	10	DMSO	12	0.037
ASG003_MCF7_6H	MCF7	6H	A05	BRD-K27305650-001-09-1	0.3073432	1	DMSO	12	0.004
ASG003_MCF7_6H	MCF7	6H	A06	BRD-K27305650-001-09-1	0.03073432	0.1	DMSO	12	0
ASG003_MCF7_6H	MCF7	6H	A07	BRD-K12184916-001-02-2	4.6953652	10	DMSO	12	0.056
ASG003_MCF7_6H	MCF7	6H	A08	BRD-K12184916-001-02-2	0.46953652	1	DMSO	12	0.006
ASG003_MCF7_6H	MCF7	6H	A09	BRD-K12184916-001-02-2	0.046953652	0.1	DMSO	12	0.001
ASG003_MCF7_6H	MCF7	6H	A10	BRD-K44876623-001-03-7	3.073895	10	DMSO	12	0.037
ASG003_MCF7_6H	MCF7	6H	A11	BRD-K44876623-001-03-7	0.3073895	1	DMSO	12	0.004
ASG003_MCF7_6H	MCF7	6H	A12	BRD-K44876623-001-03-7	0.03073895	0.1	DMSO	12	0
ASG003_MCF7_6H	MCF7	6H	A13	BRD-K02407574-001-04-8	2.47293	10	DMSO	12	0.03
ASG003_MCF7_6H	MCF7	6H	A14	BRD-K02407574-001-04-8	0.247293	1	DMSO	12	0.003
ASG003_MCF7_6H	MCF7	6H	A15	BRD-K02407574-001-04-8	0.0247293	0.1	DMSO	12	0
ASG003_MCF7_6H	MCF7	6H	A16	BRD-K59369769-001-21-1	4.64586	10	DMSO	12	0.056
ASG003_MCF7_6H	MCF7	6H	A17	BRD-K59369769-001-21-1	0.464586	1	DMSO	12	0.006
ASG003_MCF7_6H	MCF7	6H	A18	BRD-K59369769-001-21-1	0.0464586	0.1	DMSO	12	0.001
ASG003_MCF7_6H	MCF7	6H	A19	BRD-A22684332-001-01-9	2.903575	10	DMSO	12	0.035
