compound_plate_barcode,well_position,broad_sample,mg_per_ml,mmoles_per_liter,solvent,volume_ul,amount_mg
AB00022422,A01,,,,DMSO,10,0.000
AB00022422,A02,,,,DMSO,10,0.000
AB00022422,A03,,,,DMSO,10,0.000
AB00022422,A04,BRD-K63828191-003-28-9,5.10044,10,DMSO,10,0.051
AB00022422,A05,BRD-K63828191-003-28-9,0.510044,1,DMSO,10,0.005
AB00022422,A06,BRD-K63828191-003-28-9,5.10044e-002,1.e-001,DMSO,10,0.001
AB00022422,A07,BRD-K27182532-001-01-5,4.6884,10,DMSO,10,0.047
AB00022422,A08,BRD-K27182532-001-01-5,0.46884,1,DMSO,10,0.005
AB00022422,A09,BRD-K27182532-001-01-5,4.6884e-002,1.e-001,DMSO,10,0.000
AB00022422,A10,BRD-K67102207-236-04-4,1.871908,10,DMSO,10,0.019
AB00022422,A11,BRD-K67102207-236-04-4,0.1871908,1,DMSO,10,0.002
AB00022422,A12,BRD-K67102207-236-04-4,1.871908e-002,1.e-001,DMSO,10,0.000
AB00022422,A13,BRD-K99792991-001-35-6,4.06904,10,DMSO,10,0.041
AB00022422,A14,BRD-K99792991-001-35-6,0.406904,1,DMSO,10,0.004
AB00022422,A15,BRD-K99792991-001-35-6,4.06904e-002,1.e-001,DMSO,10,0.000
AB00022422,A16,BRD-K96550715-001-04-2,4.569857401,9.67079215570588,DMSO,10,0.046
AB00022422,A17,BRD-K96550715-001-04-2,0.45698574,0.967079215358967,DMSO,10,0.005
AB00022422,A18,BRD-K96550715-001-04-2,4.5698574e-002,9.67079215358967e-002,DMSO,10,0.000
AB00022422,A19,BRD-K51747290-001-15-6,0.760547,10,DMSO,10,0.008
AB00022422,A20,BRD-K51747290-001-15-6,7.60547e-002,1,DMSO,10,0.001
AB00022422,A21,BRD-K51747290-001-15-6,7.60547e-003,1.e-001,DMSO,10,0.000
AB00022422,A22,BRD-K52313696-001-08-1,2.692985,10,DMSO,10,0.027
AB00022422,A23,BRD-K52313696-001-08-1,0.2692985,1,DMSO,10,0.003
AB00022422,A24,BRD-K52313696-001-08-1,2.692985e-002,0.1,DMSO,10,0.000
AB00022422,B01,,,,DMSO,10,0.000
AB00022422,B02,,,,DMSO,10,0.000
AB00022422,B03,,,,DMSO,10,0.000
AB00022422,B04,BRD-K45158365-001-09-8,4.355188,10,DMSO,10,0.044
AB00022422,B05,BRD-K45158365-001-09-8,0.4355188,1,DMSO,10,0.004
AB00022422,B06,BRD-K45158365-001-09-8,4.355188e-002,1.e-001,DMSO,10,0.000
AB00022422,B07,BRD-A50998626-001-01-3,4.064279,10,DMSO,10,0.041
AB00022422,B08,BRD-A50998626-001-01-3,0.4064279,1,DMSO,10,0.004
AB00022422,B09,BRD-A50998626-001-01-3,4.064279e-002,1.e-001,DMSO,10,0.000
AB00022422,B10,BRD-K37687095-001-04-4,4.612268,10,DMSO,10,0.046
AB00022422,B11,BRD-K37687095-001-04-4,0.4612268,1,DMSO,10,0.005
AB00022422,B12,BRD-K37687095-001-04-4,4.612268e-002,1.e-001,DMSO,10,0.000
AB00022422,B13,BRD-K98493452-001-01-6,2.6633432,10,DMSO,10,0.027
AB00022422,B14,BRD-K98493452-001-01-6,0.26633432,1,DMSO,10,0.003
AB00022422,B15,BRD-K98493452-001-01-6,2.6633432e-002,1.e-001,DMSO,10,0.000
AB00022422,B16,BRD-K43966364-237-03-0,3.89488,10,DMSO,10,0.039
AB00022422,B17,BRD-K43966364-237-03-0,0.389488,1,DMSO,10,0.004
AB00022422,B18,BRD-K43966364-237-03-0,3.89488e-002,1.e-001,DMSO,10,0.000
AB00022422,B19,BRD-K51313569-001-10-2,4.475328,10,DMSO,10,0.045
AB00022422,B20,BRD-K51313569-001-10-2,0.4475328,1,DMSO,10,0.004
AB00022422,B21,BRD-K51313569-001-10-2,4.475328e-002,1.e-001,DMSO,10,0.000
AB00022422,B22,BRD-K41895714-001-01-4,2.57268,10,DMSO,10,0.026
AB00022422,B23,BRD-K41895714-001-01-4,0.257268,1,DMSO,10,0.003
AB00022422,B24,BRD-K41895714-001-01-4,2.57268e-002,0.1,DMSO,10,0.000
AB00022422,C01,BRD-K99964838-001-06-9,5.30446,10,DMSO,10,0.053
AB00022422,C02,BRD-K99964838-001-06-9,0.530446,1,DMSO,10,0.005
