compound_plate_barcode,well_position,broad_sample,mg_per_ml,mmoles_per_liter,solvent,volume_ul,amount_mg
AB00022423,A01,,,,DMSO,10,0.000
AB00022423,A02,,,,DMSO,10,0.000
AB00022423,A03,,,,DMSO,10,0.000
AB00022423,A04,BRD-K94441233-001-15-5,1.95004916,4.99355632371872,DMSO,10,0.020
AB00022423,A05,BRD-K94441233-001-15-5,0.195004916,0.499355632371872,DMSO,10,0.002
AB00022423,A06,BRD-K94441233-001-15-5,1.9500492e-002,4.99355642614806e-002,DMSO,10,0.000
AB00022423,A07,BRD-K12184916-001-01-4,4.6953652,10,DMSO,10,0.047
AB00022423,A08,BRD-K12184916-001-01-4,0.46953652,1,DMSO,10,0.005
AB00022423,A09,BRD-K12184916-001-01-4,4.6953652e-002,1.e-001,DMSO,10,0.000
AB00022423,A10,BRD-K07691486-001-10-6,3.544493,10,DMSO,10,0.035
AB00022423,A11,BRD-K07691486-001-10-6,0.3544493,1,DMSO,10,0.004
AB00022423,A12,BRD-K07691486-001-10-6,3.544493e-002,1.e-001,DMSO,10,0.000
AB00022423,A13,BRD-K90382497-001-05-7,4.77456,10,DMSO,10,0.048
AB00022423,A14,BRD-K90382497-001-05-7,0.477456,1,DMSO,10,0.005
AB00022423,A15,BRD-K90382497-001-05-7,4.77456e-002,1.e-001,DMSO,10,0.000
AB00022423,A16,BRD-K65781196-001-02-2,4.83951,10,DMSO,10,0.048
AB00022423,A17,BRD-K65781196-001-02-2,0.483951,1,DMSO,10,0.005
AB00022423,A18,BRD-K65781196-001-02-2,4.83951e-002,1.e-001,DMSO,10,0.000
AB00022423,A19,BRD-K81709173-001-09-5,4.54959,10,DMSO,10,0.045
AB00022423,A20,BRD-K81709173-001-09-5,0.454959,1,DMSO,10,0.005
AB00022423,A21,BRD-K81709173-001-09-5,4.54959e-002,1.e-001,DMSO,10,0.000
AB00022423,A22,BRD-K24593301-001-02-3,4.569857401,10.1790349906893,DMSO,10,0.046
AB00022423,A23,BRD-K24593301-001-02-3,0.45698574,1.01790349884619,DMSO,10,0.005
AB00022423,A24,BRD-K24593301-001-02-3,4.5698574e-002,0.101790349884619,DMSO,10,0.000
AB00022423,B01,,,,DMSO,10,0.000
AB00022423,B02,,,,DMSO,10,0.000
AB00022423,B03,,,,DMSO,10,0.000
AB00022423,B04,BRD-K38985961-001-09-1,3.243737,10,DMSO,10,0.032
AB00022423,B05,BRD-K38985961-001-09-1,0.3243737,1,DMSO,10,0.003
AB00022423,B06,BRD-K38985961-001-09-1,3.243737e-002,1.e-001,DMSO,10,0.000
AB00022423,B07,BRD-K82746043-001-03-7,9.746127096,9.99999999999999,DMSO,10,0.097
AB00022423,B08,BRD-K82746043-001-03-7,0.97461271,1.00000000041042,DMSO,10,0.010
AB00022423,B09,BRD-K82746043-001-03-7,9.7461271e-002,0.100000000041042,DMSO,10,0.001
AB00022423,B10,BRD-K63195589-001-02-2,4.89396,10,DMSO,10,0.049
AB00022423,B11,BRD-K63195589-001-02-2,0.489396,1,DMSO,10,0.005
AB00022423,B12,BRD-K63195589-001-02-2,4.89396e-002,1.e-001,DMSO,10,0.000
AB00022423,B13,BRD-K95142244-001-01-5,1.9017545,5,DMSO,10,0.019
AB00022423,B14,BRD-K95142244-001-01-5,0.19017545,0.5,DMSO,10,0.002
AB00022423,B15,BRD-K95142244-001-01-5,1.9017545e-002,5.e-002,DMSO,10,0.000
AB00022423,B16,BRD-K83003151-001-01-4,3.393916,10,DMSO,10,0.034
AB00022423,B17,BRD-K83003151-001-01-4,0.3393916,1,DMSO,10,0.003
AB00022423,B18,BRD-K83003151-001-01-4,3.393916e-002,0.1,DMSO,10,0.000
AB00022423,B19,BRD-K15567136-003-03-3,3.7584598,10,DMSO,10,0.038
AB00022423,B20,BRD-K15567136-003-03-3,0.37584598,1,DMSO,10,0.004
AB00022423,B21,BRD-K15567136-003-03-3,3.7584598e-002,1.e-001,DMSO,10,0.000
AB00022423,B22,BRD-A22380646-236-05-8,4.08375,10.0495865734816,DMSO,10,0.041
AB00022423,B23,BRD-A22380646-236-05-8,0.408375,1.00495865734816,DMSO,10,0.004
AB00022423,B24,BRD-A22380646-236-05-8,4.08375e-002,0.100495865734816,DMSO,10,0.000
AB00022423,C01,BRD-K35483542-001-04-9,3.004351,10,DMSO,10,0.030
AB00022423,C02,BRD-K35483542-001-04-9,0.3004351,1,DMSO,10,0.003
AB00022423,C03,BRD-K35483542-001-04-9,3.004351e-002,0.1,DMSO,10,0.000
AB00022423,C04,BRD-K70446295-001-01-7,3.834474037,10.0000835506183,DMSO,10,0.038
AB00022423,C05,BRD-K70446295-001-01-7,0.383447404,1.00000835584421,DMSO,10,0.004
AB00022423,C06,BRD-K70446295-001-01-7,3.834474e-002,0.100000834541245,DMSO,10,0.000
AB00022423,C07,BRD-K79254416-001-13-5,2.282053,10,DMSO,10,0.023
AB00022423,C08,BRD-K79254416-001-13-5,0.2282053,1,DMSO,10,0.002
AB00022423,C09,BRD-K79254416-001-13-5,2.282053e-002,0.1,DMSO,10,0.000
AB00022423,C10,BRD-K66538826-001-07-2,4.4751,10,DMSO,10,0.045
AB00022423,C11,BRD-K66538826-001-07-2,0.44751,1,DMSO,10,0.004
AB00022423,C12,BRD-K66538826-001-07-2,4.4751e-002,1.e-001,DMSO,10,0.000
AB00022423,C13,BRD-K94534639-001-02-5,3.2036,10,DMSO,10,0.032
AB00022423,C14,BRD-K94534639-001-02-5,0.32036,1,DMSO,10,0.003
AB00022423,C15,BRD-K94534639-001-02-5,3.2036e-002,1.e-001,DMSO,10,0.000
AB00022423,C16,BRD-A13964793-001-02-6,2.973666,10,DMSO,10,0.030
AB00022423,C17,BRD-A13964793-001-02-6,0.2973666,1,DMSO,10,0.003
AB00022423,C18,BRD-A13964793-001-02-6,2.973666e-002,1.e-001,DMSO,10,0.000
AB00022423,C19,BRD-K92428232-001-08-0,5.434,9.99624726823202,DMSO,10,0.054
AB00022423,C20,BRD-K92428232-001-08-0,0.5434,0.999624726823202,DMSO,10,0.005
AB00022423,C21,BRD-K92428232-001-08-0,5.434e-002,9.99624726823202e-002,DMSO,10,0.001
AB00022423,C22,BRD-K51544265-044-03-4,6.357,10.0016818936518,DMSO,10,0.064
AB00022423,C23,BRD-K51544265-044-03-4,0.6357,1.00016818936518,DMSO,10,0.006
AB00022423,C24,BRD-K51544265-044-03-4,6.357e-002,0.100016818936518,DMSO,10,0.001
AB00022423,D01,BRD-K99741577-001-01-7,3.73494,10,DMSO,10,0.037
AB00022423,D02,BRD-K99741577-001-01-7,0.373494,1,DMSO,10,0.004
AB00022423,D03,BRD-K99741577-001-01-7,3.73494e-002,1.e-001,DMSO,10,0.000
AB00022423,D04,BRD-K50498985-001-03-3,5.12502,10,DMSO,10,0.051
AB00022423,D05,BRD-K50498985-001-03-3,0.512502,1,DMSO,10,0.005
