compound_plate_barcode,well_position,broad_sample,mg_per_ml,mmoles_per_liter,solvent,volume_ul,amount_mg
AB00023158,A01,,,,,0,0.000
AB00023158,A02,,,,DMSO,8,0.000
AB00023158,A03,BRD-K15318909-001-02-2,1.852203,10,DMSO,8,0.015
AB00023158,A04,BRD-K15318909-001-02-2,0.617401,3.33333333333333,DMSO,8,0.005
AB00023158,A05,BRD-K78599730-001-02-6,1.37660655,2.5,DMSO,8,0.011
AB00023158,A06,BRD-K78599730-001-02-6,0.45886885,0.833333333333333,DMSO,8,0.004
AB00023158,A07,BRD-K71781559-001-03-3,3.173413,10,DMSO,8,0.025
AB00023158,A08,BRD-K71781559-001-03-3,1.057804333,3.33333333228294,DMSO,8,0.008
AB00023158,A09,BRD-M72045552-001-02-9,1.602157,10,DMSO,8,0.013
AB00023158,A10,BRD-M72045552-001-02-9,0.534052333,3.3333333312528,DMSO,8,0.004
AB00023158,A11,BRD-K56411643-001-02-6,4.40876,10,DMSO,8,0.035
AB00023158,A12,BRD-K56411643-001-02-6,1.469586667,3.3333333340894,DMSO,8,0.012
AB00023158,A13,BRD-K97006656-001-01-1,3.333838,10,DMSO,8,0.027
AB00023158,A14,BRD-K97006656-001-01-1,1.111279333,3.33333333233348,DMSO,8,0.009
AB00023158,A15,BRD-K19875720-001-01-6,3.103041,10,DMSO,8,0.025
AB00023158,A16,BRD-K19875720-001-01-6,1.034347,3.33333333333333,DMSO,8,0.008
AB00023158,A17,BRD-K74995143-001-01-3,3.083312,10,DMSO,8,0.025
AB00023158,A18,BRD-K74995143-001-01-3,1.027770667,3.33333333441442,DMSO,8,0.008
AB00023158,A19,BRD-A52518985-001-01-2,3.584363,10,DMSO,8,0.029
AB00023158,A20,BRD-A52518985-001-01-2,1.194787667,3.3333333342633,DMSO,8,0.010
AB00023158,A21,BRD-K89475669-001-02-1,5.52617,10,DMSO,8,0.044
AB00023158,A22,BRD-K89475669-001-02-1,1.842056667,3.33333333393652,DMSO,8,0.015
AB00023158,A23,,,,,0,0.000
AB00023158,A24,,,,DMSO,8,0.000
AB00023158,B01,,,,,0,0.000
AB00023158,B02,,,,DMSO,8,0.000
AB00023158,B03,BRD-K15318909-001-02-2,0.205800333,1.11111110931145,DMSO,8,0.002
AB00023158,B04,BRD-K15318909-001-02-2,6.8600111e-002,0.370370369770484,DMSO,8,0.001
AB00023158,B05,BRD-K78599730-001-02-6,0.152956283,0.277777777172425,DMSO,8,0.001
AB00023158,B06,BRD-K78599730-001-02-6,5.0985428e-002,9.25925929961615e-002,DMSO,8,0.000
AB00023158,B07,BRD-K71781559-001-03-3,0.352601444,1.11111110971059,DMSO,8,0.003
AB00023158,B08,BRD-K71781559-001-03-3,0.117533815,0.370370370953923,DMSO,8,0.001
AB00023158,B09,BRD-M72045552-001-02-9,0.178017444,1.11111110833707,DMSO,8,0.001
