	Image_Metadata_Plate	Image_Metadata_Well	cell_count
0	SQ00015211	A01	1917
1	SQ00015211	A02	2099
2	SQ00015211	A03	2128
3	SQ00015211	A04	2216
4	SQ00015211	A05	2319
5	SQ00015211	A06	2205
6	SQ00015211	A07	2217
7	SQ00015211	A08	2124
8	SQ00015211	A09	1919
9	SQ00015211	A10	2141
10	SQ00015211	A11	1886
11	SQ00015211	A12	2475
12	SQ00015211	A13	2146
13	SQ00015211	A14	2102
14	SQ00015211	A15	2298
15	SQ00015211	A16	2138
16	SQ00015211	A17	2342
17	SQ00015211	A18	2499
18	SQ00015211	A19	1925
19	SQ00015211	A20	2255
20	SQ00015211	A21	2456
21	SQ00015211	A22	2438
22	SQ00015211	A23	2270
23	SQ00015211	A24	2152
24	SQ00015211	B01	2299
25	SQ00015211	B02	2275
26	SQ00015211	B03	2393
27	SQ00015211	B04	1993
28	SQ00015211	B05	2241
29	SQ00015211	B06	2602
30	SQ00015211	B07	2034
31	SQ00015211	B08	2316
32	SQ00015211	B09	2477
33	SQ00015211	B10	2368
34	SQ00015211	B11	2491
35	SQ00015211	B12	2419
36	SQ00015211	B13	2422
37	SQ00015211	B14	2541
38	SQ00015211	B15	2727
39	SQ00015211	B16	2369
40	SQ00015211	B17	2195
41	SQ00015211	B18	2647
42	SQ00015211	B19	84
43	SQ00015211	B20	978
44	SQ00015211	B21	1196
45	SQ00015211	B22	1396
46	SQ00015211	B23	1867
47	SQ00015211	B24	2390
48	SQ00015211	C01	1109
49	SQ00015211	C02	886
50	SQ00015211	C03	1429
51	SQ00015211	C04	1596
52	SQ00015211	C05	2093
53	SQ00015211	C06	2410
54	SQ00015211	C07	2411
55	SQ00015211	C08	2410
56	SQ00015211	C09	2318
57	SQ00015211	C10	2425
58	SQ00015211	C11	2435
59	SQ00015211	C12	2383
60	SQ00015211	C13	2360
61	SQ00015211	C14	2107
62	SQ00015211	C15	2282
63	SQ00015211	C16	2200
64	SQ00015211	C17	2370
65	SQ00015211	C18	2206
66	SQ00015211	C19	81
67	SQ00015211	C20	95
68	SQ00015211	C21	84
69	SQ00015211	C22	103
70	SQ00015211	C23	94
71	SQ00015211	C24	92
72	SQ00015211	D01	2193
73	SQ00015211	D02	2554
74	SQ00015211	D03	2194
75	SQ00015211	D04	2224
76	SQ00015211	D05	2190
77	SQ00015211	D06	2562
78	SQ00015211	D07	2422
79	SQ00015211	D08	2527
80	SQ00015211	D09	2218
81	SQ00015211	D10	2736
82	SQ00015211	D11	2222
83	SQ00015211	D12	2642
84	SQ00015211	D13	115
85	SQ00015211	D14	184
86	SQ00015211	D15	347
87	SQ00015211	D16	972
88	SQ00015211	D17	1901
89	SQ00015211	D18	2106
90	SQ00015211	D19	1121
91	SQ00015211	D20	1100
92	SQ00015211	D21	1146
93	SQ00015211	D22	849
94	SQ00015211	D23	731
95	SQ00015211	D24	779
96	SQ00015211	E01	1234
97	SQ00015211	E02	2701
98	SQ00015211	E03	2504
99	SQ00015211	E04	2908
100	SQ00015211	E05	2594
101	SQ00015211	E06	2714
102	SQ00015211	E07	120
103	SQ00015211	E08	159
104	SQ00015211	E09	139
105	SQ00015211	E10	172
106	SQ00015211	E11	132
107	SQ00015211	E12	439
108	SQ00015211	E13	2613
109	SQ00015211	E14	2514
110	SQ00015211	E15	2638
111	SQ00015211	E16	2643
112	SQ00015211	E17	2421
113	SQ00015211	E18	2496
114	SQ00015211	E19	2353
115	SQ00015211	E20	2798
116	SQ00015211	E21	2444
117	SQ00015211	E22	2631
118	SQ00015211	E23	2222
119	SQ00015211	E24	2300
120	SQ00015211	F01	1531
121	SQ00015211	F02	2251
122	SQ00015211	F03	2126
123	SQ00015211	F04	2261
124	SQ00015211	F05	2277
125	SQ00015211	F06	2661
126	SQ00015211	F07	2679
127	SQ00015211	F08	2615
128	SQ00015211	F09	2745
129	SQ00015211	F10	2490
130	SQ00015211	F11	2887
131	SQ00015211	F12	2420
132	SQ00015211	F13	2337
133	SQ00015211	F14	2838
134	SQ00015211	F15	2446
135	SQ00015211	F16	2521
136	SQ00015211	F17	2579
137	SQ00015211	F18	2741
138	SQ00015211	F19	2648
139	SQ00015211	F20	2564
140	SQ00015211	F21	2662
141	SQ00015211	F22	2105
142	SQ00015211	F23	2494
143	SQ00015211	F24	2510
144	SQ00015211	G01	2515
145	SQ00015211	G02	2549
146	SQ00015211	G03	2486
147	SQ00015211	G04	2426
148	SQ00015211	G05	2567
149	SQ00015211	G06	2951
150	SQ00015211	G07	2700
151	SQ00015211	G08	2750
152	SQ00015211	G09	2588
153	SQ00015211	G10	2698
154	SQ00015211	G11	2795
155	SQ00015211	G12	2586
156	SQ00015211	G13	75
157	SQ00015211	G14	104
158	SQ00015211	G15	95
159	SQ00015211	G16	91
160	SQ00015211	G17	105
161	SQ00015211	G18	89
162	SQ00015211	G19	2378
163	SQ00015211	G20	2599
164	SQ00015211	G21	2767
165	SQ00015211	G22	2660
166	SQ00015211	G23	2594
167	SQ00015211	G24	2522
168	SQ00015211	H01	2241
169	SQ00015211	H02	2697
170	SQ00015211	H03	2558
171	SQ00015211	H04	2429
172	SQ00015211	H05	2698
173	SQ00015211	H06	2691
174	SQ00015211	H07	2370
175	SQ00015211	H08	2630
176	SQ00015211	H09	2740
177	SQ00015211	H10	2233
178	SQ00015211	H11	2770
179	SQ00015211	H12	2561
180	SQ00015211	H13	2820
181	SQ00015211	H14	2447
182	SQ00015211	H15	2534
183	SQ00015211	H16	2588
184	SQ00015211	H17	2559
185	SQ00015211	H18	2646
186	SQ00015211	H19	2335
187	SQ00015211	H20	2731
188	SQ00015211	H21	2622
189	SQ00015211	H22	2388
190	SQ00015211	H23	2320
191	SQ00015211	H24	2685
192	SQ00015211	I01	2608
193	SQ00015211	I02	2638
194	SQ00015211	I03	2525
195	SQ00015211	I04	2754
196	SQ00015211	I05	2508
197	SQ00015211	I06	2617
198	SQ00015211	I07	2361
199	SQ00015211	I08	2584
200	SQ00015211	I09	2451
201	SQ00015211	I10	2448
202	SQ00015211	I11	2633
203	SQ00015211	I12	2692
204	SQ00015211	I13	2187
205	SQ00015211	I14	2445
206	SQ00015211	I15	2189
207	SQ00015211	I16	2645
208	SQ00015211	I17	2521
209	SQ00015211	I18	2859
210	SQ00015211	I19	2457
211	SQ00015211	I20	2621
212	SQ00015211	I21	2473
213	SQ00015211	I22	2526
214	SQ00015211	I23	2380
215	SQ00015211	I24	2577
216	SQ00015211	J01	2460
217	SQ00015211	J02	2441
218	SQ00015211	J03	2555
219	SQ00015211	J04	2670
220	SQ00015211	J05	2569
221	SQ00015211	J06	2635
222	SQ00015211	J07	2859
223	SQ00015211	J08	2774
224	SQ00015211	J09	2685
225	SQ00015211	J10	2614
226	SQ00015211	J11	2704
227	SQ00015211	J12	2763
228	SQ00015211	J13	2282
229	SQ00015211	J14	2427
230	SQ00015211	J15	2500
231	SQ00015211	J16	2563
232	SQ00015211	J17	2701
233	SQ00015211	J18	2591
234	SQ00015211	J19	2480
235	SQ00015211	J20	2330
236	SQ00015211	J21	2592
237	SQ00015211	J22	2167
238	SQ00015211	J23	2426
239	SQ00015211	J24	2509
240	SQ00015211	K01	332
241	SQ00015211	K02	464
242	SQ00015211	K03	966
243	SQ00015211	K04	1327
244	SQ00015211	K05	2586
245	SQ00015211	K06	2889
246	SQ00015211	K07	46
247	SQ00015211	K08	51
248	SQ00015211	K09	41
249	SQ00015211	K10	56
250	SQ00015211	K11	69
251	SQ00015211	K12	78
252	SQ00015211	K13	82
253	SQ00015211	K14	685
254	SQ00015211	K15	2162
255	SQ00015211	K16	2502
256	SQ00015211	K17	2560
257	SQ00015211	K18	2780
258	SQ00015211	K19	1998
259	SQ00015211	K20	2305
260	SQ00015211	K21	2369
261	SQ00015211	K22	2464
262	SQ00015211	K23	2402
263	SQ00015211	K24	2486
264	SQ00015211	L01	2720
265	SQ00015211	L02	2841
266	SQ00015211	L03	2966
267	SQ00015211	L04	3007
268	SQ00015211	L05	3207
269	SQ00015211	L06	2641
270	SQ00015211	L07	2262
271	SQ00015211	L08	2480
272	SQ00015211	L09	2619
273	SQ00015211	L10	2583
274	SQ00015211	L11	2891
275	SQ00015211	L12	2624
276	SQ00015211	L13	1042
277	SQ00015211	L14	2676
278	SQ00015211	L15	2660
279	SQ00015211	L16	2705
280	SQ00015211	L17	2431
281	SQ00015211	L18	2486
282	SQ00015211	L19	457
283	SQ00015211	L20	735
284	SQ00015211	L21	1515
285	SQ00015211	L22	2491
286	SQ00015211	L23	2434
287	SQ00015211	L24	1779
288	SQ00015211	M01	1621
289	SQ00015211	M02	1936
290	SQ00015211	M03	2097
291	SQ00015211	M04	2246
292	SQ00015211	M05	2150
293	SQ00015211	M06	2650
294	SQ00015211	M07	2542
295	SQ00015211	M08	2552
296	SQ00015211	M09	2726
297	SQ00015211	M10	2289
298	SQ00015211	M11	2585
299	SQ00015211	M12	2483
300	SQ00015211	M13	2166
301	SQ00015211	M14	2421
302	SQ00015211	M15	2332
303	SQ00015211	M16	2401
304	SQ00015211	M17	2225
305	SQ00015211	M18	2405
306	SQ00015211	M19	341
307	SQ00015211	M20	798
308	SQ00015211	M21	1763
309	SQ00015211	M22	1966
310	SQ00015211	M23	2469
311	SQ00015211	M24	1643
312	SQ00015211	N01	2436
313	SQ00015211	N02	2499
314	SQ00015211	N03	2152
315	SQ00015211	N04	2287
316	SQ00015211	N05	2463
317	SQ00015211	N06	2429
318	SQ00015211	N07	2256
319	SQ00015211	N08	2504
320	SQ00015211	N09	2423
321	SQ00015211	N10	2710
322	SQ00015211	N11	2490
323	SQ00015211	N12	2286
324	SQ00015211	N13	2587
325	SQ00015211	N14	2444
326	SQ00015211	N15	2644
327	SQ00015211	N16	2333
328	SQ00015211	N17	2555
329	SQ00015211	N18	2241
330	SQ00015211	N19	1211
331	SQ00015211	N20	1538
332	SQ00015211	N21	1653
333	SQ00015211	N22	2094
334	SQ00015211	N23	2271
335	SQ00015211	N24	1515
336	SQ00015211	O01	80
337	SQ00015211	O02	75
338	SQ00015211	O03	82
339	SQ00015211	O04	94
340	SQ00015211	O05	104
341	SQ00015211	O06	66
342	SQ00015211	O07	2343
343	SQ00015211	O08	2833
344	SQ00015211	O09	2354
345	SQ00015211	O10	2734
346	SQ00015211	O11	2695
347	SQ00015211	O12	2494
348	SQ00015211	O13	2335
349	SQ00015211	O14	2464
350	SQ00015211	O15	2513
351	SQ00015211	O16	2333
352	SQ00015211	O17	2656
353	SQ00015211	O18	2571
354	SQ00015211	O19	2036
355	SQ00015211	O20	2831
356	SQ00015211	O21	2424
357	SQ00015211	O22	2568
358	SQ00015211	O23	2448
359	SQ00015211	O24	1824
360	SQ00015211	P01	2137
361	SQ00015211	P02	2411
362	SQ00015211	P03	2781
363	SQ00015211	P04	2744
364	SQ00015211	P05	2434
365	SQ00015211	P06	2400
366	SQ00015211	P07	1581
367	SQ00015211	P08	2432
368	SQ00015211	P09	2390
369	SQ00015211	P10	2734
370	SQ00015211	P11	2620
371	SQ00015211	P12	2618
372	SQ00015211	P13	2111
373	SQ00015211	P14	2445
374	SQ00015211	P15	2263
375	SQ00015211	P16	2387
376	SQ00015211	P17	2283
377	SQ00015211	P18	2482
378	SQ00015211	P19	2280
379	SQ00015211	P20	2583
380	SQ00015211	P21	2593
381	SQ00015211	P22	2078
382	SQ00015211	P23	2417
383	SQ00015211	P24	2454
